scenario,component,year,med,p05,p17,p83,p95,unit,source,module,arm
vvH,ais,2000,0.015674995159306485,-0.2100332597907391,-0.11973879651563547,0.18267423736662336,0.20437796246152967,cm rel 1995-2014,MAGICC-SLR,Nauels2025,comparison
vvH,ais,2001,0.015674995159306485,-0.2100332597907391,-0.11973879651563547,0.18267423736662336,0.20437796246152967,cm rel 1995-2014,MAGICC-SLR,Nauels2025,comparison
vvH,ais,2002,0.015674995159306485,-0.2100332597907391,-0.11973879651563547,0.18267423736662336,0.20437796246152967,cm rel 1995-2014,MAGICC-SLR,Nauels2025,comparison
vvH,ais,2003,0.009330896270439544,-0.16461997623259775,-0.09400195060210677,0.134258628306954,0.1539644063199985,cm rel 1995-2014,MAGICC-SLR,Nauels2025,comparison
vvH,ais,2004,0.0029597680683309518,-0.11755314106270455,-0.066600777397003,0.08609081164709567,0.10229398250974873,cm rel 1995-2014,MAGICC-SLR,Nauels2025,comparison
vvH,ais,2005,-0.001059716042664151,-0.06867183514153387,-0.03957718279983928,0.03562169830619791,0.050921807973974706,cm rel 1995-2014,MAGICC-SLR,Nauels2025,comparison
vvH,ais,2006,-0.009037399439048417,-0.02856847115846794,-0.021034029861136866,-0.0027081517982591543,-0.0001050398248768325,cm rel 1995-2014,MAGICC-SLR,Nauels2025,comparison
vvH,ais,2007,-0.01054333648593456,-0.07271034849165596,-0.05454367454358853,0.017958844982337862,0.03677326273226568,cm rel 1995-2014,MAGICC-SLR,Nauels2025,comparison
vvH,ais,2008,-0.013578287004102074,-0.11753040307753342,-0.10319526372056434,0.05254423716696709,0.09168146558480023,cm rel 1995-2014,MAGICC-SLR,Nauels2025,comparison
vvH,ais,2009,-0.01558961821211597,-0.16680723888193774,-0.15082137887860236,0.08616445960107812,0.15233644741903393,cm rel 1995-2014,MAGICC-SLR,Nauels2025,comparison
vvH,ais,2010,-0.017069583937045517,-0.21650975316175242,-0.1954838933325565,0.12144756830574407,0.21395259165733393,cm rel 1995-2014,MAGICC-SLR,Nauels2025,comparison
vvH,ais,2011,-0.018079330529035362,-0.2711473588530278,-0.2392229044538908,0.15935621066110453,0.27973246165364785,cm rel 1995-2014,MAGICC-SLR,Nauels2025,comparison
vvH,ais,2012,-0.018605011416257186,-0.3248120651977981,-0.279840265223172,0.19943988234960286,0.3480795063418099,cm rel 1995-2014,MAGICC-SLR,Nauels2025,comparison
vvH,ais,2013,-0.01879037041625452,-0.37793614953020227,-0.31081746254561343,0.24118874620810107,0.4258782220242893,cm rel 1995-2014,MAGICC-SLR,Nauels2025,comparison
vvH,ais,2014,-0.01875018998115593,-0.42967636357248157,-0.3355500304344862,0.2868160049955579,0.5098874535550785,cm rel 1995-2014,MAGICC-SLR,Nauels2025,comparison
vvH,ais,2015,-0.01853494645173669,-0.48098106331838475,-0.3594850595651823,0.3373030998440039,0.5986756732749672,cm rel 1995-2014,MAGICC-SLR,Nauels2025,comparison
vvH,ais,2016,-0.017909572656653838,-0.529415651627985,-0.38149055545488764,0.39053077863799657,0.6908963016001217,cm rel 1995-2014,MAGICC-SLR,Nauels2025,comparison
vvH,ais,2017,-0.016977384718220495,-0.5797658953316637,-0.40083423518955336,0.44232525905910375,0.7847456648423086,cm rel 1995-2014,MAGICC-SLR,Nauels2025,comparison
vvH,ais,2018,-0.015859280914364723,-0.6214697809582491,-0.42017694029738356,0.4952920479091951,0.8798179746481163,cm rel 1995-2014,MAGICC-SLR,Nauels2025,comparison
vvH,ais,2019,-0.014650216473746695,-0.6755340698421339,-0.437711728287438,0.5492034510087791,0.9795554541569036,cm rel 1995-2014,MAGICC-SLR,Nauels2025,comparison
vvH,ais,2020,-0.01247771014072905,-0.7245008513303859,-0.4533422786829826,0.6043709954733141,1.0875488385756564,cm rel 1995-2014,MAGICC-SLR,Nauels2025,comparison
vvH,ais,2021,-0.010391980797139693,-0.7799146560581298,-0.4669298172692971,0.6599530839485497,1.1923606290836342,cm rel 1995-2014,MAGICC-SLR,Nauels2025,comparison
vvH,ais,2022,-0.008790892402030119,-0.8204267098156819,-0.478616332248664,0.7207454024354939,1.2993278145233138,cm rel 1995-2014,MAGICC-SLR,Nauels2025,comparison
vvH,ais,2023,-0.005677226346169758,-0.8457130856384402,-0.4888050521128201,0.7867330782632621,1.4321830023115214,cm rel 1995-2014,MAGICC-SLR,Nauels2025,comparison
vvH,ais,2024,-0.002750678989950847,-0.8707436509842811,-0.49611621973366055,0.856070721548854,1.5673741382231123,cm rel 1995-2014,MAGICC-SLR,Nauels2025,comparison
vvH,ais,2025,0.0019273948506453023,-0.8893528579619691,-0.502043608840938,0.9314074472285465,1.706044440183639,cm rel 1995-2014,MAGICC-SLR,Nauels2025,comparison
vvH,ais,2026,0.008508367429885678,-0.9056388574586183,-0.511941893025885,1.0121733185883026,1.8495935720212335,cm rel 1995-2014,MAGICC-SLR,Nauels2025,comparison
vvH,ais,2027,0.013435657396939773,-0.9202301902264681,-0.5173449725725893,1.0910398147184892,2.006856687319779,cm rel 1995-2014,MAGICC-SLR,Nauels2025,comparison
vvH,ais,2028,0.01904975508670768,-0.9331864998370127,-0.519807728638376,1.1721271183813555,2.170773056704312,cm rel 1995-2014,MAGICC-SLR,Nauels2025,comparison
vvH,ais,2029,0.02641408897536158,-0.9445256956240538,-0.5209465645031263,1.2556249674070576,2.330824797970439,cm rel 1995-2014,MAGICC-SLR,Nauels2025,comparison
vvH,ais,2030,0.03635184921346081,-0.9575709103321491,-0.523729518610506,1.3416787718438652,2.492536128507013,cm rel 1995-2014,MAGICC-SLR,Nauels2025,comparison
vvH,ais,2031,0.04728786965257313,-0.9732957331451211,-0.5256471983665236,1.4305875791994063,2.6600006989478007,cm rel 1995-2014,MAGICC-SLR,Nauels2025,comparison
vvH,ais,2032,0.058313389947215924,-0.9877142046056429,-0.5268506999303629,1.5353232142570634,2.833799290814563,cm rel 1995-2014,MAGICC-SLR,Nauels2025,comparison
vvH,ais,2033,0.0751553649690597,-1.0007120791321245,-0.5274689894068746,1.6339744317822078,3.014978152548405,cm rel 1995-2014,MAGICC-SLR,Nauels2025,comparison
vvH,ais,2034,0.09419962547018276,-1.010299935829888,-0.5276693891323434,1.7504972934522665,3.2051938307082986,cm rel 1995-2014,MAGICC-SLR,Nauels2025,comparison
