scenario,year,med,p05,p17,p83,p95,unit,source
ssp126,2000,0.8146703573634515,0.6792661939387399,0.7377290153916906,0.8775391505090422,0.9219119537886652,K rel 1850-1900,MAGICC-SLR
ssp126,2001,0.8481952183246166,0.7047127359199906,0.7640875146448073,0.9151171460193863,0.9636746130506263,K rel 1850-1900,MAGICC-SLR
ssp126,2002,0.8696760265196468,0.722948565135511,0.7855884521743717,0.9397959678415129,0.9943287700036052,K rel 1850-1900,MAGICC-SLR
ssp126,2003,0.8868284266536426,0.7396625830150901,0.8011654351216568,0.958824015890279,1.0159785434100894,K rel 1850-1900,MAGICC-SLR
ssp126,2004,0.8997707779068445,0.752722178391706,0.8166097481850401,0.9759522612243543,1.0309934843652626,K rel 1850-1900,MAGICC-SLR
ssp126,2005,0.910686367431283,0.7642706291830323,0.829286834594641,0.9877959872658171,1.0447399039359369,K rel 1850-1900,MAGICC-SLR
ssp126,2006,0.9244386898229633,0.7766694231273864,0.842615348172882,1.0043930214298915,1.0601514807426347,K rel 1850-1900,MAGICC-SLR
ssp126,2007,0.9414431821512073,0.7914825739059353,0.8556020663563608,1.0206597330335236,1.0763084087123458,K rel 1850-1900,MAGICC-SLR
ssp126,2008,0.9703392171208807,0.8122851180277535,0.8798551986947741,1.049067889665495,1.1058620816398637,K rel 1850-1900,MAGICC-SLR
ssp126,2009,0.9965103743047894,0.8316295909576608,0.9018746061291486,1.0772677048221193,1.1356234376744763,K rel 1850-1900,MAGICC-SLR
ssp126,2010,1.0180969466661747,0.8487176677124219,0.9195555990544187,1.1005071859751745,1.1610625365957925,K rel 1850-1900,MAGICC-SLR
ssp126,2011,1.0489069561570008,0.8733721121245821,0.9464899166423579,1.13546246705956,1.2043109157949063,K rel 1850-1900,MAGICC-SLR
ssp126,2012,1.0757963456613848,0.894349305891543,0.9700814939527549,1.167772948445071,1.2379417682550893,K rel 1850-1900,MAGICC-SLR
ssp126,2013,1.1084624869139348,0.9186120701372603,0.9993889779935753,1.2040863781264575,1.2781183496677797,K rel 1850-1900,MAGICC-SLR
