scenario,component,year,med,p05,p17,p83,p95,n,unit
ssp119,ais_sid,2000,-0.18363488242280768,-0.42437097638058374,-0.30741774169826247,-0.01687147185414988,0.0,600,cm rel 1995-2014
ssp119,ais_sid,2001,-0.18363488242280768,-0.42437097638058374,-0.30741774169826247,-0.01687147185414988,0.0,600,cm rel 1995-2014
ssp119,ais_sid,2002,-0.18363488242280768,-0.42437097638058374,-0.30741774169826247,-0.01687147185414988,0.0,600,cm rel 1995-2014
ssp119,ais_sid,2003,-0.1412715965264537,-0.3260873184821187,-0.2353697098614576,-0.01687147185414988,0.0,600,cm rel 1995-2014
ssp119,ais_sid,2004,-0.0977563399216937,-0.22563333911295758,-0.16103253021495298,-0.01687147185414988,0.0,600,cm rel 1995-2014
ssp119,ais_sid,2005,-0.053628928227618014,-0.12290107117492646,-0.08709421382468378,-0.01687147185414988,0.0,600,cm rel 1995-2014
ssp119,ais_sid,2006,-0.00948242112500361,-0.02888686002537661,-0.021398270894113294,-0.0023140075534039944,0.0,600,cm rel 1995-2014
ssp119,ais_sid,2007,0.04123275000274447,-0.018293442122352198,-0.002226283722722758,0.06606697574640662,0.09216178518797331,600,cm rel 1995-2014
ssp119,ais_sid,2008,0.08959385229464593,-0.010240107226677774,0.0,0.14976515016533168,0.20233768875248442,600,cm rel 1995-2014
ssp119,ais_sid,2009,0.13934772735055523,-0.0034605396456565476,0.0,0.23238218121364837,0.31943360808665583,600,cm rel 1995-2014
ssp119,ais_sid,2010,0.1903944177559114,-0.001424448094596218,0.004342912090944617,0.31745851778641765,0.4378027846696735,600,cm rel 1995-2014
ssp119,ais_sid,2011,0.24465755858044613,0.0,0.021809818432660527,0.40599315150755816,0.561400709462452,600,cm rel 1995-2014
ssp119,ais_sid,2012,0.29838781652098506,0.0,0.04558552123960655,0.4974306711468601,0.6880585365386512,600,cm rel 1995-2014
ssp119,ais_sid,2013,0.3543365052224312,0.0,0.0732952380960788,0.5909624892220124,0.8257326494502932,600,cm rel 1995-2014
ssp119,ais_sid,2014,0.41187410515466344,0.0,0.10746041514990322,0.6888398438311274,0.9709068075000096,600,cm rel 1995-2014
ssp119,ais_sid,2015,0.4705551295802181,0.0,0.14088487980447667,0.7934228907616512,1.1220518610183678,600,cm rel 1995-2014
ssp119,ais_sid,2016,0.5309968500584332,0.0,0.17628562601783823,0.9010916451482461,1.2770552348644972,600,cm rel 1995-2014
ssp119,ais_sid,2017,0.593108410913519,0.0,0.21253755651825104,1.007563631650868,1.4328216465731234,600,cm rel 1995-2014
ssp119,ais_sid,2018,0.6561132160679621,0.0,0.2612470073053876,1.1152704642527616,1.5914602080872542,600,cm rel 1995-2014
ssp119,ais_sid,2019,0.7231137217580266,0.0,0.31134067867482706,1.2409440679030124,1.754613567970305,600,cm rel 1995-2014
ssp119,ais_sid,2020,0.7889937734770032,0.008186679764128369,0.35956399480350365,1.3704102831288365,1.9335874784145533,600,cm rel 1995-2014
ssp119,ais_sid,2021,0.8570204364216809,0.04648521536684647,0.41552027805186253,1.484901010263522,2.1107018837374683,600,cm rel 1995-2014
ssp119,ais_sid,2022,0.9253800194693309,0.08887057551177614,0.47404469641616626,1.6200807205713033,2.3028681584526174,600,cm rel 1995-2014
ssp119,ais_sid,2023,0.9914813896146185,0.13459771918081562,0.5340573139760278,1.7610203034054723,2.5017135841102407,600,cm rel 1995-2014
ssp119,ais_sid,2024,1.064375481641351,0.17875450512647154,0.5966760088369538,1.892917312729354,2.7100981691167463,600,cm rel 1995-2014
ssp119,ais_sid,2025,1.1370312046031759,0.221311097744237,0.65885936618133,2.0322079937369337,2.924375052704433,600,cm rel 1995-2014
ssp119,ais_sid,2026,1.2126228187162336,0.26496875013893645,0.7189280964174454,2.168891413406934,3.1446284763763055,600,cm rel 1995-2014
ssp119,ais_sid,2027,1.2916951088249,0.3134719750524631,0.7878668812725919,2.3294501454370025,3.364388652352801,600,cm rel 1995-2014
ssp119,ais_sid,2028,1.3760605729525643,0.36401608841219985,0.858296230021465,2.479308115677255,3.60977597168267,600,cm rel 1995-2014
ssp119,ais_sid,2029,1.4617314531228147,0.4118987558638672,0.9287122087326647,2.643480812344375,3.8553235865248094,600,cm rel 1995-2014
ssp119,ais_sid,2030,1.5491947894333609,0.45721988702663857,0.9961053101758903,2.8232682900922836,4.104792921028071,600,cm rel 1995-2014
ssp119,ais_sid,2031,1.6355188552755533,0.5030791167197867,1.0685936170731032,3.0067760377598196,4.357597202437338,600,cm rel 1995-2014
ssp119,ais_sid,2032,1.7268495760357525,0.5493702563429952,1.133284066100683,3.1968099357600748,4.61907183814207,600,cm rel 1995-2014
ssp119,ais_sid,2033,1.8214510286100265,0.5963088123815001,1.2027442697416595,3.34984536169965,4.880975664455957,600,cm rel 1995-2014
ssp119,ais_sid,2034,1.91985489806193,0.6446352561149002,1.2746047832454879,3.5238658215384757,5.138619572402222,600,cm rel 1995-2014
ssp119,ais_sid,2035,2.019696539262873,0.7020257599147021,1.3408941599123327,3.7100917309454577,5.409455795112425,600,cm rel 1995-2014
