Year,Mass balance (mm/yr),Mass balance uncertainty (mm/yr),Cumulative mass balance (mm),Cumulative mass balance uncertainty (mm)
1992,-0.12,-0.26,-0.01,-0.08
1992.0833,-0.12,-0.26,-0.02,-0.11
1992.1667,-0.12,-0.26,-0.03,-0.13
1992.25,0.23,-0.26,-0.01,-0.15
1992.3333,0.23,-0.26,0.01,-0.17
1992.4167,0.06,-0.2,0.01,-0.18
1992.5,0.06,-0.2,0.02,-0.19
1992.5833,0.06,-0.2,0.02,-0.19
1992.6667,0.06,-0.2,0.03,-0.2
1992.75,0.06,-0.2,0.03,-0.21
1992.8333,0.06,-0.2,0.04,-0.22
1992.9167,0.06,-0.2,0.04,-0.22
1993,0.13,-0.2,0.05,-0.23
1993.0833,0.13,-0.2,0.06,-0.24
1993.1667,0.13,-0.2,0.07,-0.25
1993.25,0.13,-0.2,0.08,-0.25
1993.3333,0.13,-0.2,0.09,-0.26
1993.4167,0.13,-0.2,0.11,-0.27
1993.5,0.13,-0.2,0.12,-0.27
1993.5833,0.13,-0.2,0.13,-0.28
1993.6667,0.13,-0.2,0.14,-0.28
1993.75,0.13,-0.2,0.15,-0.29
1993.8333,0.13,-0.2,0.16,-0.3
1993.9167,0.13,-0.2,0.17,-0.3
1994,0.13,-0.2,0.18,-0.31
1994.0833,0.13,-0.2,0.19,-0.31
1994.1667,0.13,-0.2,0.2,-0.32
1994.25,0.13,-0.2,0.21,-0.32
1994.3333,0.13,-0.2,0.22,-0.33
1994.4167,0.13,-0.2,0.23,-0.33
1994.5,0.13,-0.2,0.25,-0.34
1994.5833,0.13,-0.2,0.26,-0.34
1994.6667,0.13,-0.2,0.27,-0.35
1994.75,0.13,-0.2,0.28,-0.35
1994.8333,0.13,-0.2,0.29,-0.36
1994.9167,0.13,-0.2,0.3,-0.36
1995,0.12,-0.2,0.31,-0.37
1995.0833,0.12,-0.2,0.32,-0.37
1995.1667,0.12,-0.2,0.33,-0.37
1995.25,0.12,-0.2,0.34,-0.38
1995.3333,0.12,-0.2,0.35,-0.38
1995.4167,0.06,-0.2,0.35,-0.39
1995.5,0.06,-0.2,0.36,-0.39
1995.5833,0.06,-0.2,0.36,-0.4
1995.6667,0.06,-0.2,0.37,-0.4
1995.75,0.06,-0.2,0.37,-0.4
1995.8333,0.06,-0.2,0.38,-0.41
1995.9167,0.06,-0.2,0.38,-0.41
1996,0.03,-0.2,0.38,-0.42
1996.0833,0.03,-0.2,0.39,-0.42
1996.1667,0.03,-0.2,0.39,-0.42
1996.25,0.03,-0.2,0.39,-0.43
