Year,Mass balance (Gt/yr),Mass balance uncertainty (Gt/yr),Cumulative mass balance (Gt),Cumulative mass balance uncertainty (Gt)
2007.0833,-112.9508,91.4717,-778.5074,346.102
2007.1667,-116.2982,91.3396,-788.1989,347.105
2007.25,-115.7994,91.1373,-797.8489,348.1006
2007.3333,-114.9022,91.1696,-807.4241,349.0941
2007.4167,-113.3981,91.2302,-816.8739,350.0861
2007.5,-113.1268,90.9258,-826.3011,351.0687
2007.5833,-115.1601,90.2483,-835.8978,352.034
2007.6667,-116.8281,89.3798,-845.6335,352.9783
2007.75,-116.3264,90.3352,-855.3274,353.9403
2007.8333,-115.0031,91.8899,-864.911,354.9329
2007.9167,-113.8617,92.8574,-874.3994,355.9437
2008,-115.9736,94.4325,-884.0639,356.986
2008.0833,-114.4515,97.1819,-893.6015,358.0867
2008.1667,-112.2477,99.9928,-902.9555,359.2482
2008.25,-109.5882,101.4376,-912.0879,360.4396
2008.3333,-107.666,101.8659,-921.06,361.6372
2008.4167,-106.3863,102.47,-929.9255,362.8449
2008.5,-105.3618,102.3374,-938.7057,364.0456
2008.5833,-107.2378,102.7365,-947.6422,365.2517
2008.6667,-108.9264,103.1841,-956.7194,366.4642
2008.75,-109.4893,104.2564,-965.8435,367.698
2008.8333,-117.7741,102.2561,-975.658,368.881
2008.9167,-116.4889,101.218,-985.3654,370.0364
2009,-107.352,105.3852,-994.3114,371.2848
2009.0833,-108.4189,107.266,-1003.3463,372.5738
2009.1667,-108.1712,107.1297,-1012.3606,373.8551
2009.25,-106.148,105.3696,-1021.2063,375.0905
2009.3333,-105.8404,105.1665,-1030.0263,376.3171
2009.4167,-106.2998,105.6525,-1038.8846,377.551
2009.5,-106.5619,106.4733,-1047.7648,378.8
2009.5833,-109.8696,107.5768,-1056.9206,380.0709
2009.6667,-112.9053,109.0392,-1066.3294,381.3721
2009.75,-116.3661,110.6848,-1076.0265,382.7082
2009.8333,-116.9109,109.6464,-1085.7691,384.0149
2009.9167,-118.4342,110.4276,-1095.6386,385.3357
2010,-135.7656,109.5724,-1106.9524,386.6318
2010.0833,-139.245,109.2668,-1118.5562,387.9163
2010.1667,-140.2072,108.1522,-1130.2401,389.1707
2010.25,-137.158,107.3329,-1141.6699,390.4022
2010.3333,-133.5709,105.6282,-1152.8008,391.5911
2010.4167,-132.3499,104.9943,-1163.83,392.7624
2010.5,-131.5946,104.5374,-1174.7962,393.92
2010.5833,-153.6318,96.7714,-1187.5989,394.9093
2010.6667,-154.4027,96.4181,-1200.4658,395.8889
2010.75,-154.56,96.1721,-1213.3458,396.8612
2010.8333,-153.4633,95.4708,-1226.1344,397.817
2010.9167,-153.0957,95.2961,-1238.8924,398.767
2011,-179.6253,94.6457,-1253.8611,399.7019
2011.0833,-179.0436,95.1655,-1268.7814,400.6449
2011.1667,-176.3796,94.5456,-1283.4797,401.5734
2011.25,-172.6904,95.0216,-1297.8706,402.5092
2011.3333,-171.2058,95.0751,-1312.1378,403.4438
2011.4167,-168.7974,94.8019,-1326.2042,404.371
2011.5,-167.1943,97.237,-1340.1371,405.3441
2011.5833,-169.2388,94.4822,-1354.2403,406.2606
2011.6667,-170.9621,95.1561,-1368.4871,407.1882
2011.75,-169.2196,96.4534,-1382.5888,408.1391
2011.8333,-166.0808,99.8394,-1396.4288,409.1555
2011.9167,-164.9775,99.9282,-1410.177,410.1711
2012,-154.1893,105.2701,-1423.0261,411.2953
2012.0833,-155.427,102.9009,-1435.9783,412.3666
2012.1667,-155.6198,101.5902,-1448.9467,413.4081
2012.25,-155.3503,100.7493,-1461.8925,414.4299
2012.3333,-173.8897,98.0211,-1476.3833,415.3947
2012.4167,-174.5405,93.934,-1490.9284,416.2789
2012.5,-168.4619,90.9188,-1504.9668,417.1054
2012.5833,-171.4045,92.5663,-1519.2506,417.9605
2012.6667,-172.2219,92.4246,-1533.6024,418.8112
2012.75,-175.395,92.3863,-1548.2186,419.6595
2012.8333,-177.6003,91.1298,-1563.0187,420.4833
2012.9167,-178.7414,90.3861,-1577.9138,421.292
2013,-187.4374,91.6166,-1593.5336,422.1214
2013.0833,-188.9016,91.4416,-1609.2754,422.9459
2013.1667,-189.2525,91.3866,-1625.0464,423.7679
2013.25,-186.6526,91.7422,-1640.6008,424.5946
2013.3333,-184.934,92.5569,-1656.012,425.4345
2013.4167,-183.6763,93.1615,-1671.3183,426.2836
2013.5,-183.4544,93.2681,-1686.6062,427.1331
2013.5833,-184.9947,94.4323,-1702.0224,428.0021
2013.6667,-187.1773,95.2805,-1717.6205,428.885
2013.75,-189.0423,95.3918,-1733.374,429.7681
