Year,Mass balance (mm/yr),Mass balance uncertainty (mm/yr),Cumulative mass balance (mm),Cumulative mass balance uncertainty (mm)
1992,0.05,-0.09,0,-0.03
1992.0833,0.05,-0.09,0.01,-0.04
1992.1667,0.05,-0.09,0.01,-0.05
1992.25,0.02,-0.07,0.02,-0.05
1992.3333,0.02,-0.07,0.02,-0.05
1992.4167,0.03,-0.07,0.02,-0.06
1992.5,0.03,-0.07,0.02,-0.06
1992.5833,0.03,-0.07,0.02,-0.06
1992.6667,0.03,-0.07,0.03,-0.07
1992.75,0.03,-0.07,0.03,-0.07
1992.8333,0.03,-0.07,0.03,-0.07
1992.9167,0.03,-0.07,0.03,-0.07
1993,0.02,-0.07,0.04,-0.08
1993.0833,0.02,-0.07,0.04,-0.08
1993.1667,0.02,-0.07,0.04,-0.08
1993.25,0.02,-0.07,0.04,-0.08
1993.3333,0.02,-0.07,0.04,-0.08
1993.4167,0.02,-0.07,0.04,-0.09
1993.5,0.02,-0.07,0.05,-0.09
1993.5833,0.02,-0.07,0.05,-0.09
1993.6667,0.02,-0.07,0.05,-0.09
1993.75,0.02,-0.07,0.05,-0.09
1993.8333,0.02,-0.07,0.05,-0.1
1993.9167,0.02,-0.07,0.06,-0.1
1994,0.02,-0.07,0.06,-0.1
1994.0833,0.02,-0.07,0.06,-0.1
1994.1667,0.02,-0.07,0.06,-0.1
1994.25,0.02,-0.07,0.06,-0.11
1994.3333,0.02,-0.07,0.07,-0.11
1994.4167,0.02,-0.07,0.07,-0.11
1994.5,0.02,-0.07,0.07,-0.11
1994.5833,0.02,-0.07,0.07,-0.11
1994.6667,0.02,-0.07,0.07,-0.11
1994.75,0.02,-0.07,0.07,-0.12
1994.8333,0.02,-0.07,0.08,-0.12
1994.9167,0.02,-0.07,0.08,-0.12
1995,0.02,-0.07,0.08,-0.12
1995.0833,0.02,-0.07,0.08,-0.12
1995.1667,0.02,-0.07,0.08,-0.12
1995.25,0.02,-0.07,0.09,-0.12
