Year,Mass balance (mm/yr),Mass balance uncertainty (mm/yr),Cumulative mass balance (mm),Cumulative mass balance uncertainty (mm)
1992,-0.01,-0.16,0,-0.05
1992.0833,-0.01,-0.16,0,-0.06
1992.1667,-0.01,-0.16,0,-0.08
1992.25,0.11,-0.12,0.01,-0.09
1992.3333,0.11,-0.12,0.01,-0.09
1992.4167,0.07,-0.12,0.02,-0.1
1992.5,0.07,-0.12,0.03,-0.1
1992.5833,0.07,-0.12,0.03,-0.11
1992.6667,0.07,-0.12,0.04,-0.11
1992.75,0.07,-0.12,0.04,-0.12
1992.8333,0.07,-0.12,0.05,-0.12
1992.9167,0.07,-0.12,0.06,-0.13
1993,0.07,-0.12,0.06,-0.13
1993.0833,0.07,-0.12,0.07,-0.14
1993.1667,0.07,-0.12,0.07,-0.14
1993.25,0.07,-0.12,0.08,-0.15
1993.3333,0.07,-0.12,0.08,-0.15
1993.4167,0.07,-0.12,0.09,-0.15
1993.5,0.07,-0.12,0.1,-0.16
1993.5833,0.07,-0.12,0.1,-0.16
1993.6667,0.07,-0.12,0.11,-0.16
1993.75,0.07,-0.12,0.11,-0.17
1993.8333,0.07,-0.12,0.12,-0.17
1993.9167,0.07,-0.12,0.12,-0.17
1994,0.1,-0.12,0.13,-0.18
1994.0833,0.1,-0.12,0.14,-0.18
1994.1667,0.1,-0.12,0.15,-0.18
1994.25,0.1,-0.12,0.16,-0.19
1994.3333,0.1,-0.12,0.17,-0.19
1994.4167,0.1,-0.12,0.17,-0.19
1994.5,0.1,-0.12,0.18,-0.2
1994.5833,0.1,-0.12,0.19,-0.2
1994.6667,0.1,-0.12,0.2,-0.2
1994.75,0.1,-0.12,0.21,-0.2
1994.8333,0.1,-0.12,0.22,-0.21
1994.9167,0.1,-0.12,0.22,-0.21
1995,0.13,-0.12,0.23,-0.21
1995.0833,0.13,-0.12,0.25,-0.22
1995.1667,0.13,-0.12,0.26,-0.22
1995.25,0.13,-0.12,0.27,-0.22
1995.3333,0.13,-0.12,0.28,-0.22
1995.4167,0.13,-0.12,0.29,-0.23
1995.5,0.13,-0.12,0.3,-0.23
1995.5833,0.13,-0.12,0.31,-0.23
1995.6667,0.13,-0.12,0.32,-0.23
1995.75,0.13,-0.12,0.33,-0.24
1995.8333,0.13,-0.12,0.34,-0.24
1995.9167,0.13,-0.12,0.35,-0.24
1996,0.14,-0.12,0.36,-0.24
1996.0833,0.14,-0.12,0.38,-0.24
1996.1667,0.14,-0.12,0.39,-0.25
1996.25,0.14,-0.12,0.4,-0.25
1996.3333,0.14,-0.12,0.41,-0.25
1996.4167,0.14,-0.12,0.42,-0.25
1996.5,0.14,-0.12,0.44,-0.26
1996.5833,0.14,-0.12,0.45,-0.26
1996.6667,0.14,-0.12,0.46,-0.26
1996.75,0.14,-0.12,0.47,-0.26
1996.8333,0.14,-0.12,0.48,-0.26
1996.9167,0.14,-0.12,0.49,-0.27
1997,0.11,-0.12,0.5,-0.27
1997.0833,0.11,-0.12,0.51,-0.27
1997.1667,0.11,-0.12,0.52,-0.27
1997.25,0.11,-0.12,0.53,-0.28
1997.3333,0.11,-0.12,0.54,-0.28
1997.4167,0.11,-0.12,0.55,-0.28
1997.5,0.11,-0.12,0.56,-0.28
1997.5833,0.11,-0.12,0.57,-0.28
1997.6667,0.11,-0.12,0.58,-0.29
1997.75,0.11,-0.12,0.58,-0.29
1997.8333,0.11,-0.12,0.59,-0.29
1997.9167,0.11,-0.12,0.6,-0.29
1998,0.11,-0.12,0.61,-0.29
1998.0833,0.11,-0.12,0.62,-0.3
1998.1667,0.11,-0.12,0.63,-0.3
1998.25,0.11,-0.12,0.64,-0.3
1998.3333,0.11,-0.12,0.65,-0.3
1998.4167,0.11,-0.12,0.66,-0.3
1998.5,0.11,-0.12,0.67,-0.3
1998.5833,0.11,-0.12,0.67,-0.31
1998.6667,0.11,-0.12,0.68,-0.31
1998.75,0.11,-0.12,0.69,-0.31
1998.8333,0.11,-0.12,0.7,-0.31
1998.9167,0.11,-0.12,0.71,-0.31
1999,0.12,-0.12,0.72,-0.32
1999.0833,0.12,-0.12,0.73,-0.32
1999.1667,0.12,-0.12,0.74,-0.32
1999.25,0.12,-0.12,0.75,-0.32
1999.3333,0.12,-0.12,0.76,-0.32
1999.4167,0.12,-0.12,0.77,-0.33
1999.5,0.12,-0.12,0.78,-0.33
1999.5833,0.12,-0.12,0.79,-0.33
1999.6667,0.12,-0.12,0.8,-0.33
1999.75,0.12,-0.12,0.81,-0.33
1999.8333,0.12,-0.12,0.82,-0.33
1999.9167,0.12,-0.12,0.83,-0.34
