Year,Mass balance (Gt/yr),Mass balance uncertainty (Gt/yr),Cumulative mass balance (Gt),Cumulative mass balance uncertainty (Gt)
1992,-19.2667,32.8,-1.6056,9.4685
1992.0833,-19.2667,32.8,-3.2111,13.3905
1992.1667,-19.2667,32.8,-4.8167,16.4
1992.25,-8.6094,23.5305,-5.5341,17.7511
1992.3333,-8.6094,23.5305,-6.2516,19.0063
1992.4167,-9.7716,23.8811,-7.0659,20.218
1992.5,-9.7716,23.8811,-7.8802,21.361
1992.5833,-9.7716,23.8811,-8.6945,22.4459
1992.6667,-9.7716,23.8811,-9.5088,23.4807
1992.75,-9.7716,23.8811,-10.3231,24.4718
1992.8333,-9.7716,23.8811,-11.1374,25.4243
1992.9167,-9.7716,23.8811,-11.9517,26.3423
1993,-8.353,23.8811,-12.6478,27.2295
1993.0833,-8.353,23.8811,-13.3438,28.0886
1993.1667,-8.353,23.8811,-14.0399,28.9222
1993.25,-8.353,23.8811,-14.736,29.7325
1993.3333,-8.353,23.8811,-15.4321,30.5212
1993.4167,-8.353,23.8811,-16.1282,31.2901
1993.5,-8.353,23.8811,-16.8243,32.0405
1993.5833,-8.353,23.8811,-17.5204,32.7738
1993.6667,-8.353,23.8811,-18.2165,33.491
1993.75,-8.353,23.8811,-18.9125,34.1932
1993.8333,-8.353,23.8811,-19.6086,34.8812
1993.9167,-8.353,23.8811,-20.3047,35.5559
1994,-7.5912,23.8811,-20.9373,36.2181
1994.0833,-7.5912,23.8811,-21.5699,36.8683
1994.1667,-7.5912,23.8811,-22.2025,37.5073
1994.25,-7.5912,23.8811,-22.8351,38.1356
1994.3333,-7.5912,23.8811,-23.4677,38.7537
1994.4167,-7.5912,23.8811,-24.1003,39.3621
1994.5,-7.5912,23.8811,-24.7329,39.9612
1994.5833,-7.5912,23.8811,-25.3655,40.5515
1994.6667,-7.5912,23.8811,-25.9981,41.1333
1994.75,-7.5912,23.8811,-26.6307,41.707
1994.8333,-7.5912,23.8811,-27.2633,42.2729
1994.9167,-7.5912,23.8811,-27.896,42.8314
1995,-8.3728,23.8811,-28.5937,43.3826
1995.0833,-8.3728,23.8811,-29.2914,43.927
1995.1667,-8.3728,23.8811,-29.9891,44.4646
1995.25,-8.3728,23.8811,-30.6869,44.9959
1995.3333,-8.3728,23.8811,-31.3846,45.5209
1995.4167,-4.3681,23.8436,-31.7486,46.0384
1995.5,-4.3681,23.8436,-32.1126,46.5501
1995.5833,-4.3681,23.8436,-32.4766,47.0562
1995.6667,-4.3681,23.8436,-32.8406,47.5569
1995.75,-4.3681,23.8436,-33.2047,48.0524
1995.8333,-4.3681,23.8436,-33.5687,48.5429
1995.9167,-4.3681,23.8436,-33.9327,49.0285
1996,-3.8546,23.8436,-34.2539,49.5093
1996.0833,-3.8546,23.8436,-34.5751,49.9854
1996.1667,-3.8546,23.8436,-34.8963,50.4571
1996.25,-3.8546,23.8436,-35.2175,50.9244
1996.3333,-3.8546,23.8436,-35.5388,51.3875
1996.4167,-3.8546,23.8436,-35.86,51.8464
1996.5,0.5601,23.8109,-35.8133,52.3
1996.5833,0.5601,23.8109,-35.7666,52.7498
1996.6667,0.5601,23.8109,-35.7199,53.1958
1996.75,0.5601,23.8109,-35.6733,53.638
1996.8333,0.5601,23.8109,-35.6266,54.0766
1996.9167,0.5601,23.8109,-35.5799,54.5117
1997,3.5013,23.8109,-35.2881,54.9434
1997.0833,3.5013,23.8109,-34.9964,55.3717
1997.1667,3.5013,23.8109,-34.7046,55.7967
1997.25,3.5013,23.8109,-34.4128,56.2185
1997.3333,3.5013,23.8109,-34.121,56.6371
1997.4167,3.5013,23.8109,-33.8292,57.0527
1997.5,3.5013,23.8109,-33.5375,57.4652
1997.5833,3.5013,23.8109,-33.2457,57.8749
1997.6667,3.5013,23.8109,-32.9539,58.2816
1997.75,3.5013,23.8109,-32.6621,58.6856
