Year,Mass balance (Gt/yr),Mass balance uncertainty (Gt/yr),Cumulative mass balance (Gt),Cumulative mass balance uncertainty (Gt)
1992,5.3667,56.9,0.4472,16.4256
1992.0833,5.3667,56.9,0.8944,23.2293
1992.1667,5.3667,56.9,1.3417,28.45
1992.25,-38.0326,41.4744,-1.8277,30.8666
1992.3333,-38.0326,41.4744,-4.9971,33.1072
1992.4167,-25.6963,42.065,-7.1385,35.2639
1992.5,-25.6963,42.065,-9.2798,37.2961
1992.5833,-25.6963,42.065,-11.4212,39.2232
1992.6667,-25.6963,42.065,-13.5625,41.0598
1992.75,-25.6963,42.065,-15.7039,42.8178
1992.8333,-25.6963,42.065,-17.8452,44.5064
1992.9167,-25.6963,42.065,-19.9866,46.1333
1993,-24.9606,42.6604,-22.0666,47.7487
1993.0833,-24.9606,42.6604,-24.1467,49.3112
1993.1667,-24.9606,42.6604,-26.2267,50.8257
1993.25,-24.9606,42.6604,-28.3068,52.2964
1993.3333,-24.9606,42.6604,-30.3868,53.7268
1993.4167,-24.9606,42.6604,-32.4669,55.1201
1993.5,-24.9606,42.6604,-34.5469,56.4791
1993.5833,-24.9606,42.6604,-36.627,57.8061
1993.6667,-24.9606,42.6604,-38.707,59.1034
1993.75,-24.9606,42.6604,-40.7871,60.3727
1993.8333,-24.9606,42.6604,-42.8671,61.616
1993.9167,-24.9606,42.6604,-44.9472,62.8346
1994,-35.4891,42.1475,-47.9046,64.0017
1994.0833,-35.4891,42.1475,-50.862,65.1479
1994.1667,-35.4891,42.1475,-53.8194,66.2743
1994.25,-35.4891,42.1475,-56.7769,67.3819
1994.3333,-35.4891,42.1475,-59.7343,68.4716
1994.4167,-35.4891,42.1475,-62.6917,69.5442
1994.5,-35.4891,42.1475,-65.6491,70.6005
1994.5833,-35.4891,42.1475,-68.6065,71.6412
1994.6667,-35.4891,42.1475,-71.564,72.667
1994.75,-35.4891,42.1475,-74.5214,73.6786
1994.8333,-35.4891,42.1475,-77.4788,74.6764
1994.9167,-35.4891,42.1475,-80.4362,75.6611
1995,-46.9226,41.9397,-84.3464,76.6236
1995.0833,-46.9226,41.9397,-88.2567,77.5742
1995.1667,-46.9226,41.9397,-92.1669,78.5133
1995.25,-46.9226,41.9397,-96.0771,79.4412
1995.3333,-46.9226,41.9397,-99.9873,80.3585
1995.4167,-46.119,41.8325,-103.8306,81.2608
1995.5,-46.119,41.8325,-107.6738,82.1532
1995.5833,-46.119,41.8325,-111.5171,83.036
1995.6667,-46.119,41.8325,-115.3603,83.9095
1995.75,-46.119,41.8325,-119.2036,84.774
1995.8333,-46.119,41.8325,-123.0468,85.6298
1995.9167,-46.119,41.8325,-126.89,86.4772
1996,-51.8532,41.993,-131.2112,87.3227
1996.0833,-51.8532,41.993,-135.5323,88.1601
1996.1667,-51.8532,41.993,-139.8534,88.9896
1996.25,-51.8532,41.993,-144.1745,89.8115
1996.3333,-51.8532,41.993,-148.4956,90.6259
1996.4167,-51.8532,41.993,-152.8167,91.4331
1996.5,-50.6681,41.9025,-157.039,92.2297
1996.5833,-50.6681,41.9025,-161.2613,93.0196
1996.6667,-50.6681,41.9025,-165.4837,93.8028
1996.75,-50.6681,41.9025,-169.706,94.5795
