Year,Mass balance (Gt/yr),Mass balance uncertainty (Gt/yr),Cumulative mass balance (Gt),Cumulative mass balance uncertainty (Gt)
1992,44.2,93.6,3.6833,27.02
1992.0833,44.2,93.6,7.3667,38.212
1992.1667,44.2,93.6,11.05,46.8
1992.25,-84.0133,92.1204,4.0489,53.8277
1992.3333,-84.0133,92.1204,-2.9522,60.0383
1992.4167,-19.9945,71.1802,-4.6184,63.4572
1992.5,-19.9945,71.1802,-6.2846,66.7011
1992.5833,-19.9945,71.1802,-7.9508,69.7944
1992.6667,-19.9945,71.1802,-9.617,72.7563
1992.75,-19.9945,71.1802,-11.2832,75.6022
1992.8333,-19.9945,71.1802,-12.9495,78.3448
1992.9167,-19.9945,71.1802,-14.6157,80.9947
1993,-46.8692,72.3506,-18.5214,83.6442
1993.0833,-46.8692,72.3506,-22.4272,86.2123
1993.1667,-46.8692,72.3506,-26.3329,88.7062
1993.25,-46.8692,72.3506,-30.2387,91.1318
1993.3333,-46.8692,72.3506,-34.1445,93.4945
1993.4167,-46.8692,72.3506,-38.0502,95.7989
1993.5,-46.8692,72.3506,-41.956,98.0492
1993.5833,-46.8692,72.3506,-45.8618,100.2491
1993.6667,-46.8692,72.3506,-49.7675,102.4016
1993.75,-46.8692,72.3506,-53.6733,104.5098
1993.8333,-46.8692,72.3506,-57.5791,106.5764
1993.9167,-46.8692,72.3506,-61.4848,108.6036
1994,-46.1944,71.0932,-65.3343,110.5257
1994.0833,-46.1944,71.0932,-69.1839,112.4149
1994.1667,-46.1944,71.0932,-73.0334,114.2729
1994.25,-46.1944,71.0932,-76.8829,116.1012
1994.3333,-46.1944,71.0932,-80.7325,117.9011
1994.4167,-46.1944,71.0932,-84.582,119.674
1994.5,-46.1944,71.0932,-88.4315,121.421
1994.5833,-46.1944,71.0932,-92.2811,123.1432
1994.6667,-46.1944,71.0932,-96.1306,124.8416
1994.75,-46.1944,71.0932,-99.9801,126.5172
1994.8333,-46.1944,71.0932,-103.8297,128.171
1994.9167,-46.1944,71.0932,-107.6792,129.8037
1995,-42.465,71.9598,-111.2179,131.4553
1995.0833,-42.465,71.9598,-114.7567,133.0865
1995.1667,-42.465,71.9598,-118.2954,134.698
1995.25,-42.465,71.9598,-121.8342,136.2903
1995.3333,-42.465,71.9598,-125.3729,137.8643
1995.4167,-20.6752,71.8418,-127.0959,139.4155
1995.5,-20.6752,71.8418,-128.8188,140.9496
1995.5833,-20.6752,71.8418,-130.5417,142.4671
1995.6667,-20.6752,71.8418,-132.2646,143.9687
1995.75,-20.6752,71.8418,-133.9876,145.4548
1995.8333,-20.6752,71.8418,-135.7105,146.9258
1995.9167,-20.6752,71.8418,-137.4334,148.3823
1996,-12.2517,72.421,-138.4544,149.8478
1996.0833,-12.2517,72.421,-139.4754,151.2992
1996.1667,-12.2517,72.421,-140.4964,152.7367
1996.25,-12.2517,72.421,-141.5173,154.1608
1996.3333,-12.2517,72.421,-142.5383,155.572
1996.4167,-12.2517,72.421,-143.5593,156.9704
1996.5,12.8154,72.3296,-142.4914,158.353
1996.5833,12.8154,72.3296,-141.4234,159.7236
1996.6667,12.8154,72.3296,-140.3555,161.0826
1996.75,12.8154,72.3296,-139.2875,162.4302
1996.8333,12.8154,72.3296,-138.2196,163.7667
1996.9167,12.8154,72.3296,-137.1516,165.0924
1997,27.8126,71.2178,-134.8339,166.3675
1997.0833,27.8126,71.2178,-132.5162,167.633
1997.1667,27.8126,71.2178,-130.1985,168.889
