year,delta_slr_p05_unw_cm,delta_slr_p17_unw_cm,delta_slr_p50_unw_cm,delta_slr_p83_unw_cm,delta_slr_p95_unw_cm,delta_slr_p05_cm,delta_slr_p17_cm,delta_slr_p50_cm,delta_slr_p83_cm,delta_slr_p95_cm,delta_slr_mean_cm,delta_slr_mean_unw_cm,n_tuples
2119,-0.008442134857681083,-0.007131542126344073,-0.005632389887395561,-0.004406195404821389,-0.0036578045994989598,-0.008987483058763242,-0.007766314545500855,-0.006303984433258043,-0.005097336000975167,-0.004231138392161286,-0.018074364972949036,-0.019524244819520305,10000
2120,-0.008508264556638778,-0.00718022816961863,-0.0056670578112871794,-0.004430856790777895,-0.0036746315523839023,-0.00905608888762377,-0.007819761407784268,-0.006346095829129805,-0.005127412104035,-0.004252786290994973,-0.01811803981055872,-0.019767745911186102,10000
2121,-0.008578019308860972,-0.007231063461774312,-0.0056996995903944025,-0.0044560924877760045,-0.003690997637662363,-0.009122811521423056,-0.007875653678101849,-0.006385216959715947,-0.005156410645888141,-0.00427356617144753,-0.018168195806513986,-0.020010786202616305,10000
2122,-0.008644664995323126,-0.007274784031604042,-0.005732329314938056,-0.004478146037863411,-0.00370577287113676,-0.009185845708656035,-0.00792615861509986,-0.0064255232868651434,-0.005181941727887422,-0.004286496239811165,-0.018204157371592658,-0.02004138025966713,10000
2123,-0.008707151839529104,-0.007321706318827808,-0.005766730335071912,-0.004499883769935664,-0.0037223329883552493,-0.009250587272999905,-0.007974048095157237,-0.006465549911352322,-0.0052083161697857195,-0.004303987870588885,-0.018249449623845566,-0.020156597636162368,10000
2124,-0.008779369113720747,-0.00737138810195745,-0.005799100211291375,-0.004521117273765398,-0.0037365905411768127,-0.009315258075673188,-0.008024575313476133,-0.006502606389046769,-0.005235512296079012,-0.004318391375734482,-0.01830065097602853,-0.020392129244898763,10000
2125,-0.00884433604430086,-0.00741569415518768,-0.005831514493856105,-0.0045437250277781515,-0.003748628295939227,-0.009381168460116752,-0.008078257924863908,-0.00653716185249169,-0.005262569958728858,-0.004329378294760091,-0.01835374831893851,-0.020513983482258233,10000
2126,-0.008911288217984037,-0.007464438010188133,-0.00586239101063768,-0.004561591242403438,-0.0037642791997594587,-0.00944616574977395,-0.008125126908487868,-0.006574371472896063,-0.005284741841488909,-0.0043439595723672704,-0.018455661105063692,-0.020868504556201053,10000
2127,-0.008973526517118557,-0.00751109671168706,-0.00589462540555985,-0.004584408750050244,-0.0037752943749662653,-0.009511670903848546,-0.008177144360854066,-0.006613794498731796,-0.005304386043213116,-0.004357705908384292,-0.01849043895627812,-0.020898333525107036,10000
2128,-0.009033569092001415,-0.007556808200368295,-0.005926048446710297,-0.0046013681750517324,-0.003789869983997109,-0.009569214773438318,-0.008228723580326358,-0.006646963264783245,-0.005335449544256534,-0.004371895784144131,-0.018545195493921907,-0.021011714761844043,10000
2129,-0.009097342407687847,-0.007604207957264748,-0.0059565641671568414,-0.0046213010187554455,-0.003801653060589416,-0.009637579526871429,-0.00828390923412079,-0.0066842280705413995,-0.005357839822042122,-0.004381085679723491,-0.018944559994820538,-0.021217754265338288,10000
2130,-0.009152882340434588,-0.007650324300659293,-0.005989826605443227,-0.004641967152130064,-0.0038164000468430717,-0.009703624574062682,-0.008338156526871414,-0.006719445630568926,-0.005378840903341217,-0.0043964268642456995,-0.018985869232366736,-0.021365047060743218,10000
2131,-0.009216481179106494,-0.007695457557509968,-0.006020179299468964,-0.004659479369276553,-0.003830436186972364,-0.00977978883040847,-0.008392870483416274,-0.006755444507002685,-0.005399029533421899,-0.004408588091900019,-0.019328491998889127,-0.021478371213869623,10000
2132,-0.009277005638712409,-0.007739613114346185,-0.006050522550538062,-0.00468097466377678,-0.0038445368704280725,-0.00984845376635396,-0.008440882332374548,-0.006793569724891911,-0.005424491679317946,-0.004423638915132093,-0.01963530268656122,-0.021591079558401404,10000
2133,-0.00933427534610587,-0.007780426606880439,-0.00607950063394469,-0.004702271159208777,-0.003856652078323819,-0.009907752926597,-0.0084887063968258,-0.00683098299704482,-0.005450059173348258,-0.004438981387480473,-0.01966966875195965,-0.02161695273553932,10000
