version,species,unit,component,year,n,ess_fraction,q05,q50,q95,mean,q05u,q50u,q95u,meanu
pre93,co2,cm/GtCO2,total,2100,10000,0.4999,0.005983971996306836,0.011461364257703914,0.021699582870377817,0.03297883470770919,0.0059420925438757825,0.011498885560002258,0.021679336282449817,0.040398867053849805
pre93,co2,cm/GtCO2,total,2150,10000,0.4999,0.009051666882495594,0.01863928945835257,0.036304725697554614,0.049684795787655674,0.009025676237683897,0.01878111125392938,0.03647973203443662,0.059234641654065355
pre93,co2,cm/GtCO2,total,2300,10000,0.4999,0.01404588502194958,0.031021798220180804,0.05788283851677212,0.06439063657066463,0.013990616585601806,0.031128580553742673,0.0582099545227246,0.07488313410335969
pre93,co2,cm/GtCO2,ais,2100,10000,0.4999,-0.0013076995870936845,-0.00010396259323111247,0.0012948233024624686,0.02053922954276541,-0.0013606657745413038,-0.00011966292619010927,0.00129812865736889,0.02794787903335174
pre93,co2,cm/GtCO2,ais,2150,10000,0.4999,-0.0021648382093926266,-0.00011713093380239985,0.0025688683147235764,0.029520451610501628,-0.0022602537043781134,-0.00013570408139424584,0.0025978438765531372,0.03900001620738384
pre93,co2,cm/GtCO2,ais,2300,10000,0.4999,-0.004634686540186777,-8.359350986477462e-05,0.007828840738385672,0.032103054286495784,-0.004804277279291116,-0.00011980157861284973,0.008023236995314494,0.04254206184322637
pre93,co2,cm/GtCO2,gsic,2100,10000,0.4999,0.0009946122612337867,0.0013920529903485447,0.0019076843277200386,0.001413451157677455,0.0010040110403508602,0.001410694896542037,0.001928294773990218,0.0014303547514905013
pre93,co2,cm/GtCO2,gsic,2150,10000,0.4999,0.0009495592926547441,0.0016676992353226354,0.0025251551952497164,0.0016948346449635902,0.0009540915989703065,0.0016836567883871459,0.0025454995125079893,0.0017093871959134432
pre93,co2,cm/GtCO2,gsic,2300,10000,0.4999,0.0,0.0008441761030631816,0.0030321717630361128,0.001077173135224705,0.0,0.0008235433384129835,0.0030694719082937616,0.0010760487991826296
pre93,co2,cm/GtCO2,gis,2100,10000,0.4999,0.004089599406871695,0.009082851217363465,0.018309274407402463,0.009931203773327048,0.004078773914528709,0.009161883420105878,0.018490847484300327,0.009977908221046335
pre93,co2,cm/GtCO2,gis,2150,10000,0.4999,0.006761141397489514,0.015583865962585071,0.03175302621960304,0.017032573934188885,0.006713732298990725,0.015760086142791396,0.0320577184254531,0.0171584403618691
pre93,co2,cm/GtCO2,gis,2300,10000,0.4999,0.01202593851503149,0.027763898497620447,0.05137182039379621,0.02920691741850275,0.012022134976064042,0.028059167451035066,0.05177984581621406,0.02936671746120865
pre93,co2,cm/GtCO2,te,2100,10000,0.4999,0.0006690529911822366,0.001062633281550026,0.0016044112458450158,0.0010949502339640748,0.0006532500488987124,0.001022244309822944,0.0014918299935829838,0.0010427250479837146
pre93,co2,cm/GtCO2,te,2150,10000,0.4999,0.0008013062446045253,0.0013971055611156228,0.002210266124666711,0.0014369355979871336,0.0007705249974065955,0.0013414508402753763,0.0020338670786670915,0.0013667978889379295
pre93,co2,cm/GtCO2,te,2300,10000,0.4999,0.0008820083219636073,0.0019241743431245354,0.0033988833438598964,0.002003491730492831,0.0008453189032309155,0.0018491935009024984,0.003120114843824539,0.0018983059998142829
pre93,co2,cm/GtCO2,lws,2100,10000,0.4999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pre93,co2,cm/GtCO2,lws,2150,10000,0.4999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pre93,co2,cm/GtCO2,lws,2300,10000,0.4999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pre93,ch4,cm/Tg,total,2100,10000,0.4999,0.0003815762868320744,0.0007234399422444901,0.00138612391554709,0.001270370508988854,0.00038226751037484486,0.0007267299177869467,0.0013937288560730559,0.001425331818959633
pre93,ch4,cm/Tg,total,2150,10000,0.4999,0.00037985059278603244,0.0007451479179981085,0.0014552011199845869,0.00137927242966797,0.00038082504414660255,0.000749335245444667,0.001470589793429037,0.0015562635943496062
pre93,ch4,cm/Tg,total,2300,10000,0.4999,0.0002921446724046747,0.0005914208058357143,0.0011633660368262826,0.001220414502365026,0.0002896069079270089,0.0005938552099849352,0.0011770888075943863,0.0014028000528470493
pre93,ch4,cm/Tg,ais,2100,10000,0.4999,-9.38120687374912e-05,-8.67862571702863e-06,8.387052622075781e-05,0.0004820457063473357,-9.676919062684419e-05,-9.621799757383426e-06,8.394285746506711e-05,0.000631468407145427
pre93,ch4,cm/Tg,ais,2150,10000,0.4999,-0.0001045304787354188,-8.200215056396076e-06,0.0001034769956309871,0.0005696500501435443,-0.00010885496417500967,-9.32811987652466e-06,0.00010480190900353564,0.0007390598194236182
pre93,ch4,cm/Tg,ais,2300,10000,0.4999,-0.0001149842814140228,-6.042791201257316e-06,0.0001492909269412622,0.0005876489374442147,-0.00011958120737176636,-7.137943839551422e-06,0.00015539221968202677,0.0007648800987616924
