version,basis,unit,component,year,n,ess_fraction,q05,q50,q95,mean
pre93,nonfossil,cm/TgCH4,total,2100,10000,0.4999,0.0003815762868320744,0.0007234399422444901,0.00138612391554709,0.001270370508988854
pre93,fossil,cm/TgCH4,total,2100,10000,0.4999,0.0003996303005916899,0.0007549435167531736,0.0014410946120111878,0.0013608377243881915
pre93,nonfossil,cm/TgCH4,total,2150,10000,0.4999,0.00037985059278603244,0.0007451479179981085,0.0014552011199845869,0.00137927242966797
pre93,fossil,cm/TgCH4,total,2150,10000,0.4999,0.0004073276392859059,0.0007977768075514115,0.0015467918653681348,0.0015155672733891531
pre93,nonfossil,cm/TgCH4,total,2300,10000,0.4999,0.0002921446724046747,0.0005914208058357143,0.0011633660368262826,0.001220414502365026
pre93,fossil,cm/TgCH4,total,2300,10000,0.4999,0.00033867320967702325,0.000676958790395223,0.0013059556479475677,0.0013970502640578753
pre93,nonfossil,cm/TgCH4,ais,2100,10000,0.4999,-9.38120687374912e-05,-8.67862571702863e-06,8.387052622075781e-05,0.0004820457063473357
pre93,fossil,cm/TgCH4,ais,2100,10000,0.4999,-9.708545256046492e-05,-8.964353903131477e-06,8.734060704489643e-05,0.0005383887190598933
pre93,nonfossil,cm/TgCH4,ais,2150,10000,0.4999,-0.0001045304787354188,-8.200215056396076e-06,0.0001034769956309871,0.0005696500501435443
pre93,fossil,cm/TgCH4,ais,2150,10000,0.4999,-0.00011067437634268348,-8.561187179324645e-06,0.00011058214089727152,0.0006506302630043913
pre93,nonfossil,cm/TgCH4,ais,2300,10000,0.4999,-0.0001149842814140228,-6.042791201257316e-06,0.0001492909269412622,0.0005876489374442147
pre93,fossil,cm/TgCH4,ais,2300,10000,0.4999,-0.00012671896387579873,-6.168741579565884e-06,0.00017042739668990265,0.0006757137205953953
pre93,nonfossil,cm/TgCH4,gsic,2100,10000,0.4999,6.864949766096428e-05,9.753427099546433e-05,0.00014067068250830003,0.00010048181826568931
pre93,fossil,cm/TgCH4,gsic,2100,10000,0.4999,7.170227693507685e-05,0.00010137305707403447,0.0001455940142178857,0.00010435918359625262
pre93,nonfossil,cm/TgCH4,gsic,2150,10000,0.4999,4.701009573091546e-05,8.0559995893383e-05,0.00012427910320317182,8.2342176135144e-05
pre93,fossil,cm/TgCH4,gsic,2150,10000,0.4999,4.9855089473589294e-05,8.529133519213145e-05,0.00013070883422348833,8.699142988383208e-05
pre93,nonfossil,cm/TgCH4,gsic,2300,10000,0.4999,0.0,2.253059977779696e-05,7.662289419006313e-05,2.777743557619238e-05
pre93,fossil,cm/TgCH4,gsic,2300,10000,0.4999,0.0,2.4898153543441512e-05,8.428159854213702e-05,3.0732326339023766e-05
pre93,nonfossil,cm/TgCH4,gis,2100,10000,0.4999,0.0002665813453872616,0.0005725786368479548,0.001172450311824214,0.0006276934791222989
pre93,fossil,cm/TgCH4,gis,2100,10000,0.4999,0.0002793577191112699,0.0005977478513677115,0.0012226768448897547,0.0006549366597531255
pre93,nonfossil,cm/TgCH4,gis,2150,10000,0.4999,0.0002873739170466835,0.0006193632754997564,0.0012746815711109495,0.0006776286622396116
pre93,fossil,cm/TgCH4,gis,2150,10000,0.4999,0.0003082201226446473,0.000661699299022996,0.0013568168169715178,0.000724352251734701
pre93,nonfossil,cm/TgCH4,gis,2300,10000,0.4999,0.0002600932057377872,0.0005366684327055427,0.0010371873409027428,0.0005754685476443376
pre93,fossil,cm/TgCH4,gis,2300,10000,0.4999,0.0003022008475888255,0.0006124718132963174,0.0011705188784510128,0.0006555886765897273
pre93,nonfossil,cm/TgCH4,te,2100,10000,0.4999,3.6960452391284846e-05,5.80982868227604e-05,9.118533728054871e-05,6.014950525397796e-05
pre93,fossil,cm/TgCH4,te,2100,10000,0.4999,3.907685877645034e-05,6.096101867796514e-05,9.519595536470212e-05,6.315316197943611e-05
pre93,nonfossil,cm/TgCH4,te,2150,10000,0.4999,2.6553237437793678e-05,4.767406238913362e-05,7.834307768875624e-05,4.965154114943619e-05
pre93,fossil,cm/TgCH4,te,2150,10000,0.4999,2.9041654444139643e-05,5.150181151423597e-05,8.403301083913126e-05,5.3593328765955276e-05
pre93,nonfossil,cm/TgCH4,te,2300,10000,0.4999,9.023334335305441e-06,2.826990328251965e-05,5.5447419772384156e-05,2.9519581700039574e-05
pre93,fossil,cm/TgCH4,te,2300,10000,0.4999,1.2088015431927996e-05,3.345700971788032e-05,6.395102816726278e-05,3.501554053362799e-05
pre93,nonfossil,cm/TgCH4,lws,2100,10000,0.4999,0.0,0.0,0.0,0.0
pre93,fossil,cm/TgCH4,lws,2100,10000,0.4999,0.0,0.0,0.0,0.0
pre93,nonfossil,cm/TgCH4,lws,2150,10000,0.4999,0.0,0.0,0.0,0.0
pre93,fossil,cm/TgCH4,lws,2150,10000,0.4999,0.0,0.0,0.0,0.0
pre93,nonfossil,cm/TgCH4,lws,2300,10000,0.4999,0.0,0.0,0.0,0.0
pre93,fossil,cm/TgCH4,lws,2300,10000,0.4999,0.0,0.0,0.0,0.0
brick2,nonfossil,cm/TgCH4,total,2100,10000,0.5,0.0002003903103291589,0.00032436559416003504,0.000536976917241872,0.0013898544163340595
brick2,fossil,cm/TgCH4,total,2100,10000,0.5,0.0002102060437557695,0.0003384810765212575,0.0005589610470940038,0.001424637663581394
brick2,nonfossil,cm/TgCH4,total,2150,10000,0.5,0.0001579193549592068,0.0002827818185824733,0.0005163810548922331,0.0013332599142895727
brick2,fossil,cm/TgCH4,total,2150,10000,0.5,0.00017042611198315858,0.000303226733528061,0.0005516135839751351,0.001373577748854044
brick2,nonfossil,cm/TgCH4,total,2300,10000,0.5,5.976818424292645e-05,0.0001826977202197346,0.0004897270042231691,0.0011930836250541837
brick2,fossil,cm/TgCH4,total,2300,10000,0.5,7.291458850657796e-05,0.0002125857249335237,0.0005600577133358904,0.0012556626308917829
brick2,nonfossil,cm/TgCH4,ais,2100,10000,0.5,-5.13677147662804e-05,4.6687477286625214e-06,0.00011333584137840766,0.001065218068799057
brick2,fossil,cm/TgCH4,ais,2100,10000,0.5,-5.36030936699474e-05,5.035303302664682e-06,0.00011881066585649227,0.0010855882291532367
brick2,nonfossil,cm/TgCH4,ais,2150,10000,0.5,-5.605234646383135e-05,9.926343660863147e-06,0.0001601792444412327,0.001057298365893
brick2,fossil,cm/TgCH4,ais,2150,10000,0.5,-5.8613592020476326e-05,1.1075386288365122e-05,0.0001725164822397319,0.0010787448691525667
brick2,nonfossil,cm/TgCH4,ais,2300,10000,0.5,-5.9088750712490944e-05,2.064986073807035e-05,0.00027971444378559884,0.001032351581166432
brick2,fossil,cm/TgCH4,ais,2300,10000,0.5,-6.444977399354923e-05,2.502050410529491e-05,0.0003259441153451078,0.0010707137369401155
brick2,nonfossil,cm/TgCH4,gsic,2100,10000,0.5,7.140054198272361e-05,0.00010378471705442177,0.00014791960228998556,0.00010614812740415178
