,,Committed glacier mass loss at ΔT (mm SLE rel. to 2020),Committed glacier mass loss at ΔT (mm SLE rel. to 2020),Committed glacier mass loss at ΔT (mm SLE rel. to 2020),Committed glacier mass loss at ΔT (mm SLE rel. to 2020),Committed glacier mass loss at ΔT (mm SLE rel. to 2020),Committed glacier mass loss at ΔT (mm SLE rel. to 2020),Sensitivity (mm SLE per 0.1°C rel. to 2020)
,,1.2°C,1.5°C,2.0°C,2.7°C,3.0°C,4.0°C,1.5–3.0°C
Region,,,,,,,,
Global (below sea-level correction applied),,113 [43–204],138 [59–237],190 [128–279],230 [159–302],236 [178–313],263 [218–342],6.5 [4.6–8.9]
Global (no below sea-level correction applied),,144 [54–204],174 [74–237],234 [160–279],279 [199–302],286 [223–313],316 [272–342],7.5 [5.7–8.9]
