,rgi_reg,region,temp_ch_avg_2000-2019_vs_1901-1920,temp_avg_2000-2019,prcp_avg_2000-2019,continentality_index_avg_2000-2019,median_reg_vs_glob_ch,median_reg_vs_glob_temp_ch_1.5_3.0,slope_fit_reg_vs_glob_ch,median_reg_vs_glob_ch_ref_1986-2005,median_reg_vs_glob_temp_ch_1.5_3.0_ref_1986-2005,slope_fit_reg_vs_glob_ch_ref_1986-2005,slope_weighted_area_avg,lat_absolute_weighted_area_avg,lat_weighted_area_avg,marine_term_ratio_hundredlargest_glac,geodetic_obs_area_weighted,mean_vol_ten_largest_glac,elev_diff_area_weighted,ice_cap_ratio_hundredlargest_glac,max_elev_area_weighted,min_elev_area_weighted,mean_area_ten_largest_glac,resp_time_-50%_1_5_deg,resp_time_-50%_3_0_deg,resp_time_-80%_1_5_deg,resp_time_-80%_3_0_deg,resp_time_-50%_1_5_deg_only_global_models,resp_time_-50%_3_0_deg_only_global_models,resp_time_-80%_1_5_deg_only_global_models,resp_time_-80%_3_0_deg_only_global_models,Unnamed: 0,rgi_year_weighted_median,regional_volume_m3_itmix,dvoldt_m3_hugonnet,regional_volume_m3_2020_via_5yravg,regional_volume_m3_2000_via_5yravg,regional_volume_m3_itmix_vs_2020,20yr_regional_dvol_dt_2000_2019_vs_2000_vol_%,ice_loss_1.2°C_%_rel_2020,ice_loss_slope_1.5_to_3.0_per_tenth_degC_rel_2020
All,All,Globally,1.514579118021091,-8.904140855890253,2.2746514197873976e-05,25.51155935019364,1.54,1.43,1.8,1.81,1.87,1.8,11.407291496454967,34.51169460288824,34.51169460288824,0.52,-0.3772795223280945,2145.077168,1367.8982366734563,0.22,2265.4524009254146,897.5589880531296,4446.0718,148.0,69.5,463.0,219.5,148.0,69.5,463.0,219.5,Globally,2000.0,158156598376377.1,-313628044389.0,152767463429916.1,159040024317696.1,1.0335969154746385,3.9440140396671604,39.14719096044516,2.0220269138526006
01,01,01,1.407023832938327,-2.6801206024367445,5.571641615457996e-05,23.79428402743928,1.28,1.18,1.5,1.48,1.54,1.5,13.940350632014026,60.161149435058356,60.161149435058356,0.49,-0.7683859257465491,653.97217,2641.0940383974166,0.0,3188.240244615359,547.1462062179426,1621.7366000000002,47.0,34.5,104.0,74.5,47.0,34.5,104.0,74.5,01,2010.0,18978458004176.426,-78413624315.0,18050607173096.426,19618879659401.426,1.0430978551137684,7.993690330571344,37.39815399936666,1.9612077332448867
02,02,02,0.9383496959426416,1.3703695285330897,3.9487289881419456e-05,20.41236061502408,1.23,1.19,1.4,1.34,1.34,1.4,18.326459816372978,52.251361952935085,52.251361952935085,0.0,-0.5199899593405874,27.552247,992.4045980700931,0.0,2572.494400527009,1580.0898024569162,130.0924,24.5,14.0,57.5,30.0,24.5,14.0,57.5,28.5,02,2004.0,1046788230881.7769,-8894467518.0,883492104582.7769,1061381454937.7769,1.1573412254041626,16.76017133448301,74.13057810492475,1.2134689671165697
03,03,03,1.6490747819813445,-20.2514216420849,6.028361059496578e-06,38.827305668178425,1.98,1.74,2.4,2.42,2.39,2.4,9.61897777676974,79.16309767346854,79.16309767346854,0.5,-0.29075040625958215,754.893368,1451.742773465945,0.1,1613.691577803021,161.94880433707542,1958.6019000000003,255.0,153.5,644.5,394.0,255.0,153.5,644.5,394.0,03,1999.0,28331244808068.367,-35953347638.0,27612177855308.367,28331244808068.367,1.0260416601880522,2.5380704505974236,32.54453287874664,2.411266221808025
04,04,04,0.628456150443581,-14.432081628325776,9.979761844448688e-06,34.7842938797273,1.79,1.72,2.1,2.22,2.27,2.1,11.50362336073845,69.7007918018419,69.7007918018419,0.09,-0.648142925758006,338.164024,1021.9116435175424,0.02,1406.1042741935405,384.192630675998,872.2976000000001,119.5,60.5,241.5,121.0,119.5,60.5,241.5,121.0,04,2001.0,8611334843760.109,-31178582562.0,8013633988304.109,8637205639549.109,1.0738742199773528,7.219599454535535,85.18572860419513,0.8050212867972012
05,05,05,1.230881183340724,-11.933206444793925,1.7441789949425186e-05,25.983983135433327,1.61,1.39,2.0,1.88,1.92,2.0,10.303661277777408,74.61123785130198,74.61123785130198,0.47,-0.39584016945331346,519.703381,1109.8901279518436,0.0,1474.056598512371,364.16647056052716,1264.8048999999999,137.0,82.0,373.0,218.5,137.0,82.0,373.0,218.5,05,2001.0,15692033458744.645,-41782646151.0,14899494353980.645,15735147277000.645,1.0532864533149149,5.31074103285602,58.20390402276625,1.7335736743625716
06,06,06,1.0739992937292369,1.129138902509348,7.075046370323855e-05,12.656960909338078,0.94,0.94,1.1,0.94,1.05,1.1,6.743029901353562,64.47151889556679,64.47151889556679,0.0,-0.8463352898078775,296.7234125,1232.269068953289,0.2,1732.60856032972,500.3394913764311,718.3018999999999,112.0,56.0,316.0,131.0,112.0,60.0,316.0,154.0,06,2000.0,3769573579070.284,-11012841690.0,3549316745270.284,3769573579070.284,1.0620561222363454,5.843017232053167,60.64963904175271,2.1598171923286498
07,07,07,2.822035953637457,-6.5551149646659725,1.66435192529833e-05,21.64027096938718,2.51,1.63,2.9,2.97,2.27,2.9,8.75452078972797,78.91578209073909,78.91578209073909,0.48,-0.30827758725420706,244.416009,773.4183015285464,0.46,849.3712273477137,75.95292581916738,798.1735000000001,121.5,69.5,318.5,182.5,121.5,69.5,318.5,182.5,07,2008.0,7470376412511.064,-12399004187.0,7295130096198.064,7543110179928.064,1.0203218267515286,3.287504462017084,46.24909257266392,2.3933926429553187
08,08,08,1.052980738769199,1.0921814492275077,4.95043997761857e-05,20.59918361581451,1.21,1.18,1.3,1.28,1.32,1.3,11.861045884121374,64.35768285882182,64.35768285882182,0.0,-0.5650634113008173,7.48981625,598.5131984199941,0.0,1637.433389745967,1038.9201913259726,33.0421,67.5,24.0,166.5,54.0,62.0,23.0,150.5,52.0,08,2002.0,298508989712.5054,-1961837569.0,263783221386.50537,303019972776.5054,1.134170305976112,12.9485693700261,65.52017891369613,1.2133958687827573
09,09,09,2.6889165918635527,-13.099856543490215,9.639302618959734e-06,35.77313913313256,2.54,1.83,3.2,3.12,2.51,3.2,11.856635901968538,78.17899990223991,78.17899990223991,0.62,-0.20177738430480932,354.954584,657.1376822364966,0.77,721.9335202540127,64.79583801751609,887.8713,180.5,70.5,445.0,162.5,180.5,70.5,445.0,162.5,09,2001.0,14640222359605.713,-12246986025.0,14405140865371.713,14650080585881.713,1.0161507725841576,1.6719342877611778,64.6337610013736,1.656492755259245
10,10,10,1.582657703781905,-7.758692103946819,1.5785490066299223e-05,36.6123171382118,1.45,1.41,1.7,1.7,1.73,1.7,18.374719331665595,55.14819384445291,55.14819384445291,0.0,-0.5161203078995275,3.70412053125,843.8616184910126,0.03,2849.9274053521062,2008.027936522175,27.042199999999998,22.5,13.0,47.5,26.0,22.0,13.0,44.0,25.5,10,2011.0,135781117174.37144,-1479667105.0,121352273970.37144,150945616060.37146,1.1087420926329468,19.60530081785482,55.820065334342864,1.6415417259087908
11,11,11,1.6492659738555413,3.0582564959847103,4.350681611327153e-05,17.829911289901595,1.26,1.21,1.4,1.37,1.39,1.4,20.931762362664937,46.288243206991915,46.288243206991915,0.0,-0.8048656104244893,3.689512390625,1162.4289800998592,0.0,3571.1832553751033,2408.7542752752443,30.7231,19.0,11.0,42.5,22.5,17.0,10.0,35.5,18.5,11,2003.0,127924280027.97604,-1988681813.0,94276456482.97604,134050092737.97604,1.3592093082094323,29.67072640355752,56.153844137524935,2.0058560880871132
12,12,12,1.003901646144967,0.688993607188263,3.8198358613137655e-05,28.175152933175667,1.3,1.26,1.4,1.41,1.39,1.4,24.218471880470577,42.75521573812235,42.75521573812235,0.0,-0.5064034222891132,1.80360765625,1246.2468217096969,0.0,4048.1564179428797,2801.909596233183,19.4205,14.0,10.0,30.0,20.0,14.0,10.0,28.0,19.0,12,2001.0,63079840497.25584,-791949363.0,47641376997.25584,63480364262.25584,1.3132658742032233,24.95100247781273,22.72591566189601,2.7847545503451996
13,13,13,1.4920220486667135,-2.908240659614808,1.0756945379434294e-05,25.17586077757122,1.26,1.24,1.4,1.38,1.42,1.4,19.485780826743945,37.37471994010694,37.37471994010694,0.0,-0.19469975603072556,44.11598,1220.3973840351623,0.31,5690.424079833009,4470.026695797846,285.1677000000001,40.0,23.0,103.0,63.0,38.0,23.0,102.0,64.5,13,2007.0,3270826834686.065,-11299332251.0,3078414895180.065,3304401540190.065,1.0470212392470293,6.838958349081315,12.250993231776249,3.023927885696307
14,14,14,1.3892638891867852,-0.4269441206500716,1.39379938326807e-05,22.9087147400193,1.24,1.22,1.4,1.36,1.36,1.4,22.31301509239461,35.21944236302262,35.21944236302262,0.0,-0.1357429138582299,89.50501225,1965.4436802545065,0.0,6324.098458968638,4358.654778714131,497.29709999999994,53.5,30.0,139.5,69.0,53.0,30.0,124.0,78.0,14,2001.0,2865118265364.5166,-5360179165.0,2761335969991.5166,2868539553291.5166,1.0368560527814032,3.7372182362620325,5.456774549534842,3.375261398775059
15,15,15,0.927204183952314,1.753417857379813,3.895410616665324e-05,16.363597466665045,1.14,1.11,1.2,1.2,1.24,1.2,21.128206579737867,29.12429836845175,29.12429836845175,0.0,-0.46752554307393157,10.639088125,1433.2273694595242,0.12,6162.277389738869,4729.050020279345,84.4479,21.0,13.5,47.5,28.0,18.0,12.5,37.0,25.5,15,2002.0,877313046686.3774,-8088040849.0,729188872140.3774,890949689130.3774,1.1989600962720506,18.155999037149748,48.59573023291264,1.71110140851309
16,16,16,0.1444728712337717,8.462618709513913,3.550743834946202e-05,3.2410199084842497,1.1,1.1,1.2,1.2,1.12,1.2,25.27310293391473,11.88955081020703,-11.88955081020703,0.0,-0.39924364046799354,0.9348815625,870.6637676652558,0.0,5661.561988794704,4790.898221129449,11.784400000000002,10.0,10.0,23.0,12.0,10.0,10.0,21.0,12.0,16,2000.0,98363145728.46413,-1097299182.0,76417162088.46413,98363145728.46413,1.2871865827023816,22.311185228442035,23.333213018512993,2.9654531060120988
17,17,17,0.285004572639473,4.1296981942186735,2.672013083579242e-05,9.978728694928709,0.79,0.79,0.8,0.7,0.74,0.8,14.91016611120701,48.13980351455752,-48.13980351455752,0.84,-0.701846366357281,265.292667,1955.2719861074486,0.35,2578.142841992448,622.8632364314481,725.0404,37.0,31.0,86.5,77.0,37.0,31.0,86.5,77.0,17,2000.0,5339818713055.358,-24340468242.0,4853009348225.358,5339818713055.358,1.1003108236375063,9.116589738333186,38.82554443422079,1.5419303330823064
18,18,18,0.7712373548432749,6.006265385184219,9.920783100648712e-05,11.349774900834053,0.85,0.86,0.9,0.82,0.85,0.9,25.557732004017904,43.79637082890104,-43.79637082890104,0.0,-0.554379788766923,3.730063328125,1243.2906891972034,0.0,2523.6886110444048,1280.3979218472011,28.6515,15.5,11.0,36.5,26.0,15.5,11.0,36.5,25.5,18,1978.0,73695355264.16779,-765285716.0,58389640949.167786,73695355264.16779,1.2621306463356288,20.768899566513056,15.452034332212989,2.9098099878756387
19,19,19,1.6479419164493834,-10.332511483238438,2.602858248093632e-05,16.92843509403304,1.02,1.03,1.2,1.1,1.04,1.2,3.6322984791305073,70.33541327614441,-70.33541327614441,0.27,-0.155919556143344,1812.480528,1037.0557737044228,0.09,1051.3600137141425,14.30424000971978,3915.6341,290.0,213.0,828.0,556.0,290.0,213.0,828.0,556.0,19,1986.0,46466137091361.65,-24573803048.0,45974661030391.65,46466137091361.65,1.0106901508340649,1.0577080250799857,35.69380797855516,1.7242272103880125
