,rgi_reg,model_author,temp_ch_ipcc,gcm_period_scenario,min_perc_change,resp_time_-50%,resp_time_-80%,resp_time_-90%,diff_resp_time_-50%,diff_resp_time_-80%,diff_resp_time_-90%
0,All,GLIMB,0.3028923844731737,ipsl-cm6a-lr_1951-1970_hist,25,420.0,1138.0,1785.0,88.0,208.0,282.5
1,All,GLIMB,0.478288564324949,gfdl-esm4_1901-1920_hist,25,382.0,1152.0,1877.0,87.0,260.5,397.5
2,All,GLIMB,0.9014667339962784,gfdl-esm4_1995-2014_hist,25,312.0,1001.0,1660.0,122.0,440.0,720.0
3,All,GLIMB,0.9049395549636868,mpi-esm1-2-hr_1995-2014_hist,25,329.0,1032.0,1763.0,148.0,511.0,888.0
4,All,GLIMB,0.913313145803356,ipsl-cm6a-lr_1995-2014_hist,25,307.0,966.0,1597.0,135.0,483.0,781.0
5,All,GLIMB,0.9222489478058092,mri-esm2-0_1995-2014_hist,25,331.0,1019.0,1663.0,129.0,421.0,658.0
6,All,GLIMB,1.0587674077643272,ukesm1-0-ll_1995-2014_hist,25,344.0,1037.0,1692.0,144.0,447.0,710.0
7,All,GLIMB,1.4691135287002737,mpi-esm1-2-hr_2021-2040_ssp126,25,270.0,867.0,1471.0,105.0,352.0,589.0
8,All,GLIMB,1.4885639337566965,gfdl-esm4_2021-2040_ssp370,25,254.0,827.0,1395.0,100.0,342.0,560.0
9,All,GLIMB,1.4937790687750323,mpi-esm1-2-hr_2021-2040_ssp370,25,257.0,822.0,1398.0,107.0,371.0,643.0
10,All,GLIMB,1.493791625332881,gfdl-esm4_2021-2040_ssp126,25,256.0,827.0,1399.0,100.0,331.0,542.0
11,All,GLIMB,1.5283027574212975,mpi-esm1-2-hr_2021-2040_ssp585,25,264.0,815.0,1330.0,106.0,318.0,474.0
12,All,GLIMB,1.5298023875255358,gfdl-esm4_2021-2040_ssp585,25,247.0,810.0,1378.0,102.0,347.0,574.0
13,All,GLIMB,1.636714986028974,ipsl-cm6a-lr_2021-2040_ssp126,25,241.0,748.0,1243.0,123.5,396.0,625.0
14,All,GLIMB,1.656830649489223,mpi-esm1-2-hr_2041-2060_ssp126,25,253.0,805.0,1353.0,105.0,341.0,544.0
15,All,GLIMB,1.6599956464695365,mpi-esm1-2-hr_2081-2100_ssp126,25,240.0,780.0,1338.0,122.0,425.5,673.0
