,Mass 2020,Committed glacier mass loss at ΔT (% rel. to 2020),Committed glacier mass loss at ΔT (% rel. to 2020),Committed glacier mass loss at ΔT (% rel. to 2020),Committed glacier mass loss at ΔT (% rel. to 2020),Committed glacier mass loss at ΔT (% rel. to 2020),Committed glacier mass loss at ΔT (% rel. to 2020),Sensitivity (% per 0.1°C rel. to 2020),Response timescale (years),rgi_reg
,(Gt),1.2°C,1.5°C,2.0°C,2.7°C,3.0°C,4.0°C,1.5–3.0°C,1.5±0.2°C,
Region,,,,,,,,,,
Global,137491,39 [15–55],47 [20–64],63 [43–76],76 [54–82],77 [60–85],86 [74–93],2.0 [1.6–2.4],463 [216–805],global
Sub- & Antarctic Islands,41377,36 [-21–52],44 [-12–59],56 [4–70],67 [24–81],70 [31–85],77 [54–91],1.7 [1.4–2.5],828 [224–1322],19
Arctic Canada N,24851,33 [-1–67],35 [4–70],47 [18–71],69 [37–83],71 [37–83],82 [47–95],2.4 [1.8–2.3],644 [356–735],03
Alaska,16246,37 [30–51],41 [31–58],58 [34–69],69 [44–79],71 [47–82],80 [56–90],2.0 [1.3–2.1],104 [74–173],01
Greenland Periphery,13410,58 [42–72],63 [44–75],68 [53–79],86 [70–93],89 [73–96],95 [87–99],1.7 [1.3–2.2],373 [260–656],05
Russian Arctic,12965,65 [46–80],75 [57–89],88 [72–99],99 [86–100],100 [90–100],100 [94–100],1.7 [1.5–2.1],445 [321–902],09
Arctic Canada S,7212,85 [83–94],87 [83–96],95 [90–98],99 [96–100],99 [96–100],100 [98–100],0.8 [0.4–1.0],241 [190–573],04
Svalbard & Jan Mayen,6566,46 [25–61],59 [34–73],82 [51–96],94 [63–100],95 [70–100],98 [79–100],2.4 [2.1–2.4],318 [208–629],07
Southern Andes,4368,39 [21–57],45 [25–61],50 [29–73],64 [39–81],68 [45–84],79 [57–91],1.5 [1.3–1.6],86 [61–111],17
Iceland,3194,61 [39–73],65 [40–80],77 [49–91],96 [82–99],97 [83–100],99 [92–100],2.2 [1.4–2.6],316 [207–640],06
Central Asia,2771,12 [3–32],35 [18–54],57 [34–73],77 [48–86],80 [52–89],91 [70–96],3.0 [2.2–3.2],103 [72–138],13
South Asia W,2485,5 [0–30],17 [10–51],38 [24–67],59 [36–79],68 [40–84],80 [54–91],3.4 [2.0–3.6],139 [100–175],14
W Canada & US,795,74 [43–93],81 [61–94],93 [79–99],98 [92–99],99 [94–100],100 [98–100],1.2 [0.4–1.6],57 [44–109],02
South Asia E,656,49 [18–63],63 [34–74],74 [56–85],84 [62–91],88 [68–93],93 [79–97],1.7 [1.4–2.1],47 [32–72],15
Scandinavia,237,66 [24–85],82 [51–93],100 [83–100],100 [100–100],100 [100–100],100 [100–100],1.2 [0.8–1.5],166 [102–235],08
North Asia,109,56 [46–72],70 [58–79],86 [79–91],93 [89–95],94 [91–96],98 [96–98],1.6 [1.2–2.0],47 [38–114],10
Central Europe,85,56 [52–61],65 [56–75],86 [79–91],93 [90–95],95 [93–97],99 [98–99],2.0 [1.5–2.0],42 [29–64],11
Low Latitudes,69,23 [-8–37],46 [13–62],68 [47–78],87 [71–90],91 [81–93],96 [93–98],3.0 [2.1–3.7],23 [14–30],16
New Zealand,53,15 [2–39],24 [6–45],34 [14–55],61 [46–77],67 [52–80],82 [76–92],2.9 [2.7–2.9],36 [28–45],18
Caucasus & Middle East,43,23 [15–35],45 [18–56],59 [43–72],82 [68–87],87 [76–90],95 [87–96],2.8 [2.3–2.7],30 [26–56],12
