year,internal,brick,climate,emissions,tipping,interactions
2020,0.0,0.0,0.0,0.0,0.0,0.0
2021,0.0,0.0,0.0,0.0,0.0,0.0
2022,0.0,0.0,0.0,0.0,0.0,0.0
2023,0.0,0.0,0.0,0.0,0.0,0.0
2024,0.0,0.0,0.0,0.0,0.0,0.0
2025,0.0,0.0,0.0,0.0,0.0,0.0
2026,0.0,0.6143439691102671,0.12586264320626575,0.002164823357021861,0.08777002628687221,0.16985853803957301
2027,0.0,0.6481992856768828,0.21376405251998132,0.0007721219544706547,0.09400339914772055,0.04326114070094474
2028,0.0,0.6753202596192077,0.2139620177465895,0.0006938921584769785,0.07622443287563037,0.0337993976000956
2029,0.0,0.6595213707632877,0.23480580479730545,0.001415086338978228,0.07580546236177992,0.028452275738648728
2030,0.0,0.6058028983439397,0.23472717705822177,0.00023165709523557888,0.07835518121293046,0.08088308628967253
2031,0.0,0.5931932752210045,0.2457993598818307,9.710524357019113e-05,0.0793459232026239,0.08156433645097069
2032,0.0,0.5727532016961986,0.24026689272897214,-3.667471278482936e-05,0.07941091832658474,0.10760566196102937
2033,0.0,0.5461589585499392,0.26376708427462114,9.87894309468692e-05,0.07877793291396852,0.11119723483052432
2034,0.0,0.5320518529807826,0.2856458110497235,0.0005272868445328868,0.07930465794027466,0.10247039118468636
2035,0.0,0.5250616539989051,0.2916087262424706,9.189704037589911e-05,0.08010535991732137,0.10313236280092704
2036,0.0,0.5259728314119042,0.3130918061891659,-0.00020384657153768191,0.07979218241307827,0.08134702655738943
2037,0.0,0.5195278508785219,0.3132634956425681,-0.0003253630516228115,0.07878396085884558,0.08875005567168731
2038,0.0,0.5046360199406196,0.3243017890945574,-4.4512314684775007e-05,0.07944456189961394,0.09166214137989387
2039,0.0,0.4910766414951816,0.32862851746404464,0.00019758123196605496,0.07938116120764593,0.10071609860116175
2040,0.0,0.49921547193432647,0.3178144660962671,4.345468287548985e-05,0.07972681513011456,0.1031997921564164
2041,0.0,0.46743633307425503,0.32413003846093685,-0.00014574650078954336,0.08037579831037843,0.12820357665521906
2042,0.0,0.4659913517903477,0.34029782928129826,0.0003056582807647658,0.07978420921434401,0.1136209514332452
2043,0.0,0.4679433691843568,0.3578331049602083,0.0006931291785881997,0.07911427637422552,0.0944161203026212
2044,0.0,0.46700210377141216,0.3642729717373743,0.0005149254042930052,0.0791253166811319,0.08908468240578876
2045,0.0,0.4711414834931997,0.3721558186135968,0.0006294884959377106,0.07918374706417396,0.07688946233309189
2046,0.0,0.4669305840684806,0.3773500232087581,0.0002847222858630815,0.07931626776185642,0.07611840267504166
2047,0.0,0.4644301911292168,0.37465851460131283,0.0004645819324414774,0.07947260222487583,0.0809741101121532
2048,0.0,0.46301728985021495,0.3835143744638081,0.0006561061701532701,0.07991918805362036,0.07289304146220324
2049,0.0,0.4572957877001802,0.3798345886993197,0.0005535556982768513,0.0799125226945661,0.08240354520765707
2050,0.0,0.4551373533321812,0.38424900056427375,0.0008141395125865742,0.080509397436564,0.07929010915439444
2051,0.0,0.4409565503952223,0.4030008390706163,0.0012261153291663431,0.08067179344726466,0.0741447017577306
2052,0.0,0.4490974226272491,0.407779655702,0.0008438726986264495,0.08063549253791749,0.06164355643420678
2053,0.0,0.4359171110978139,0.41025478682183636,0.0008553553195764147,0.08109151826075593,0.0718812285000174
2054,0.0,0.428294753769472,0.41605809230635327,0.0009076296170280248,0.08151339087190093,0.07322613343524573
2055,0.0,0.42217513693624054,0.42307036377864143,0.001104371841783325,0.08188303158413303,0.07176709585920159
2056,0.0,0.4161062705932195,0.4263308706604238,0.0010198729517837493,0.08236700313078507,0.07417598266378794
2057,0.0,0.40460380998237905,0.43337063044846447,0.001523692260390683,0.08306107552388217,0.07744079178488361
2058,0.0,0.3948180894515525,0.4469802557047793,0.001931976089533538,0.08386922661084449,0.07240045214329027
2059,0.0,0.3904003453328219,0.44504019296718494,0.002116423880932489,0.08421754863672892,0.07822548918233181
