threshold_C,year_p5_crossing,year_p50_crossing,year_p95_crossing
1.5,2027,2030.0,2036.0
2.0,2040,2050.0,
2.5,2052,2080.0,
3.0,2065,2131.0,
3.5,2079,2269.0,
4.0,2094,,
4.5,2113,,
