threshold_C,p5th_yr_crossing,median_crossing_yr,p95th_yr_crossing,P_2050,P_2100,P_2150
1.5,2030,2038.0,2069.0,0.8812522780370342,0.9607131973780914,0.94409323669477
2.0,2045,2061.0,,0.22491470431826194,0.7934649466117747,0.8150383307739649
2.5,2058,2094.0,,0.005667457382035027,0.5302344062763281,0.640428659349064
3.0,2071,2175.0,,8.962768658990553e-06,0.2836029134973321,0.46163038737086143
3.5,2086,,,0.0,0.1215381306054649,0.30506874443561444
4.0,2103,,,0.0,0.04172766328670702,0.1864315632861095
4.5,2123,,,0.0,0.011809941502996552,0.10563220382530966
5.0,2146,,,0.0,0.0026619422917201945,0.05609498144706888
