emissions,climate,internal,year
0.0,0.0,0.0,2020
0.0,0.12185130162926001,0.87814869837074,2021
0.0,0.15215788348870735,0.8478421165112926,2022
0.0,0.15974620346228005,0.84025379653772,2023
0.0,0.1450384313315368,0.8549615686684633,2024
0.0,0.16822753375212912,0.8317724662478709,2025
0.0,0.3124106321088254,0.6875893678911746,2026
0.0,0.2371387070204316,0.7628612929795684,2027
2.550706402807997e-06,0.18040094208279736,0.8195965072107999,2028
2.635513173859561e-06,0.20525797187307368,0.7947393926137525,2029
0.00020504273679866617,0.22098256439464944,0.7788123928685519,2030
0.0006279558376114919,0.2211136957098459,0.7782583484525426,2031
0.0016675819322527375,0.23116609502878285,0.7671663230389645,2032
0.0029450151832545405,0.37496498716876436,0.622089997647981,2033
0.005640031517247291,0.35638152309313664,0.6379784453896161,2034
0.007309166177650356,0.3422713251025591,0.6504195087197906,2035
0.012667504103798449,0.41327354269815386,0.5740589531980477,2036
0.014087025466330972,0.38884058672156313,0.5970723878121058,2037
0.017478309869545215,0.4050583793743842,0.5774633107560705,2038
0.026401884230948115,0.4289892652241609,0.5446088505448909,2039
0.035116371308724754,0.4842820453395652,0.48060158335171,2040
0.042411711924562556,0.5688254010686387,0.3887628870067988,2041
0.05358070318916363,0.6043565634467193,0.34206273336411697,2042
0.06376886552855832,0.5893317534210553,0.3468993810503866,2043
0.07821861332593866,0.6198793679010386,0.30190201877302275,2044
0.09421071971801438,0.640416479462717,0.26537280081926873,2045
0.09810950156039734,0.6506423349048286,0.2512481635347741,2046
0.1275084733886176,0.7331805271079058,0.1393109995034765,2047
0.1303897261833614,0.6812686435557839,0.18834163026085465,2048
0.13575565612307502,0.6535789323041745,0.21066541157275046,2049
0.1516196149443339,0.6869177776194143,0.16146260743625165,2050
0.1661432095430408,0.6849762038914935,0.14888058656546568,2051
0.17273166569948123,0.6644437102285415,0.16282462407197726,2052
0.1905637540315609,0.6572292999733411,0.15220694599509801,2053
0.2038663603651298,0.6757628195460048,0.12037082008886535,2054
0.22558481131751493,0.6672215704190169,0.1071936182634681,2055
0.23861081957552466,0.6394586690384375,0.12193051138603775,2056
0.23913248858184002,0.6236635578492271,0.13720395356893286,2057
0.23892458554791643,0.610712857529814,0.15036255692226963,2058
0.23780464166362938,0.6190800144361683,0.14311534390020225,2059
0.26958775834596016,0.6397638306775276,0.09064841097651226,2060
0.2833271032057394,0.6347775638973903,0.08189533289687032,2061
0.2951729023751402,0.625735138311642,0.07909195931321773,2062
0.2897158887059171,0.5886407589250903,0.12164335236899279,2063
0.30044637783399686,0.6039568613659646,0.09559676080003836,2064
0.30685779166959265,0.5710550638013152,0.1220871445290921,2065
0.3306149989834111,0.599012555851706,0.07037244516488285,2066
0.3452327838176731,0.5798052655707278,0.07496195061159916,2067
0.3426747902251203,0.5848572287532455,0.07246798102163424,2068
0.339307725577963,0.5603584496672723,0.1003338247547647,2069
0.34771590132954067,0.5575877369504187,0.0946963617200407,2070
0.3729444006831841,0.5779167670595597,0.049138832257256106,2071
0.3699274874415656,0.5549694830353032,0.07510302952313122,2072
0.3662792369287512,0.5801342362429381,0.053586526828310735,2073
0.37848266439357064,0.5642815597826908,0.057235775823738566,2074
0.39043461758664283,0.5474156915828965,0.06214969083046071,2075
0.3972386930013411,0.5550340843699918,0.047727222628667056,2076
0.4110158785020568,0.5516552303593493,0.03732889113859399,2077
0.3997301915708093,0.5581454579295774,0.04212435049961335,2078
0.415779041965375,0.5505096464567697,0.03371131157785524,2079
0.42787375400413874,0.5532635461081408,0.01886269988772043,2080
0.4319744751985693,0.545482888489384,0.022542636312046792,2081
0.440227708713548,0.5230949423015133,0.0366773489849386,2082
0.43270309259949397,0.5281031460054892,0.039193761395016805,2083
0.44998848988174966,0.5156965549709214,0.03431495514732886,2084
0.4434546476808918,0.5234558562024852,0.03308949611662298,2085
0.45274484547026267,0.5112056851079644,0.036049469421772964,2086
0.46287407671212305,0.5001440511113364,0.03698187217654044,2087
0.47884092932287387,0.4907403897384363,0.030418680938689834,2088
0.4639425693949929,0.5013310563337992,0.034726374271207894,2089
0.47646161612025134,0.49067257631423244,0.032865807565516256,2090
0.4737835370790887,0.5031438210957221,0.023072641825189144,2091
0.48003516071082325,0.4946858712190152,0.025278968070161455,2092
0.49173181613376526,0.48771034350945747,0.020557840356777324,2093
