year,mean,p5,p50,p95,mean_AIS_tipping,mean_AIS_quiescent,frac_AIS_tipping
2025,0.0,0.0,0.0,0.0,0.0,0.0,0.45453187101667497
2026,0.0,0.0,0.0,0.0,0.0,0.0,0.45453187101667497
2027,0.0,0.0,0.0,0.0,0.0,0.0,0.45453187101667497
2028,0.0,0.0,0.0,0.0,0.0,0.0,0.45453187101667497
2029,0.0,0.0,0.0,0.0,0.0,0.0,0.45453187101667497
2030,0.0,0.0,0.0,0.0,0.0,0.0,0.45453187101667497
2031,0.0002802876537019092,0.00022658580371448522,0.00027735018973018555,0.0003469206414479231,0.0002857261789220514,0.0002757557976455526,0.45453187101667497
2032,0.0007123629634956949,0.0005577032969217299,0.0007069887000916708,0.0008851312808690892,0.0007318889947473452,0.0006960921622393781,0.45453187101667497
2033,0.0012216677539416388,0.0009227893397021347,0.0012165839170243942,0.0015449327460910212,0.0012639815016525272,0.0011864082293336566,0.45453187101667497
2034,0.0017599861700683002,0.0012704216956151981,0.0017586047812212513,0.0022627857284991393,0.0018300612087938895,0.0017015935037123864,0.45453187101667497
2035,0.0023091868574421173,0.0016145537305689572,0.0023164542662197363,0.00301742137233596,0.002410695810972942,0.0022246006971850417,0.45453187101667497
2036,0.0028698497862470955,0.001988259972780071,0.0028844578387072772,0.0038035596802927785,0.003007835582469308,0.002754867922416651,0.45453187101667497
2037,0.0034350391642386457,0.0023241941177722936,0.0034537988467757685,0.004624384284440453,0.0036161856182972342,0.0032840920560276658,0.45453187101667497
2038,0.004004864379771011,0.002659425577100194,0.0040310334009294735,0.005402938436704474,0.004230418059298585,0.0038169132777305507,0.45453187101667497
2039,0.004578635169794974,0.0030068494227322162,0.004592453883873304,0.006239226328396796,0.004851942360509534,0.0043508916552667445,0.45453187101667497
2040,0.005153389809079106,0.0033490620348270994,0.0051389070976597395,0.007074950647186995,0.005475745670206922,0.004884774641837877,0.45453187101667497
2041,0.0057331323621605335,0.0036600881490826964,0.005745249087151905,0.00790027443822261,0.00610839358155599,0.005420431811736569,0.45453187101667497
2042,0.006312406319878394,0.003978948013081407,0.006289326847593202,0.008801517164325645,0.006741598501706646,0.0059547657629576275,0.45453187101667497
2043,0.006891550822139922,0.004306161824390031,0.0068601753668637855,0.009687648765600798,0.007378186245197194,0.00648604352007723,0.45453187101667497
2044,0.007470828276095438,0.004630577612097397,0.007428561049321658,0.01062697839151383,0.008017838704824365,0.007015011225703857,0.45453187101667497
2045,0.008048799967200954,0.004949200258032249,0.008018885947613796,0.011515274308278478,0.008658282536329413,0.007540925651951131,0.45453187101667497
2046,0.011195124596579021,0.005278183940676584,0.008634268575230308,0.012421865983419877,0.014949127222144145,0.008066960462810196,0.45453187101667497
2047,0.014817589202039853,0.005606944049789675,0.009235549812553145,0.013370183441946182,0.022282849065416582,0.008596880139439347,0.45453187101667497
2048,0.015420804957893275,0.005927675457327197,0.009790205952263875,0.014274383270709734,0.022971080747226005,0.009129253171698593,0.45453187101667497
2049,0.016008379576837997,0.0062176508565094935,0.010332359921278567,0.01523873100528661,0.023629450980641165,0.009657834677397639,0.45453187101667497
2050,0.02076810100876581,0.0065071092269288755,0.010921538018482835,0.016477801398334435,0.033471255076932854,0.010182719242870624,0.45453187101667497
2051,0.021417444711039842,0.006801322151799738,0.011507287839961577,0.01775791544174865,0.034263919406027396,0.010712635632708597,0.45453187101667497
2052,0.024646057999073514,0.007091309537491597,0.012067778536767548,0.018840528312704663,0.04073221295294472,0.011241663278019608,0.45453187101667497
2053,0.025252133047238924,0.007410044832068863,0.012661637608843535,0.019686952127351276,0.041434562055745784,0.011767514342676644,0.45453187101667497
2054,0.028288461761527245,0.0077047962830469885,0.01326750135741861,0.020505619728108826,0.047487802926139286,0.012289887329499613,0.45453187101667497
2055,0.03238355526852408,0.00798918184124986,0.01385715583153413,0.021922776883247508,0.055872607683469265,0.012810417306323969,0.45453187101667497
2056,0.032983965783403034,0.008250032470758839,0.014421246419544786,0.022383196374711645,0.05657200909201753,0.013328339929202716,0.45453187101667497
2057,0.03356967048422992,0.008519396627026055,0.015017275951279885,0.02330629386930383,0.057240368854131356,0.013845169185875306,0.45453187101667497
2058,0.034596604971551086,0.00879938745323372,0.015586872901508286,0.02429281994793797,0.05887552435866636,0.01436528059361316,0.45453187101667497
2059,0.03518704451899302,0.009075444599915272,0.016191699196976828,0.025251365884749077,0.059552009925539696,0.01488401905325995,0.45453187101667497
2060,0.03577452223142509,0.009347848065655029,0.01675196437600235,0.026319900295227683,0.06022474638165288,0.015400451705079341,0.45453187101667497
2061,0.04115833585249374,0.009635384430922045,0.017312779745974893,0.028247962362922152,0.07145152608241857,0.01591539368475305,0.45453187101667497
2062,0.04372399873137768,0.009919203116375286,0.01788411525733835,0.029690774510061857,0.0764770151206829,0.0164313137332303,0.45453187101667497
2063,0.04432189107013505,0.010206961318814933,0.01844666819769003,0.030870289622956903,0.07718185770229179,0.01694008575238329,0.45453187101667497
2064,0.04663283602723254,0.010500174243183835,0.01906894911490653,0.032021751220135286,0.08165339165783961,0.017450638518292486,0.45453187101667497
2065,0.04722172979900649,0.010787163414452294,0.019675644814508786,0.03320069260569625,0.08233858449515362,0.017959287465279562,0.45453187101667497
2066,0.047803820018278535,0.011067800229788816,0.020233564543982396,0.03437036141838945,0.08300555164747533,0.01847065078203373,0.45453187101667497
2067,0.049775123848301545,0.01133037967159467,0.020803264036793223,0.035455948875572574,0.08673248470231106,0.018979010410618228,0.45453187101667497
2068,0.05388126903542638,0.0116047494015028,0.02137576795441376,0.0377209957882485,0.0951538452038803,0.019489339845189347,0.45453187101667497
2069,0.05449084201180483,0.011869473469705127,0.0219580194599871,0.038853183827697535,0.0958830976562835,0.019999185388800623,0.45453187101667497
2070,0.055097980554134604,0.012127318404793641,0.022545469559577924,0.039978395154705026,0.09655912658765352,0.020548918418760886,0.45453187101667497
2071,0.05568451961280328,0.012381317400208758,0.023072681464196165,0.04111443053950836,0.0972390035152778,0.02105768018127078,0.45453187101667497
2072,0.06135061266079234,0.012628552404791549,0.02354780748612484,0.04360532089786773,0.10909625055151131,0.02156476089379281,0.45453187101667497
2073,0.06197321652651904,0.01287365335334556,0.024228135304007026,0.04495076865066494,0.10986240401842094,0.022067746645568515,0.45453187101667497
