year,V_total,V_emissions,V_climate,V_brick,V_seed,V_residual
2020,0.0,0.0,0.0,0.0,0.0,0.0
2021,0.00416690573544604,0.0,0.0,0.0,0.0,0.0
2022,0.014815311049052062,0.0,0.0,0.0,0.0,0.0
2023,0.033225728680624456,0.0,0.0,0.0,0.0,0.0
2024,0.06016679386405823,0.0,0.0,0.0,0.0,0.0
2025,0.09543880185893515,0.0,0.0,0.0,0.0,0.0
2026,0.13726462350947333,0.0,0.0,0.0,0.0,0.0
2027,0.19111583933060858,0.0,0.0,0.0,0.0,0.0
2028,0.2558714985460313,0.0,0.0,0.0,0.0,0.0
2029,0.33215581130224514,0.0,0.0,0.0,0.0,0.0
2030,0.4241452666568866,0.0,0.0,0.0,0.0,0.0
2031,0.5358642365324159,0.0,0.0,0.0,0.0,0.0
2032,0.6682019379730311,0.0,0.0,0.0,0.0,0.0
2033,0.8345858808585092,0.0,0.0,0.0,0.0,0.0
2034,1.0427874258309475,0.0,0.0,0.0,0.0,0.0
2035,1.300467074945256,0.0,0.0,0.0,0.0,0.0
2036,1.6091668391893894,0.0,0.0,0.0,0.0,0.0
2037,2.011083564192134,0.0,0.0,0.0,0.0,0.0
2038,2.5189943013468223,0.0,0.0,0.0,0.0,0.0
2039,3.1281567856483985,0.0,0.0,0.0,0.0,0.0
2040,3.884476837751672,0.0,0.0,0.0,0.0,0.0
2041,4.836033210428844,0.0,0.0,0.0,0.0,0.0
2042,5.959713203530017,0.0,0.0,0.0,0.0,0.0
2043,7.3198233813210845,0.0,0.0,0.0,0.0,0.0
2044,8.93673928935279,0.0,0.0,0.0,0.0,0.0
2045,10.844006148298641,0.0,0.0,0.0,0.0,0.0
2046,13.095691067788081,0.0,0.0,0.0,0.0,0.0
2047,15.707516598046421,0.0,0.0,0.0,0.0,0.0
2048,18.71008544750974,0.0,0.0,0.0,0.0,0.0
2049,22.116756912207492,0.0,0.0,0.0,0.0,0.0
2050,25.94403800626231,0.0,0.0,0.0,0.0,0.0
2051,30.230960461798677,0.0,0.0,0.0,0.0,0.0
2052,34.937532656726304,0.0,0.0,0.0,0.0,0.0
2053,40.184654803090815,0.0,0.0,0.0,0.0,0.0
2054,45.92620595148838,0.0,0.0,0.0,0.0,0.0
2055,52.17794669210401,0.0,0.0,0.0,0.0,0.0
2056,58.944725017087215,0.0,0.0,0.0,0.0,0.0
2057,66.24705770357347,0.0,0.0,0.0,0.0,0.0
2058,74.07937881910145,0.0,0.0,0.0,0.0,0.0
2059,82.4856687950866,0.0,0.0,0.0,0.0,0.0
2060,91.43071244604556,0.0,0.0,0.0,0.0,0.0
2061,100.91532286138244,0.0,0.0,0.0,0.0,0.0
2062,110.94539662097921,0.0,0.0,0.0,0.0,0.0
2063,121.50764395343207,0.0,0.0,0.0,0.0,0.0
2064,132.65055850655366,0.0,0.0,0.0,0.0,0.0
2065,144.32750882856766,0.0,0.0,0.0,0.0,0.0
2066,156.63759427751324,0.0,0.0,0.0,0.0,0.0
2067,169.43667488493895,0.0,0.0,0.0,0.0,0.0
2068,182.80581306178843,0.0,0.0,0.0,0.0,0.0
2069,196.71565701037946,0.0,0.0,0.0,0.0,0.0
2070,211.09782105539762,0.0,0.0,0.0,0.0,0.0
2071,226.03983448560152,0.0,0.0,0.0,0.0,0.0
2072,241.58466984990753,0.0,0.0,0.0,0.0,0.0
2073,257.66094716604766,0.0,0.0,0.0,0.0,0.0
2074,274.2279401301133,0.0,0.0,0.0,0.0,0.0
2075,291.34370821591,0.0,0.0,0.0,0.0,0.0
2076,309.0458342319123,0.0,0.0,0.0,0.0,0.0
2077,327.2744983389483,0.0,0.0,0.0,0.0,0.0
2078,346.03000554296636,0.0,0.0,0.0,0.0,0.0
2079,365.333613035053,0.0,0.0,0.0,0.0,0.0
2080,385.2302089411122,0.0,0.0,0.0,0.0,0.0
2081,405.7011794211309,0.0,0.0,0.0,0.0,0.0
2082,426.63763626546745,0.0,0.0,0.0,0.0,0.0
2083,448.1227897458929,0.0,0.0,0.0,0.0,0.0
2084,470.211808169818,0.0,0.0,0.0,0.0,0.0
2085,492.8520609209111,0.0,0.0,0.0,0.0,0.0
2086,515.9363734734596,0.0,0.0,0.0,0.0,0.0
2087,539.667976061079,0.0,0.0,0.0,0.0,0.0
2088,563.8582558769439,0.0,0.0,0.0,0.0,0.0
2089,588.6613989399991,0.0,0.0,0.0,0.0,0.0
2090,614.0117301749028,0.0,0.0,0.0,0.0,0.0
2091,639.9199671935207,0.0,0.0,0.0,0.0,0.0
2092,666.3021597692363,0.0,0.0,0.0,0.0,0.0
2093,693.2137775416685,0.0,0.0,0.0,0.0,0.0
2094,720.8558335930467,0.0,0.0,0.0,0.0,0.0
2095,749.0297914028507,0.0,0.0,0.0,0.0,0.0
2096,777.7310497229242,0.0,0.0,0.0,0.0,0.0
2097,806.8699113277144,0.0,0.0,0.0,0.0,0.0
2098,836.6204224232979,0.0,0.0,0.0,0.0,0.0
2099,867.0374520273301,0.0,0.0,0.0,0.0,0.0
2100,897.9313299751428,0.0,0.0,0.0,0.0,0.0
2101,929.3397591568504,0.0,0.0,0.0,0.0,0.0
2102,961.3475129150963,0.0,0.0,0.0,0.0,0.0
2103,993.97051089725,0.0,0.0,0.0,0.0,0.0
2104,1027.2460383050588,0.0,0.0,0.0,0.0,0.0
2105,1061.11391511632,0.0,0.0,0.0,0.0,0.0
2106,1095.515701998961,0.0,0.0,0.0,0.0,0.0
2107,1130.5069518013267,0.0,0.0,0.0,0.0,0.0
2108,1166.1217693175413,0.0,0.0,0.0,0.0,0.0
2109,1202.3272198695402,0.0,0.0,0.0,0.0,0.0
2110,1239.2899465682904,0.0,0.0,0.0,0.0,0.0
2111,1276.7459171160758,0.0,0.0,0.0,0.0,0.0
2112,1314.9249771298394,0.0,0.0,0.0,0.0,0.0
2113,1353.7737048744696,0.0,0.0,0.0,0.0,0.0
2114,1393.1481465502031,0.0,0.0,0.0,0.0,0.0
2115,1433.2224288176596,0.0,0.0,0.0,0.0,0.0
2116,1473.8084340324983,0.0,0.0,0.0,0.0,0.0
2117,1515.1584129292178,0.0,0.0,0.0,0.0,0.0
2118,1557.275118055588,0.0,0.0,0.0,0.0,0.0
2119,1599.8945257695448,0.0,0.0,0.0,0.0,0.0
2120,1643.1685850417864,0.0,0.0,0.0,0.0,0.0
2121,1686.9289631946406,0.0,0.0,0.0,0.0,0.0
2122,1731.532953526336,0.0,0.0,0.0,0.0,0.0
2123,1776.7519430020016,0.0,0.0,0.0,0.0,0.0
2124,1822.693712857852,0.0,0.0,0.0,0.0,0.0
2125,1869.4951651287263,0.0,0.0,0.0,0.0,0.0
2126,1916.7215446370872,0.0,0.0,0.0,0.0,0.0
2127,1964.6659572344747,0.0,0.0,0.0,0.0,0.0
2128,2013.3393640899337,0.0,0.0,0.0,0.0,0.0
2129,2062.854969256201,0.0,0.0,0.0,0.0,0.0
2130,2112.892435552646,0.0,0.0,0.0,0.0,0.0
2131,2163.51581156132,0.0,0.0,0.0,0.0,0.0
2132,2214.8561437290546,0.0,0.0,0.0,0.0,0.0
2133,2267.060466747388,0.0,0.0,0.0,0.0,0.0
2134,2319.775715861051,0.0,0.0,0.0,0.0,0.0
2135,2372.9884756027673,0.0,0.0,0.0,0.0,0.0
2136,2426.9283491872898,0.0,0.0,0.0,0.0,0.0
2137,2481.8276830909094,0.0,0.0,0.0,0.0,0.0
2138,2537.2983118461684,0.0,0.0,0.0,0.0,0.0
2139,2593.337927989175,0.0,0.0,0.0,0.0,0.0
