year,feature,axis,V_shap
2020,year,year,0.08428036059818275
2020,cum_co2_2030,emissions,5.4698257317773714e-05
2020,cum_co2_2100,emissions,0.01285338111787753
2020,cum_co2_2300,emissions,0.0007698835430412081
2020,peak_co2_emissions,emissions,0.0003418370159726912
2020,peak_co2_year,emissions,1.155003578593441e-05
2020,slope_co2_2050_2100,emissions,8.719123720792657e-06
2020,frac_negative_post_2050,emissions,1.9151509684821424e-05
2020,cum_ch4_2100,emissions,0.021046920054996154
2020,forcing_4co2,climate,0.001616164826699835
2020,ocean_heat_capacity[0],climate,0.00011326680626618372
2020,ocean_heat_capacity[1],climate,0.00016661175563962007
2020,ocean_heat_capacity[2],climate,0.0022737890551967526
2020,ocean_heat_transfer[0],climate,0.038504961019897414
2020,ocean_heat_transfer[1],climate,0.00033870022066435625
2020,ocean_heat_transfer[2],climate,0.0011858880450323801
2020,deep_ocean_efficacy,climate,0.00133534315909855
2020,iirf_0[CO2],climate,6.397861193968948e-05
2020,iirf_uptake[CO2],climate,0.0004714581057573679
2020,iirf_temperature[CO2],climate,0.00033859522747545993
2020,iirf_airborne[CO2],climate,0.00023459439862056735
2020,erfari_radiative_efficiency[BC],climate,5.685063805329745e-05
2020,erfari_radiative_efficiency[Sulfur],climate,3.377751748583383e-05
2020,sigma_eta,climate,2.6698684359349793e-05
2020,sigma_xi,climate,1.379607820388534e-05
2021,year,year,0.08421240254909654
2021,cum_co2_2030,emissions,5.451917500396984e-05
2021,cum_co2_2100,emissions,0.012874443559019406
2021,cum_co2_2300,emissions,0.0007710063539743175
2021,peak_co2_emissions,emissions,0.0003418370159726912
2021,peak_co2_year,emissions,1.1566229878574127e-05
2021,slope_co2_2050_2100,emissions,8.67990834140463e-06
2021,frac_negative_post_2050,emissions,1.9151509684821424e-05
2021,cum_ch4_2100,emissions,0.02105210674309611
2021,forcing_4co2,climate,0.0016259465038150876
2021,ocean_heat_capacity[0],climate,0.00011367210112085795
2021,ocean_heat_capacity[1],climate,0.00017117618749261235
2021,ocean_heat_capacity[2],climate,0.002279299988543838
2021,ocean_heat_transfer[0],climate,0.038488314307958335
2021,ocean_heat_transfer[1],climate,0.00034494123354546506
2021,ocean_heat_transfer[2],climate,0.0011956167616787423
2021,deep_ocean_efficacy,climate,0.001338376633223491
2021,iirf_0[CO2],climate,6.44484591859063e-05
2021,iirf_uptake[CO2],climate,0.00047431230664559917
2021,iirf_temperature[CO2],climate,0.0003575419206151385
2021,iirf_airborne[CO2],climate,0.00023708188062936453
2021,erfari_radiative_efficiency[BC],climate,5.797524385153592e-05
2021,erfari_radiative_efficiency[Sulfur],climate,3.473811979873175e-05
2021,sigma_eta,climate,2.8152125842142117e-05
2021,sigma_xi,climate,1.4286259048725406e-05
2022,year,year,0.08418269661113578
2022,cum_co2_2030,emissions,5.543489642792574e-05
2022,cum_co2_2100,emissions,0.012673679034992164
2022,cum_co2_2300,emissions,0.0007750201592022195
2022,peak_co2_emissions,emissions,0.0003418370159726912
2022,peak_co2_year,emissions,1.1566229878574127e-05
2022,slope_co2_2050_2100,emissions,8.660454953043361e-06
2022,frac_negative_post_2050,emissions,1.9916675068958684e-05
2022,cum_ch4_2100,emissions,0.021222812338265916
2022,forcing_4co2,climate,0.0016477305480313035
2022,ocean_heat_capacity[0],climate,0.00011657979921919119
2022,ocean_heat_capacity[1],climate,0.00017809622538925976
2022,ocean_heat_capacity[2],climate,0.002299001270838166
2022,ocean_heat_transfer[0],climate,0.0385958860507761
