year,mean,p5,p95,var_total,var_emissions,var_climate,var_internal,var_modelled
1850,0.2175044472651961,0.0080991268157959,0.4496634542942042,0.018331464250108072,6.42238720557715e-07,0.018330822011387516,0.20521987403125752,0.22355133828136559
1851,0.22895921137203293,0.020471614599227913,0.46173186898231416,0.018074800206557665,6.422388094111211e-07,0.01807415796774825,0.19867542648215009,0.21675022668870775
1852,0.23806566410356766,0.029242289066314698,0.4728593796491621,0.01811791650402219,6.422387435125684e-07,0.018117274265278673,0.1954288771753573,0.2135467936793795
1853,0.2345401331947861,0.032656580209732056,0.46973465085029575,0.018246168631742454,6.422388585413066e-07,0.01824552639288391,0.19054301865795376,0.2087891872896962
1854,0.21874494632236408,0.01739732027053834,0.4579400509595869,0.018205046443013597,6.42238799822012e-07,0.018204404204213778,0.18596436611706885,0.20416941256008245
1855,0.21227342553430034,0.01454528570175171,0.447681438922882,0.017733277259122042,6.42238720925604e-07,0.01773263502040112,0.18244138280381558,0.20017466006293763
1856,0.21891778880806098,0.02143850326538086,0.4530594021081924,0.01756842997646216,6.422387587600197e-07,0.0175677877377034,0.17771325953691194,0.1952816895133741
1857,0.21307998496331523,0.01600140929222107,0.44588411748409273,0.017548402618725263,6.422387652711378e-07,0.017547760379959993,0.17433942923086757,0.19188783184959282
1858,0.20690161658376605,0.011705464124679566,0.44016762971878043,0.01729607046048512,6.422387471633597e-07,0.017295428221737956,0.1686588230460421,0.18595489350652722
1859,0.2187702170431378,0.02434411048889161,0.4475354790687557,0.0169935274604182,6.422387170130906e-07,0.016992885221701188,0.16587127576981603,0.18286480323023424
1860,0.23475247111318018,0.038920360803604136,0.460794934630394,0.016843710644563744,6.42238719137246e-07,0.016843068405844607,0.16167132048694216,0.1785150311315059
1861,0.2432407980129138,0.0511938750743866,0.46873467862606044,0.01671346825648254,6.422386381115898e-07,0.016712826017844424,0.15762663430828977,0.1743401025647723
1862,0.19562513793862965,0.00522628426551819,0.42259376943111415,0.01684207838433369,6.422388824775649e-07,0.016841436145451215,0.15515854407841784,0.17200062246275152
1863,0.14047537019630452,-0.05507521033287048,0.36958892643451685,0.01722501598137389,6.422387567499254e-07,0.017224373742617143,0.15084224532702495,0.16806726130839883
1864,0.1524273630074179,-0.04072095155715942,0.3848276197910307,0.01712515646376588,6.422386984047342e-07,0.017124514225067475,0.14668179704685586,0.16380695351062174
1865,0.1862377220811022,-0.011417186260223387,0.4136554092168808,0.017043098975212514,6.42238803399286e-07,0.017042456736409115,0.1437082083080433,0.16075130728325582
1866,0.21148578743058108,0.012062919139862061,0.43703546524047787,0.016645704020993666,6.422386878750053e-07,0.01664506178230579,0.14036672419583562,0.1570124282168293
1867,0.2290945344091659,0.031883305311203,0.4540632843971252,0.0164620692493464,6.42238758597708e-07,0.016461427010587802,0.13567833664707948,0.15214040589642588
1868,0.23885412061180042,0.04443386197090149,0.46011104583740214,0.016146487000590813,6.422386297499787e-07,0.016145844761961067,0.13141482540851723,0.14756131240910805
1869,0.24542525237492796,0.05179268121719361,0.46217713654041265,0.015685247282736958,6.422386676049037e-07,0.01568460504406935,0.128725356826887,0.14441060410962395
1870,0.2543951137115221,0.06306115984916687,0.4708583921194076,0.015586245775965452,6.422387364833853e-07,0.015585603537228968,0.12640647479888587,0.14199272057485132
1871,0.2600531584916261,0.07101364135742189,0.47451046407222747,0.015344681916527343,6.422386954825735e-07,0.01534403967783186,0.12443044101109531,0.13977512292762265
1872,0.26745963500473163,0.07969842553138734,0.48165663480758647,0.015375761521480253,6.422387842483868e-07,0.015375119282696005,0.12034001051582402,0.13571577203730428
1873,0.2597697211408898,0.07425590157508852,0.4772990375757213,0.01556934799994051,6.422386824928932e-07,0.015568705761258017,0.11747992923063857,0.13304927723057908
1874,0.24671829609654258,0.06080564260482789,0.4641539633274078,0.015411361002462579,6.422388043901456e-07,0.015410718763658189,0.11474102727710972,0.1301523882795723
1875,0.2471836031119683,0.06124987006187439,0.4604894697666167,0.015108078395221797,6.422386286626066e-07,0.015107436156593134,0.11270632113116995,0.12781439952639173
1876,0.25009439504564196,0.06141307353973389,0.4646386295557022,0.01515727968057231,6.422387339023995e-07,0.015156637441838405,0.1096943156515732,0.1248515953321455
1877,0.253981630382747,0.06535704135894777,0.4677691727876662,0.015098351643969013,6.422387761314935e-07,0.015097709405192882,0.10782379863351985,0.12292215027748886
1878,0.2595401764600177,0.07206877470016479,0.4712695777416221,0.014973586659543917,6.422387694768181e-07,0.01497294442077444,0.10448395673172466,0.11945754339126857
1879,0.26374588291830203,0.07877094149589539,0.47406490147113794,0.014811525540655682,6.422386986920301e-07,0.01481088330195699,0.10210085650635767,0.11691238204701335
1880,0.2638793512560463,0.08119465112686157,0.4745345741510391,0.014612508982310549,6.42238957811739e-07,0.014611866743352738,0.09880321012817758,0.11341571911048813
1881,0.2637895871313085,0.08143201470375061,0.47400943040847776,0.014573057665058429,6.422388595133362e-07,0.014572415426198916,0.09697779363034277,0.1115508512954012
1882,0.26939347671118646,0.086673504114151,0.47770808637142176,0.014507750311553057,6.422387464816917e-07,0.014507108072806578,0.0958479338923056,0.11035568420385866
1883,0.24207020307347382,0.05734148621559143,0.4536640048027034,0.014619031914962813,6.422386884467799e-07,0.014618389676274365,0.09247529070770297,0.10709432262266577
1884,0.0935311742531927,-0.10939809679985044,0.315760821104049,0.017196016682628268,6.422386889340205e-07,0.017195374443939336,0.09141889432364998,0.10861491100627825
1885,-0.016320187992478332,-0.2326914429664612,0.22059316635131834,0.019226010551540617,6.422388366433362e-07,0.019225368312703973,0.088830849877687,0.10805686042922762
1886,0.031695064223112746,-0.17227171659469603,0.2594336271286011,0.018196627944680212,6.422386839891486e-07,0.01819598570599622,0.08644418189247567,0.10464080983715587
1887,0.09968077677439997,-0.10614123940467834,0.3236746072769163,0.017452879842719694,6.422387290855176e-07,0.017452237603990606,0.08520587462574672,0.10265875446846641
1888,0.14727265303121484,-0.059084421396255485,0.36621136069297755,0.01652573524109805,6.422386868192164e-07,0.016525093002411232,0.08327377719625692,0.09979951243735496
1889,0.18414074699139285,-0.014075291156768796,0.39582401812076556,0.01568062584201227,6.422387307651395e-07,0.015679983603281503,0.08019854499013235,0.09587917083214462
1890,0.20270092908915222,0.008851814270019543,0.4082431495189666,0.01514758987164599,6.422387008816715e-07,0.015146947632945109,0.07839633312844231,0.0935439230000883
1891,0.1942691198886675,0.0068087697029113785,0.39935894608497596,0.014788840620688654,6.422387799645293e-07,0.01478819838190869,0.07751882871251108,0.09230766933319973
1892,0.19573173612755607,0.008168542385101323,0.40447223484516126,0.014822932852147955,6.422387122934372e-07,0.014822290613435662,0.07559091625817452,0.09041384911032248
1893,0.2214007801296901,0.03133869171142578,0.42968104779720295,0.014925083975733135,6.422387824931254e-07,0.014924441736950645,0.07374349694912659,0.08866858092485973
1894,0.2479562714337734,0.06336854696273807,0.4587370276451108,0.014846078727666478,6.422387563627328e-07,0.014845436488910116,0.07273272136404298,0.08757880009170946
1895,0.265547651300105,0.07958908081054689,0.4722751796245573,0.01447741538080047,6.422387036370443e-07,0.014476773142096836,0.07054057821649698,0.08501799359729745
