year,feature,axis,V_shap
2025,erfari_radiative_efficiency[NH3],climate,0.0
2025,aci_shape[Sulfur],climate,0.0
2025,aci_shape[BC],climate,0.0
2025,aci_shape[OC],climate,0.0
2025,aci_scale,climate,0.0
2025,forcing_scale[CH4],climate,0.0
2025,forcing_scale[N2O],climate,0.0
2025,sigma_eta,climate,0.0
2025,sigma_xi,climate,1.5402456371310887e-12
2025,thermal_alpha,brick,1.600581583173551e-09
2025,thermal_s0,brick,1.2121747694169364e-09
2025,glaciers_beta0,brick,3.008959293575929e-11
2025,glaciers_v0,brick,0.0
2025,glaciers_s0,brick,0.0
2025,glaciers_n,brick,0.0
2025,greenland_a,brick,0.0
2025,greenland_b,brick,0.0
2025,greenland_alpha,brick,0.0
2025,greenland_beta,brick,0.0
2025,greenland_v0,brick,0.0
2025,antarctic_alpha,brick,0.0
2025,antarctic_gamma,brick,0.0
2025,antarctic_mu,brick,0.0
2025,antarctic_nu,brick,0.0
2025,antarctic_kappa,brick,0.0
2025,antarctic_precip0,brick,0.0
2025,antarctic_flow0,brick,0.0
2025,antarctic_temp_threshold,brick,0.0
2025,anto_alpha,brick,0.0
2025,anto_beta,brick,0.0
2026,year,year,6.746108385510041e-08
2026,cum_co2_2030,emissions,6.463858896891221e-13
2026,cum_co2_2100,emissions,1.286743942445702e-11
2026,cum_co2_2300,emissions,2.4166658864272248e-12
2026,peak_co2_emissions,emissions,4.778335076100833e-13
2026,peak_co2_year,emissions,6.675068500796848e-14
2026,slope_co2_2050_2100,emissions,0.0
2026,frac_negative_post_2050,emissions,0.0
2026,cum_ch4_2100,emissions,0.0
2026,forcing_4co2,climate,4.2680446129321035e-09
2026,ocean_heat_capacity[0],climate,0.0
2026,ocean_heat_capacity[1],climate,1.6359781317342983e-12
2026,ocean_heat_capacity[2],climate,1.5445777349458296e-11
2026,ocean_heat_transfer[0],climate,4.5964641437324034e-08
2026,ocean_heat_transfer[1],climate,0.0
2026,ocean_heat_transfer[2],climate,3.0904882032769683e-12
