year,V_total,V_emissions,V_climate,V_brick,V_seed,V_residual,R2_oof,S_emi,S_clim,S_brick,ST_emi,ST_clim,ST_brick
2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2031,3.083283586183329e-09,4.55054078766149e-12,2.645680487949456e-10,1.291374319305208e-09,0.0,3.5704908808124166e-10,0.6219155466470419,0.0023731114076532647,0.1379724924998422,0.6734529524497538,0.004944743706792544,0.23181442761813903,0.745552047482655
2032,7.3283418253527e-09,2.36982772070485e-12,1.6513546998260695e-09,4.518301079471894e-09,0.0,3.069151948647355e-11,0.846401174280188,0.0003820628399412606,0.26623085756556314,0.7284390029918525,0.002121043230942911,0.231602276942318,0.7717492457066821
2033,1.3280642073262738e-08,8.219289949712003e-12,2.752399024598928e-09,8.924772822826212e-09,0.0,3.497102044970783e-10,0.9062138167326719,0.0006829431440777199,0.22869761927329327,0.7415619170380878,0.0006473254277099261,0.2629378231446614,0.7396312530493369
2034,2.063532680022037e-08,4.470019801978089e-11,5.26092796385576e-09,1.3154778805386823e-08,0.0,4.657125920131338e-10,0.9171708179137429,0.0023618258291026053,0.27797182340409726,0.6950594792655106,0.0006492351307483533,0.28359017472437764,0.7157352070334475
2035,2.895728923495295e-08,-4.320498266005899e-11,6.926081061237269e-09,1.5612375037738525e-08,0.0,4.604903614351589e-09,0.9358664241940172,-0.0015942707002763706,0.2555734876819546,0.576099110610284,0.0004323925813576515,0.29435371622717593,0.6793654617186287
2036,3.854924264962419e-08,-5.862565173227232e-12,1.0412265388412132e-08,2.2303917921911784e-08,0.0,3.2402209455931805e-09,0.9325874964003823,-0.00016307306920876406,0.28962749651955766,0.6204056148520939,0.0003725943296069193,0.318647262034219,0.6692298847554596
2037,4.892892066454117e-08,-1.665871813689985e-11,1.1296013741168629e-08,2.612321311634137e-08,0.0,8.222767264459683e-09,0.9324819510457237,-0.0003651199051897912,0.24758204276608345,0.5725593660873531,0.00034763586845621656,0.33874989921401805,0.6440247386574084
2038,6.02867216362454e-08,2.7748832065548815e-11,1.980890423730879e-08,2.893802186791522e-08,0.0,7.337254724696501e-09,0.930751053284188,0.000494526426603142,0.35302482656782797,0.515719599062724,0.00046261174810786513,0.3641369350102072,0.6192609913078987
2039,7.293289245380897e-08,1.3396299901754623e-10,2.604240988224151e-08,3.636683649548167e-08,0.0,5.674053569601551e-09,0.9353428974388576,0.001963769773684964,0.38175688612317554,0.5331031314476333,0.0004656955963191161,0.37396722438073055,0.5903197410801537
2040,8.66137634915666e-08,-1.2061304707058215e-10,2.732138040591707e-08,4.395534270572361e-08,0.0,9.2350721774704e-09,0.9281571311685126,-0.001500326823250867,0.3398554374241977,0.5467682086498437,0.000395568908988428,0.3757824579483788,0.5771323596523317
2041,1.0008130275940047e-07,-1.342386588770441e-10,4.036003935862856e-08,5.432252611139236e-08,0.0,0.0,0.9284169550025041,-0.0014447130363357491,0.43436574453445964,0.5846338327299727,0.0006113809105405356,0.3964145762824077,0.5830584103695269
2042,1.1657378580502464e-07,-9.172778675472011e-11,3.6209875350890745e-08,5.76351931788891e-08,0.0,1.4113318230902223e-08,0.9253080204012557,-0.0008503812728351196,0.3356910809636099,0.5343188871069068,0.000611363710579635,0.3995966245855114,0.5802152545323219
2043,1.3187463706592694e-07,1.6539792590734176e-10,4.87655524077819e-08,5.8581791446211224e-08,0.0,1.322251164689235e-08,0.915530507708125,0.0013699223815157675,0.40390483329171656,0.48520866758880815,0.0006905825168151047,0.4119987432013172,0.5687813149689028
2044,1.498067396648752e-07,2.1062963245032818e-10,5.05729613157959e-08,6.586372322178891e-08,0.0,2.060909986837398e-08,0.9162232243052498,0.0015345704164425181,0.3684560876087279,0.4798589827893795,0.0007232031462357206,0.4277712458493119,0.5379734605213506
2045,1.6782207190517453e-07,-8.166791417579745e-11,4.23737898985803e-08,9.308574396971501e-08,0.0,1.7679258833263615e-08,0.9120202310091003,-0.0005335779976871062,0.2768495093413206,0.6081764837737779,0.0008118671419868036,0.4306457537000853,0.536452409821764
2046,1.861854297855342e-07,-2.565889556638388e-10,6.405596371482021e-08,5.682121559892007e-08,0.0,4.9868427144238224e-08,0.915694733463837,-0.0015050175044873796,0.3757190032135093,0.3332837295408112,0.0008569597160615313,0.4469315845004124,0.5151024498795003
2047,2.0767061863394153e-07,5.697201375960456e-10,8.516457113503865e-08,9.721951534722708e-08,0.0,4.945539060581761e-09,0.9047950399360607,0.0030320496089696696,0.4532457035793847,0.5174020962934393,0.000838819858457577,0.4488462345677278,0.5100341360699684
2048,2.2819830405263347e-07,6.24854897537964e-10,1.000929096118336e-07,1.1438045401790784e-07,0.0,0.0,0.90550311357729,0.0030239653999503363,0.4843964521029487,0.5535405687682061,0.0010251400216423634,0.4655434133033161,0.5062786622332943
2049,2.4963178651607755e-07,-1.464068862983838e-10,9.685377337929186e-08,1.1381125949192459e-07,0.0,1.5741873305314964e-08,0.9063769580307863,-0.000647072232040742,0.42806311169257083,0.5030098485990456,0.0009814615844200212,0.4711391961546093,0.4871640273456644
2050,2.7311609955519784e-07,4.511436186439946e-10,1.1205873348665227e-07,1.353567261490396e-07,0.0,0.0,0.9075046352912047,0.0018201981356701657,0.45211566638365785,0.5461144753137221,0.001039187879616503,0.46925225980300606,0.48977812586706054
2051,2.970099345263405e-07,-7.144458296989661e-10,1.142747008846183e-07,1.3143168293493138e-07,0.0,2.3335342962333524e-08,0.9034286391130376,-0.0026625910983172824,0.42587805637616843,0.4898185621250805,0.0012054056630768084,0.48110882645288855,0.49661859100414596
2052,3.218698201859782e-07,3.3938637534687507e-10,1.1270848623072347e-07,1.4575833072143936e-07,0.0,2.7031277733239058e-08,0.8880530672170205,0.0011873403518929892,0.3943096818949704,0.5099342821680599,0.0012788636486741943,0.4841007239534067,0.4774578937693645
2053,3.464127620467285e-07,4.955940378927126e-10,1.4200704990524624e-07,1.5747789955354295e-07,0.0,1.1727028070787828e-08,0.8998154967668965,0.0015899326262770626,0.4555778006647122,0.5052103763846383,0.0012716639668294144,0.47915891204115846,0.47771870945624206
2054,3.7348170576427494e-07,3.379351752470463e-11,1.2694466299535447e-07,1.4944192642235119e-07,0.0,5.62278225838092e-08,0.8906680043091383,0.00010158935765781673,0.38161836104685865,0.44924915854926406,0.001518381630627624,0.4803630789878124,0.481091107731759
2055,3.9909714735238486e-07,1.1257845050082945e-09,1.5562191056527843e-07,1.6992792648676414e-07,0.0,3.1191917931922704e-08,0.896692802399293,0.0031458134107829067,0.43485897264530576,0.4748347020504213,0.0013599924518990251,0.4740425026958956,0.47327640723256353
2056,4.293147838161741e-07,1.4544829625873422e-09,1.974863068768057e-07,1.5876427620613584e-07,0.0,2.044410474263187e-08,0.8808202862868992,0.003846320645251775,0.5222444530691238,0.41984562831442945,0.0014502713972530806,0.5042046353080666,0.4541591072473195
2057,4.5777831760129206e-07,-1.276169731653418e-09,1.860370934221065e-07,2.004972016016324e-07,0.0,2.5413114252239947e-08,0.8970963100572291,-0.0031075215616984445,0.45300735846155293,0.488218268764331,0.001618448404384318,0.4855713641252507,0.44580652728174985
2058,4.888610821350464e-07,8.370197052856577e-10,2.0274164697189007e-07,1.6673698246230948e-07,0.0,5.990896247571728e-08,0.8800549426766481,0.0019455411956633881,0.4712460456660819,0.38755798241370915,0.001542393748173891,0.5112843466956271,0.45236496592033854
2059,5.190969614118457e-07,1.0668832797934655e-09,2.3425121609117461e-07,2.0122074240769333e-07,0.0,2.483165126509311e-08,0.8887944398459084,0.0023124220033123935,0.5077290802577598,0.436136999313067,0.0016466489105168903,0.5014238196252779,0.440271472597733
2060,5.535031939788272e-07,9.650905888646067e-10,2.4647299684103227e-07,2.101175064945954e-07,0.0,3.0421497161682034e-08,0.8816156733954468,0.0019777374932016564,0.5050913277351096,0.43058887462708717,0.0018566393883855548,0.5116098889098555,0.4365501083306378
2061,5.850182431606953e-07,3.858759760899432e-10,2.517222087329163e-07,2.3164129081532172e-07,0.0,3.22681329335545e-08,0.8820537042913047,0.0007477962855235919,0.4878171856710594,0.4489019985147042,0.0016660923723717611,0.5175264396208977,0.429965642239169
2062,6.18040179560763e-07,2.063606795124037e-09,2.747058383074907e-07,1.9768108952588952e-07,0.0,6.127798916316754e-08,0.8668182773689737,0.0038519636410595712,0.51277060322126,0.3689948933963456,0.0019254209597460987,0.5074086898624752,0.42589552645123946
2063,6.524845430423529e-07,2.9583674041262883e-09,3.2112573037601623e-07,2.226371528582155e-07,0.0,2.5170519131132188e-08,0.8764832452626677,0.005172949779149128,0.5615148658380779,0.38929945249597286,0.0019853981780323317,0.5265883275754537,0.43191040528162783
2064,6.907424546398619e-07,2.1523939578600624e-09,2.772743676062287e-07,2.619251795512036e-07,0.0,6.777106626415132e-08,0.8818380907208421,0.0035335949090480865,0.45520258510528555,0.4300037535571882,0.002282076394282914,0.5279530063854039,0.4136300093602541
2065,7.267692653461413e-07,2.0812887462909986e-09,3.4818649376343787e-07,2.1532654827119444e-07,0.0,6.934648452625859e-08,0.8736484130280002,0.0032779255894647115,0.5483762980254886,0.33912853462888554,0.0021135709233329504,0.5140012347766645,0.42984823656121635
2066,7.663813755814341e-07,-1.5710427150265279e-09,3.8859228800889274e-07,2.6608214966651643e-07,0.0,1.4714287263989331e-08,0.8713908029376571,-0.0023525024222085396,0.5818837960602761,0.3984353166275084,0.0023159898926993,0.5295975635427113,0.4192028985085865
2067,8.008392202773821e-07,5.979176336375995e-09,3.0974036652118157e-07,2.132556599990165e-07,0.0,1.5919351398300526e-07,0.859309458646671,0.008688532608450168,0.4500936455578318,0.3098886287339461,0.0022438351439952576,0.533585836183382,0.4129580840027739
2068,8.410227993693314e-07,4.8510473709576954e-09,4.043642110263551e-07,3.510039614041968e-07,0.0,0.0,0.8575416889394536,0.00672624224071645,0.5606730730197953,0.48668617131842556,0.002431216530347167,0.5279816754049462,0.40199060702363726
2069,8.810175620464302e-07,2.8869682438696374e-09,4.2838493737184497e-07,3.0728812448004684e-07,0.0,2.401226472741339e-08,0.8655585628189633,0.0037858289154591787,0.5617630489331884,0.4029626129432105,0.0025091184059725675,0.526747982541627,0.40693299029467617
2070,9.305294525035626e-07,1.6451951241813478e-09,3.9534590913845086e-07,3.345532533370459e-07,0.0,7.38359109678215e-08,0.8655075520722609,0.002042755687456307,0.4908810465913675,0.415397876498891,0.0025090849467072004,0.532806571944608,0.4077937982491197
2071,9.67191529689707e-07,-7.658321756848178e-10,3.7622113461384525e-07,2.3502269958250204e-07,0.0,2.1566613845907385e-07,0.8541680888632044,-0.0009269958330033113,0.4553940604061855,0.2844814700810272,0.002541483512002422,0.5276357332503434,0.4054538387461217
2072,1.014564932885159e-06,1.5925322915516702e-09,4.4720358154472107e-07,3.727475420493418e-07,0.0,5.381913575387383e-08,0.8627962225642711,0.0018192825954699051,0.5108779877508187,0.4258206375795501,0.0026734973694051796,0.5299094711730324,0.40998059511617796
2073,1.0516983497612381e-06,6.487086102535558e-09,4.3435660189049483e-07,3.6613596487938944e-07,0.0,9.121181613248612e-08,0.8540390590218364,0.00722238668078479,0.4835902108619586,0.4076368764502144,0.0025281618726891615,0.5463758482010702,0.4030950110933943
2074,1.0998031044491406e-06,2.361331518770458e-09,4.805957913697251e-07,3.5134436552190864e-07,0.0,9.911742591426744e-08,0.8487145658605811,0.002529766091657657,0.5148768511054183,0.37640587750046417,0.002692319314846768,0.5354420764664694,0.39385529169605915
2075,1.1473826361965577e-06,-2.9897685709922885e-09,5.182821346254011e-07,3.9955392787690034e-07,0.0,7.450089768756651e-08,0.8622643923725817,-0.003021960941840962,0.5238627440558379,0.4038561298416459,0.0030729231794000855,0.5374381340656618,0.4094430234608929
2076,1.193743093517086e-06,2.558626056638431e-09,5.24662764391356e-07,3.9383343128896183e-07,0.0,9.759914314015787e-08,0.8533276300480095,0.0025117715582122064,0.5150549474910736,0.38662140910281745,0.003060110739564938,0.5355645703991145,0.4057983155770666
2077,1.2455885339541877e-06,1.6882832442642724e-09,5.716564866704527e-07,4.7413158848481277e-07,0.0,2.144588600554914e-08,0.8581664131185662,0.0015794256814291542,0.5347970721561837,0.4435604095307197,0.0030149282036296314,0.545662804177661,0.4025811655829725
2078,1.2980667905207414e-06,1.1654431801190827e-08,5.581349164450745e-07,3.9738593540765643e-07,0.0,1.297375316840125e-07,0.845035728013571,0.010624756715601284,0.5088234075131356,0.3622766822039824,0.0029356503799750355,0.5364307176348869,0.3924995575748679
2079,1.3458334861485442e-06,8.37442507310985e-09,6.077412839653058e-07,4.546196453221512e-07,0.0,6.587570263057814e-08,0.8445406275659376,0.007367889852557621,0.5346959104674982,0.3999782005690034,0.003174017380433688,0.5611679588899559,0.39564765965315496
2080,1.3960081982747853e-06,2.369211096521725e-09,6.75312028887746e-07,3.7793521214211567e-07,0.0,1.3870252618841573e-07,0.8555243298647975,0.0019837339433931753,0.5654369068476336,0.31644411501807296,0.0029895394594523952,0.5588339248304766,0.40117864250780383
