gas,pulse,size,median (per-unit),mean (per-unit),p95 (per-unit),rest_mean (top 1% trimmed),top-1% abs cm-jump (weight-summed)
CO2,1.0 GtC,1.0,0.06612066450367138,0.14567575288877396,0.8298770750454594,0.12603869434477064,0.020933463330695568
CO2,0.1 GtC,0.1,0.06412758288561804,0.29517568663597443,0.1197275396339137,0.15593467790680005,0.01408048252587237
CO2,0.01 GtC,0.01,0.06406923907036344,0.2756421032218517,0.1152448917196125,0.0664423288775176,0.0021010454396786305
CH4,1.0 Tg,1.0,0.00044864971155789135,0.0004927523293600436,0.000847520882786057,0.0004823371259883304,1.6045023135621104e-05
CH4,0.1 Tg,0.1,0.000446945467444948,0.0004923209890355202,0.0008566001289977976,0.00048189071514949947,1.6054883160360532e-06
CH4,0.01 Tg,0.01,0.00045051847195054506,0.00048720814964106347,0.0008832510985712361,0.00047670879326352253,1.606348246558452e-07
