config,year,clip,v_total,v_residual_oof,frac_pct,gold_pct,gap_factor,sec
C1 baseline (script default),2050,False,25.94403800626231,14.212341664550985,54.78076181171352,4.2,13.043038526598457,7.709507703781128
C1 baseline (script default),2100,False,897.9313299751428,432.21631250897985,48.13467334088284,1.14,42.22339766744109,7.1136040687561035
C1 baseline (script default),2150,False,3257.6890684614173,1722.4618575552306,52.873734151944,0.68,77.75549139991764,7.975092887878418
C2 baseline + p99 outlier clip,2050,True,23.030767458441655,12.05628184338671,52.34858918679943,4.2,12.463949806380816,7.220548868179321
C2 baseline + p99 outlier clip,2100,True,866.4009842977116,409.1936584854496,47.2291313031153,1.14,41.42906254659238,7.85847020149231
C2 baseline + p99 outlier clip,2150,True,3134.6300113172215,1629.7600675322644,51.99210310780548,0.68,76.45897515853746,7.411165952682495
C3 high capacity,2050,False,25.94403800626231,7.118996244369102,27.439815816839058,4.2,6.533289480199776,61.774982929229736
C3 high capacity,2100,False,897.9313299751428,256.99435096196083,28.620713230829704,1.14,25.105888798973428,58.36147379875183
C3 high capacity,2150,False,3257.6890684614173,1070.2947802745107,32.85441789507564,0.68,48.315320433934765,60.601484060287476
C4 high capacity + p99 clip,2050,True,23.030767458441655,5.713859015722158,24.809676994188965,4.2,5.907065950997373,54.112056255340576
C4 high capacity + p99 clip,2100,True,866.4009842977116,237.5827754133917,27.421803497369275,1.14,24.054213594183576,55.87618374824524
C4 high capacity + p99 clip,2150,True,3134.6300113172215,997.0842544555156,31.80867441629977,0.68,46.77746237691142,57.43985915184021
