year,internal,brick,climate,emissions,interactions
2020,0.0,0.0,0.0,0.0,0.0
2021,0.16343682324486483,0.5803288623620831,0.24478503647826072,1.308399049807274e-30,0.011449277914791353
2022,0.08964988337226047,0.6285592668889481,0.26894611598983864,1.5394427783543198e-06,0.012843194306174357
2023,0.0710112664175445,0.6341061019709083,0.2816235945556621,6.46152589920123e-06,0.013252575529985834
2024,0.062026878401245815,0.6395527918131061,0.28497886393755933,1.5106467446761531e-05,0.013426359380641923
2025,0.08375966325678755,0.6074328429119712,0.2863822831736062,2.597904422795336e-05,0.02239923161340704
2026,0.16816210211017274,0.5292993260472636,0.2553345756599233,3.640906470689552e-05,0.04716758711793352
2027,0.19598350918524438,0.46141703603889,0.2396081998626836,6.11926969147159e-05,0.10293006221626738
2028,0.19392271508221853,0.4173499192552651,0.23261058758155345,7.989614293905058e-05,0.15603688193802387
2029,0.20426186882090827,0.3762152157016832,0.22364734591892604,0.0001028419771639164,0.19577272758131853
2030,0.19962731881576123,0.35096961139299604,0.22174274243102002,0.0001684795670230616,0.2274918477931996
2031,0.20659523436898605,0.31860904629871034,0.2186044141937511,0.0002146356650632735,0.2559766694734892
2032,0.20942942101152973,0.2912004294606495,0.22623531892070026,0.00027850162479092614,0.27285632898232953
2033,0.2070086316802211,0.272965811785398,0.2349744344459146,0.00038423556580188735,0.2846668865226644
2034,0.19840530580475893,0.2621567113443111,0.2437260759296911,0.0005173362020052986,0.2951945707192336
2035,0.20325274975162155,0.2545183091164386,0.2475637892529323,0.0007862850324817576,0.29387886684652587
2036,0.18989690340487825,0.2523329791278754,0.2545449887888611,0.0009843094599178666,0.30224081921846746
2037,0.1795118781485656,0.25588052898604957,0.26336887826346267,0.0011989391008874108,0.30003977550103467
2038,0.16434523256428285,0.2655922342292875,0.27004411798211314,0.0015325372513652884,0.29848587797295123
2039,0.14919262623629015,0.27936704165075604,0.2750953862879493,0.001906458351986547,0.2944384874730181
2040,0.13201701665086907,0.2918576852824046,0.28312979429209933,0.0024287505822947475,0.29056675319233227
2041,0.1206144444094016,0.3058605194309501,0.2874461602785555,0.002999322335814149,0.2830795535452786
2042,0.10792841938310836,0.3199485144335917,0.29448268568082947,0.0036432077870087007,0.2739971727154618
2043,0.09627130208109766,0.33995892232085084,0.2991860273140794,0.004421368139297132,0.26016238014467497
