year,V_total,V_emissions,V_climate,V_brick,V_seed,V_residual,R2_oof,S_emi,S_clim,S_brick,ST_emi,ST_clim,ST_brick
2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,0.00332993791351732,1.6906870450961544e-05,0.0010796960525753328,0.0020573291045417894,0.000393821694011997,0.0,0.7674037239660327,0.006616117146585688,0.4225143610855714,0.8050887007272588,0.000734885348540553,0.3554347336724542,0.5989380651056235
2022,0.011881279927933896,5.16994235330514e-05,0.004284626647162958,0.006327404834240573,0.0008625428949665786,0.0,0.791467080467169,0.005497808602310706,0.45563481425286734,0.6728674780242175,0.0004133532936184488,0.3455085476666836,0.5805988040938742
2023,0.02658936979175292,0.0002618691025372448,0.01062662103160985,0.012849409481004813,0.0014291619377407674,0.0,0.8280095632319577,0.011894354087702418,0.48267165572851833,0.5836329093586538,0.00047803451367340054,0.34423542390166056,0.5753535433641037
2024,0.04726797846746498,0.00014678038046207688,0.01567274660728457,0.02875995660624105,0.002117729939247471,0.0,0.8265385443615283,0.0037569712271465056,0.40115755163299427,0.7361360498145477,0.00028619207871599667,0.3370799750498394,0.5865166063976597
2025,0.07444816704878658,0.0006910923314657228,0.02342084412435606,0.04511579423684926,0.004404382258743491,0.0,0.8161682551507421,0.011373715623152002,0.3854506968115713,0.7424973341467531,0.00034491650602718214,0.3520245475913084,0.577366978272771
2026,0.10796390411156555,0.0002262654553203991,0.03335422253454441,0.07154857426029998,0.005294902708396243,0.0,0.831688302693647,0.002519875474760511,0.3714596522278997,0.7968229055438875,0.00028402406055475383,0.34003591799764943,0.5761846046302674
2027,0.14828802336681696,0.0005245360843830414,0.05469635650411349,0.08815783458412356,0.012339308028831802,0.0,0.8457074759233434,0.004182626878869819,0.43614625895458714,0.7029665632026361,0.000272094174250181,0.3456895701923154,0.585704335585325
2028,0.19679946402084614,0.0006869613632254287,0.07719513380015738,0.10416387777549653,0.02696490913228549,0.0,0.8458595430837834,0.004126768881116451,0.4637327410152637,0.6257415225247195,0.00028983756463309726,0.3527338713971128,0.5690371195091247
2029,0.2537896673177762,0.0008362617427134405,0.04891768261636014,0.13500039271199385,0.0469997809764942,0.02480702728486699,0.8257285120025692,0.003990533967382805,0.2334289183824684,0.644204589557354,0.0002802182177189001,0.34698933572921187,0.5728711366415606
2030,0.3218614380744031,7.265366484924746e-05,0.09546170769019448,0.1118401159997527,0.05674004823151694,0.059553028363206126,0.8293242810165357,0.00027218500638897413,0.35763158777292015,0.4189906008334225,0.0003080904000090348,0.34356187725057946,0.5775785444957443
2031,0.3982925688665745,0.002383065173671247,0.18485755986532798,0.20481892129771334,0.07306799042989123,0.0,0.8287046140431382,0.007219946165628758,0.5600609019354017,0.6205376176067803,0.000429661071745885,0.34476277605039657,0.5852254555473473
2032,0.49307377707173855,0.004649719515217746,0.15162775220836594,0.28528909067062286,0.09477428043185991,0.0,0.8254850797366895,0.011423669277435815,0.37252683497151634,0.7009128635857025,0.00040732843030977386,0.3461000383961279,0.5750730032287606
2033,0.6127552684627452,0.0030561776210219858,0.20110085372964728,0.30954883866773575,0.13514825363500174,0.0,0.8338348810807219,0.005981518890429971,0.39359248860124624,0.6058457510013947,0.0005370174779237593,0.3650306735285508,0.56954353143587
2034,0.7419084851587311,0.004996643760059197,0.22783609945799874,0.32048171334628234,0.18288967366830247,0.04958017518008249,0.8126266834856777,0.008287756262818009,0.377903679120139,0.5315716818028328,0.0008261237094403451,0.3694296628185554,0.5637306603389607
2035,0.9111357900307546,0.004630013712406483,0.2715948686615787,0.4483516218638407,0.22816824630373073,0.008051508159170422,0.8040821361789192,0.006319733390016177,0.37071319150489557,0.6119771756978465,0.001274731337484205,0.37253434947596803,0.5406821145275986
2036,1.1386068385734864,0.008139903509908572,0.38317151600611404,0.54620174189827,0.28256222331392683,0.0,0.7999327815127834,0.008937004450960443,0.4206936285988438,0.5996886071837496,0.001470357441241723,0.3810257067710675,0.5330072555665814
2037,1.42373623683599,0.010181641502410852,0.5797252131380666,0.7277150572371188,0.316750950272936,0.0,0.7480933749995105,0.009559440047626098,0.5442981289194269,0.6832442941313374,0.002140166538476698,0.3835699747783836,0.5430452995091071
2038,1.817106853541934,0.007021393949592717,0.5403190780814974,0.6754693766560143,0.3727530190374497,0.1317825227025114,0.7454665468622401,0.0051833998905440335,0.3988794632936019,0.4986513957428244,0.0026244669210045172,0.3988186175165731,0.5507469924632241
2039,2.294980772569179,0.02563849370142381,0.6994083492347986,1.0025730625066518,0.41202162397931585,0.01725584804507625,0.7603008157382518,0.01469359273872268,0.40083561699834724,0.5745813479856893,0.003229556290163145,0.4189072754387629,0.513257845682891
2040,2.919687100346459,0.004313221134398068,1.0476071847055985,1.0785099430664615,0.4573093200485929,0.10671745886241438,0.7662286165881973,0.001928000071975433,0.4682780373597159,0.48209150031176046,0.0044742169599145945,0.44416365940162916,0.5200418236409154
