year,climate,emissions,interactions
2020,0.0,0.0,0.0
2021,0.0,0.0,0.0
2022,0.0,0.0,0.0
2023,0.0,0.0,0.0
2024,1.0015065071199336,-0.0017046873022854413,0.0001981801823518481
2025,1.0025264275709322,-0.002625517662108156,9.909009117592404e-05
2026,1.0029625058180984,-0.003028565878882205,6.606006078394937e-05
2027,0.9652989305575591,-0.0014779440485261745,0.036179013490967145
2028,0.9725965633084671,-0.0015397741012407595,0.028943210792773715
2029,0.9770160992904782,-0.001135441617789564,0.02411934232731143
2030,0.9804044312848373,-0.0010781532796758308,0.020673721994838367
2031,0.9832100961360059,-0.0012996028814893788,0.018089506745483572
2032,0.9851272739801499,-0.0012068355316907913,0.01607956155154095
2033,0.9864525311121783,-0.0009241365085652971,0.014471605396386856
2034,0.9876384888539751,-0.0007944937597813861,0.013156004905806233
2035,0.9713374062909828,-0.00029914579742169184,0.02896173950643897
2036,0.9582176878288897,-0.0006574119580870896,0.04243972412919728
2037,0.9583685291387796,-0.0008082532679769385,0.04243972412919728
2038,0.9649811501022655,-0.0016611958204009103,0.03668004571813536
2039,0.9649965181310574,-0.0016765638491927197,0.036680045718135365
2040,0.964347979207571,-0.0015375299247316451,0.03718955071716064
2041,0.9652755883351378,-0.0024651390522984922,0.037189550717160645
2042,0.950954484153308,-0.0019955505061910726,0.051041066352883094
2043,0.9402361543143881,-0.0014191607115790743,0.061183006397191056
2044,0.9341299039781025,-0.0015111667566331379,0.06738126277853067
2045,0.9335795443016848,-0.0009608070802154208,0.06738126277853067
2046,0.9486004340389291,-0.00015794583661316527,0.05155751179768414
2047,0.9604735335066218,0.0014469393184524497,0.03807952717492581
2048,0.9562505995253797,0.0021046087743729733,0.04164479170024715
2049,0.9577942701773062,0.0027325708687975037,0.03947315895389629
2050,0.95763794961664,0.002888891429463853,0.039473158953896297
2051,0.9581775083625371,0.002238933866214067,0.039583557771248744
2052,0.9517816300075934,0.002849634416354229,0.045368735576052435
2053,0.9586756768914226,0.0034407065878413823,0.03788361652073607
2054,0.9649366093284436,0.00399780181717114,0.031065588854385352
2055,0.9707522632920172,0.004380404234937087,0.024867332473045723
2056,0.9709305393173437,0.004202128209610516,0.024867332473045723
2057,0.9717988651006219,0.0033338024263324423,0.024867332473045723
2058,0.965748607989672,0.0027990274705519858,0.031452364539776026
2059,0.9677880451565939,0.004324854828951393,0.02788710001445467
2060,0.972539714623958,0.0047798627297668955,0.022680422646275046
2061,0.9699325958986235,0.007386981455101518,0.022680422646275046
2062,0.9682820066842417,0.009657474485860955,0.022060518829897315
2063,0.9718836913335721,0.011840967641334207,0.016275341025093627
2064,0.9699366340818898,0.012216897194535177,0.01784646872357495
2065,0.9731202114499331,0.012357232204449158,0.014522556345617702
2066,0.9640878481587689,0.012003025772849348,0.023909126068381706
2067,0.9639693946442179,0.012121479287400413,0.023909126068381706
2068,0.9626295434205926,0.013461330511025696,0.023909126068381706
2069,0.9680714010644523,0.014604504933896338,0.017324094001651413
2070,0.9661771216247093,0.016498784373639358,0.01732409400165141
2071,0.9662428905027358,0.016433015495612796,0.01732409400165141
2072,0.9643684822838103,0.015580651093434946,0.020050866622754713
2073,0.9654891969297148,0.014459936447530543,0.020050866622754713
2074,0.964584511190668,0.01536462218657733,0.020050866622754716
2075,0.9603179271322485,0.015525376031224841,0.02415669683652662
2076,0.9535937168103333,0.015798679546307044,0.030607603643359585
2077,0.9495372360979507,0.018762089625665657,0.0317006742763837
2078,0.9463687457731434,0.021930579950472817,0.03170067427638369
2079,0.9427662861402082,0.022982776874297648,0.034250936985494196
2080,0.9430495385728163,0.022699524441689507,0.03425093698549419
2081,0.9387762433871643,0.021015178915804556,0.04020857769703124
2082,0.9379823737996503,0.021809048503318343,0.040208577697031234
2083,0.9248060034973772,0.022145522374416384,0.053048474128206506
2084,0.9239238823360864,0.023027643535707236,0.05304847412820651
2085,0.9231740964949926,0.023777429376800996,0.05304847412820651
