year,V_total,V_emissions,V_climate,V_brick,V_seed,V_residual
2020,0.0,0.0,0.0,0.0,0.0,0.0
2021,0.0,0.0,0.0,0.0,0.0,0.0
2022,0.0,0.0,0.0,0.0,0.0,0.0
2023,0.0,0.0,0.0,0.0,0.0,0.0
2024,0.0,0.0,0.0,0.0,0.0,0.0
2025,0.0,0.0,0.0,0.0,0.0,0.0
2026,0.0,0.0,0.0,0.0,0.0,0.0
2027,0.0,0.0,0.0,0.0,0.0,0.0
2028,0.0,0.0,0.0,0.0,0.0,0.0
2029,0.0,0.0,0.0,0.0,0.0,0.0
2030,0.0,0.0,0.0,0.0,0.0,0.0
2031,3.2677795097223227e-09,0.0,0.0,0.0,0.0,0.0
2032,7.98637881954076e-09,0.0,0.0,0.0,0.0,0.0
2033,1.4101208912176109e-08,0.0,0.0,0.0,0.0,0.0
2034,2.217781801214378e-08,0.0,0.0,0.0,0.0,0.0
2035,3.137824102832125e-08,0.0,0.0,0.0,0.0,0.0
2036,4.172488958416725e-08,0.0,0.0,0.0,0.0,0.0
2037,5.2872439057847125e-08,0.0,0.0,0.0,0.0,0.0
2038,6.497482647870376e-08,0.0,0.0,0.0,0.0,0.0
2039,7.89354346777509e-08,0.0,0.0,0.0,0.0,0.0
2040,9.387154084438787e-08,0.0,0.0,0.0,0.0,0.0
2041,1.081492808195772e-07,0.0,0.0,0.0,0.0,0.0
2042,1.252875609551115e-07,0.0,0.0,0.0,0.0,0.0
2043,1.42847668243823e-07,0.0,0.0,0.0,0.0,0.0
2044,1.6137468646998753e-07,0.0,0.0,0.0,0.0,0.0
2045,1.8130827150142892e-07,0.0,0.0,0.0,0.0,0.0
2046,2.0184942441205948e-07,0.0,0.0,0.0,0.0,0.0
2047,2.232722965783195e-07,0.0,0.0,0.0,0.0,0.0
2048,2.457351959179685e-07,0.0,0.0,0.0,0.0,0.0
2049,2.6895786995549805e-07,0.0,0.0,0.0,0.0,0.0
2050,2.9467484727867314e-07,0.0,0.0,0.0,0.0,0.0
2051,3.207304944338626e-07,0.0,0.0,0.0,0.0,0.0
2052,3.468084147919447e-07,0.0,0.0,0.0,0.0,0.0
2053,3.7395057539826574e-07,0.0,0.0,0.0,0.0,0.0
2054,4.0284174832811834e-07,0.0,0.0,0.0,0.0,0.0
2055,4.317710206009101e-07,0.0,0.0,0.0,0.0,0.0
2056,4.6308266018210505e-07,0.0,0.0,0.0,0.0,0.0
2057,4.943800984713095e-07,0.0,0.0,0.0,0.0,0.0
2058,5.275867977216766e-07,0.0,0.0,0.0,0.0,0.0
2059,5.602216978377724e-07,0.0,0.0,0.0,0.0,0.0
2060,5.977973323990968e-07,0.0,0.0,0.0,0.0,0.0
2061,6.329283838479153e-07,0.0,0.0,0.0,0.0,0.0
2062,6.694815149903207e-07,0.0,0.0,0.0,0.0,0.0
2063,7.079476965826327e-07,0.0,0.0,0.0,0.0,0.0
2064,7.47621758221098e-07,0.0,0.0,0.0,0.0,0.0
2065,7.868378685622303e-07,0.0,0.0,0.0,0.0,0.0
2066,8.285838635813928e-07,0.0,0.0,0.0,0.0,0.0
2067,8.68769917992041e-07,0.0,0.0,0.0,0.0,0.0
2068,9.13145981155988e-07,0.0,0.0,0.0,0.0,0.0
2069,9.610942438718313e-07,0.0,0.0,0.0,0.0,0.0
2070,1.0089792410535483e-06,0.0,0.0,0.0,0.0,0.0
2071,1.0539645756633802e-06,0.0,0.0,0.0,0.0,0.0
2072,1.1037343732283478e-06,0.0,0.0,0.0,0.0,0.0
2073,1.1485416589689687e-06,0.0,0.0,0.0,0.0,0.0
2074,1.1980381725248898e-06,0.0,0.0,0.0,0.0,0.0
2075,1.2546896320633188e-06,0.0,0.0,0.0,0.0,0.0
2076,1.304583941664416e-06,0.0,0.0,0.0,0.0,0.0
2077,1.3609726318244628e-06,0.0,0.0,0.0,0.0,0.0
2078,1.4198203642422416e-06,0.0,0.0,0.0,0.0,0.0
2079,1.4693560315925058e-06,0.0,0.0,0.0,0.0,0.0
