year,mean,p5,p50,p95
2025,0.0,0.0,0.0,0.0
2026,0.0,0.0,0.0,0.0
2027,0.0,0.0,0.0,0.0
2028,0.0,0.0,0.0,0.0
2029,0.0,0.0,0.0,0.0
2030,0.0,0.0,0.0,0.0
2031,2.86610313271544e-05,1.2516975402832031e-05,2.9206275939941406e-05,4.1365623474121094e-05
2032,4.378352904852328e-05,2.9325485229492188e-05,4.374980926513672e-05,5.841255187988281e-05
2033,4.997539889145561e-05,3.707408905029297e-05,4.9233436584472656e-05,6.580352783203125e-05
2034,5.2110933073594864e-05,3.8623809814453125e-05,5.137920379638672e-05,6.794929504394531e-05
2035,5.2234024726900955e-05,3.826618194580078e-05,5.161762237548828e-05,6.771087646484375e-05
2036,5.127758741032618e-05,3.743171691894531e-05,5.042552947998047e-05,6.67572021484375e-05
2037,4.971881999642374e-05,3.647804260253906e-05,4.935264587402344e-05,6.461143493652344e-05
2038,4.783070434970776e-05,3.516674041748047e-05,4.7326087951660156e-05,6.282329559326172e-05
2039,4.575989990607093e-05,3.337860107421875e-05,4.5180320739746094e-05,6.0439109802246094e-05
2040,4.361182043218083e-05,3.159046173095703e-05,4.315376281738281e-05,5.8650970458984375e-05
2041,4.145137198454769e-05,2.9802322387695312e-05,4.100799560546875e-05,5.602836608886719e-05
2042,3.931516942573412e-05,2.7418136596679688e-05,3.898143768310547e-05,5.435943603515625e-05
2043,3.72338158547267e-05,2.562999725341797e-05,3.6716461181640625e-05,5.1856040954589844e-05
2044,3.5222593290441605e-05,2.4318695068359375e-05,3.457069396972656e-05,4.8995018005371094e-05
2045,3.328753395181233e-05,2.276897430419922e-05,3.2782554626464844e-05,4.673004150390625e-05
2046,3.1450551594900817e-05,2.1338462829589844e-05,3.1113624572753906e-05,4.4345855712890625e-05
2047,2.9697592642668027e-05,1.990795135498047e-05,2.9325485229492188e-05,4.208087921142578e-05
2048,2.804164265049138e-05,1.8596649169921875e-05,2.777576446533203e-05,3.981590270996094e-05
2049,2.6470538540720294e-05,1.7523765563964844e-05,2.6226043701171875e-05,3.790855407714844e-05
2050,2.499296563032619e-05,1.633167266845703e-05,2.4557113647460938e-05,3.62396240234375e-05
2051,2.3604744022571634e-05,1.537799835205078e-05,2.3245811462402344e-05,3.4809112548828125e-05
2052,2.2299201914086675e-05,1.4543533325195312e-05,2.205371856689453e-05,3.2901763916015625e-05
2053,2.1077677105120435e-05,1.3589859008789062e-05,2.0742416381835938e-05,3.123283386230469e-05
2054,1.9923244987757876e-05,1.2874603271484375e-05,1.9550323486328125e-05,3.0279159545898438e-05
2055,1.8842369326995825e-05,1.1920928955078125e-05,1.8358230590820312e-05,2.86102294921875e-05
2056,1.7833674488435075e-05,1.1205673217773438e-05,1.7404556274414062e-05,2.7179718017578125e-05
2057,1.6896640718743393e-05,1.0371208190917969e-05,1.6450881958007812e-05,2.6226043701171875e-05
2058,1.601097576353795e-05,9.655952453613281e-06,1.52587890625e-05,2.5272369384765625e-05
2059,1.5182372931072845e-05,8.940696716308594e-06,1.4543533325195312e-05,2.4080276489257812e-05
2060,1.4419510697542473e-05,8.344650268554688e-06,1.3589859008789062e-05,2.3365020751953125e-05
2061,1.369801951887002e-05,7.748603820800781e-06,1.3113021850585938e-05,2.2411346435546875e-05
