year,threshold_C,P_exceed
2050,1.5,0.9968391302529294
2050,2.0,0.5096439390770738
2050,2.5,0.03796031286037799
2050,3.0,0.00048697709713848674
2050,3.5,0.0
2050,4.0,0.0
2050,4.5,0.0
2100,1.5,0.9893791191390962
2100,2.0,0.8796957438799228
2100,2.5,0.6469236790372791
2100,3.0,0.38099833292502944
2100,3.5,0.1822638758596789
2100,4.0,0.0714362538017077
2100,4.5,0.023267347438739476
2150,1.5,0.974336605739757
2150,2.0,0.8759164430953817
2150,2.5,0.7183181065852449
2150,3.0,0.5381216426962399
2150,3.5,0.3693407584892357
2150,4.0,0.2344421274027689
2150,4.5,0.13791908412454662
