year,lt_mean,lt_std,lt_gauss_lo,lt_gauss_hi,frac_tipped,p5,p50,p95,mean,std
2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2031,0.00023483709325793447,5.8544716097230776e-05,0.00012008944970736215,0.0003495847368085068,0.0,0.00016277507288720017,0.0002441626095972538,0.0002798645050816617,0.00023483709325793447,4.6312164631483935e-05
2032,0.00042846826594869887,0.00011144946876484596,0.0002100273071696008,0.0006469092247277969,0.0,0.00029816612077127047,0.00042897361272054013,0.0005210650583009624,0.00042846826594869887,6.91507151269006e-05
2033,0.0005993374292196218,0.0001462653036021777,0.00031265743415935347,0.0008860174242798901,0.0,0.0004257190337142447,0.0006114128836998134,0.0007182496409186001,0.0005993374292196218,9.153945684790955e-05
2034,0.0007531356464467982,0.00019378111364432016,0.00037332466370393065,0.0011329466291896658,0.0,0.0005420640924569398,0.0007466239880571379,0.0009296263197455801,0.0007531356464467982,0.00011316635630313926
2035,0.0008949199182296231,0.00022329060742620754,0.0004572703276742563,0.0013325695087849899,0.0,0.000652027595116067,0.0008886459195167618,0.001098608809968482,0.0008949199182296231,0.00013303620839483885
2036,0.0010295782846291587,0.0002602202955337418,0.0005195465053830248,0.0015396100638752927,0.0,0.0007555852162610677,0.0010325219454543344,0.0012760258073285513,0.0010295782846291587,0.00015328915996369767
2037,0.001155211650955764,0.0002947069887682119,0.0005775859529700688,0.0017328373489414594,0.0,0.0008442840949030028,0.0011509145789290187,0.0014336980724394266,0.001155211650955764,0.00017459180191186686
2038,0.0012759459141860514,0.00031952779853128277,0.0006496714290647372,0.0019022203993073656,0.0,0.000941433635226474,0.0012732449544472502,0.0015804892322890396,0.0012759459141860514,0.00019324483056981718
2039,0.0013911350778166396,0.0003592766833371286,0.0006869527784758675,0.0020953173771574114,0.0,0.0010239972917602813,0.0013911883351980237,0.0017425506584345385,0.0013911350778166396,0.00021201874850385519
2040,0.0015023851520953372,0.00038963627595478556,0.0007386980512239575,0.002266072252966717,0.00014316127097872483,0.0011036436138311956,0.0015027889777030623,0.0018829161657407667,0.014686072259065425,1.1017753069863079
