target,year,owen_var_emissions,owen_var_climate,owen_var_brick,owen_frac_emissions,owen_frac_climate,owen_frac_brick,owen_v_predicted
total_gmst,2100,0.34654504465614844,0.5400090606132836,0.0,0.3908898989879813,0.6091101010120187,0.0,0.7279977137783321
total_slr,2100,158.10509741456127,307.7009262762128,136.5726973059249,0.26246793238804944,0.5108097539818294,0.22672231363012127,418.204574551245
pulse_gmst,2100,6.239801530857165e-11,1.5574659363381718e-09,0.0,0.03852052837223658,0.9614794716277634,0.0,1.1382376139145405e-09
pulse_slr,2100,2.2442019849193142e-08,6.571113559138242e-07,1.8884449972320404e-07,0.025843015606904517,0.7566938778447649,0.21746310654833056,6.290878003845837e-07
