year,V_total,V_emissions,V_climate,V_residual,f_emissions,f_climate,f_residual,mean
2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,0.002239350447992762,0.0021587737365862556,8.057671140650422e-05,2.2226519233162597e-18,0.9640178197750463,0.03598218022495274,9.925431391538248e-16,0.3375656283948648
2022,0.008057448672871542,0.007782423242401457,0.00027502543047007997,5.0310753912840216e-18,0.9658669336118687,0.034133066388130705,6.244005510358441e-16,0.6438657580389701
2023,0.017943525710352817,0.017307556184896076,0.0006359695254567236,1.8753588120812135e-17,0.9645571591825007,0.035442840817498336,1.0451451082432446e-15,0.9453056645900009
2024,0.032895737256012594,0.031673309328718445,0.0012224279272941229,2.7620140182258768e-17,0.9628393211624793,0.037160678837519924,8.396267263233455e-16,1.2568556392724788
2025,0.052466128304640536,0.05051120212441411,0.001954926180226378,5.1980135627178534e-17,0.9627392711565202,0.03726072884347878,9.907370203755054e-16,1.611325855957214
2026,0.0764329296513939,0.07383418168940842,0.002598747961985423,5.656986576083917e-17,0.9659996290363563,0.03400037096364303,7.401242634405225e-16,1.9494068556605788
2027,0.103153682560915,0.0995580058766617,0.0035956766842532317,7.345191795180589e-17,0.9651425271983871,0.03485747280161218,7.120629736939402e-16,2.2750350553560352
2028,0.13615015466035352,0.13145992190809191,0.004690232752261397,1.8188632809066747e-16,0.965551028833114,0.0344489711668846,1.3359245058840332e-15,2.6406925711149256
2029,0.17491651841514128,0.16893413822552705,0.0059823801896140396,1.8050740172230409e-16,0.9657986550165844,0.0342013449834146,1.0319631522386787e-15,3.01607251896742
2030,0.22068565276112467,0.21344735523142253,0.007238297529701816,3.1947176789105706e-16,0.9672008694759281,0.03279913052407045,1.4476327024161412e-15,3.3643470890748786
2031,0.2712436448872598,0.262541179652622,0.008702465234637463,3.154563894382944e-16,0.9679164271728655,0.03208357282713323,1.1630001122032232e-15,3.725558153493177
2032,0.33162728677078335,0.32091063121998087,0.0107166555508022,2.8736589708202892e-16,0.9676846388149908,0.03231536118500833,8.665327267856962e-16,4.104619555549744
2033,0.4014315913111347,0.3883798813773764,0.013051709933758062,2.914691023408714e-16,0.9674870881707902,0.03251291182920919,7.26074152233237e-16,4.50473835973864
2034,0.48107941308170127,0.4656390177694214,0.015440395312279481,3.9415776393049314e-16,0.9679046849804449,0.032095315019554274,8.193195410412494e-16,4.90727941022861
