year,V_total,V_emissions,V_climate,V_internal,V_brick,mean,f_emissions,f_climate,f_internal,f_brick,p5,p50,p95
2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,0.001578378759754862,3.0814879110195774e-33,0.0011930207404896192,0.00012378231385255952,0.00026157570541268313,0.43387816902848686,1.952312074636739e-30,0.7558519988414614,0.07842370729303538,0.16572429386550314,0.3528410241217417,0.4453226483979442,0.48112780155551427
2022,0.0065116591566187,2.809603026109596e-08,0.005367438629733527,0.00028545184708065366,0.0008587405837742587,0.8748217093125981,4.314726797783645e-06,0.8242812623688782,0.04383703756829923,0.13187738533602483,0.7477166907466914,0.9126953583857231,0.9636958213368123
2023,0.013526049012483502,2.7808964940927337e-07,0.010887333082425435,0.0008692194212327863,0.0017692184191758719,1.27944155268493,2.0559562452614066e-05,0.8049159863591552,0.06426262542968487,0.13080082864870735,1.083442050182576,1.3265957470194216,1.4058292022774692
2024,0.023168079565162036,1.2370974192871681e-06,0.018838106190586054,0.0012108087303708364,0.0031179275467858587,1.7007150797715715,5.339663202587572e-05,0.8131060728448556,0.05226193767875072,0.13457859284436777,1.4639915503409933,1.7522611719853476,1.8792040199688218
2025,0.038091430412158844,3.3806859515649655e-06,0.03160556754849411,0.00150647832977795,0.004976003847935213,2.118977684597968,8.875187712787613e-05,0.8297290809642467,0.03954900914661057,0.1306331580120148,1.8176651110975826,2.1932786601466336,2.341699155213412
2026,0.05400802355981118,7.959190964973308e-06,0.044786023955384134,0.0019809769472671854,0.007233063466194886,2.5454689106169086,0.0001473705283097224,0.8292476006974382,0.03667930830820633,0.13392572046604578,2.1772210867493644,2.6368658810365355,2.8177620534410535
2027,0.07586200004271385,1.659201858550185e-05,0.06303134062439761,0.002870117392894515,0.009943950006836219,3.0262359131370675,0.0002187131709704433,0.8308684267341755,0.03783340000630757,0.13107946008854646,2.5688543883584654,3.1198874114933215,3.3497239684356384
2028,0.10181262611795637,3.462581679908428e-05,0.08583220481743804,0.002871048737348459,0.013074746746370778,3.4593044903421695,0.00034009354359417155,0.8430408691943179,0.028199338793423984,0.12841969846866397,2.9310780112863615,3.5810559420312416,3.8318486735514687
2029,0.13181316481485358,6.561147289018528e-05,0.11124372982951099,0.003582685155671105,0.016921138356781308,3.946000050079557,0.0004977611529344885,0.8439500711917912,0.027180025308575127,0.12837214234669922,3.3530621368714613,4.0710616582974035,4.369677387251714
2030,0.16061950243805942,0.00012167180339257169,0.13482182527325412,0.004382588805246044,0.021293416556166674,4.423875522274506,0.0007575157533531312,0.8393863959654974,0.02728553344221774,0.13257055483893165,3.7804464191101292,4.564501347586154,4.893431390181536
2031,0.19459177742920541,0.00021988996859757053,0.16347476526354376,0.004800314746105493,0.026096807450958596,4.872918737186363,0.001130006475620836,0.8400908169052397,0.02466864124231508,0.1341105353768244,4.1696503270853,5.02968691555582,5.394785096192812
2032,0.2397119277199742,0.00037437461426632906,0.2028790482516845,0.005100589589188279,0.03135791526483509,5.329797343469666,0.0015617688190454361,0.8463452368906857,0.021277996625794385,0.13081499766447444,4.532449272024547,5.516527941650745,5.910884674709327
2033,0.2897219355488396,0.000619009971418277,0.24602046522227342,0.005763938241879395,0.0373185221132685,5.801167658254063,0.0021365657738191103,0.8491606434846585,0.01989472502646505,0.12880806571505718,4.904705310368357,5.985367550164132,6.4463761737453185
2034,0.3466315545270981,0.0009939653409579874,0.2945896895199459,0.0067303200286880195,0.04431757963750623,6.31654041215228,0.002867498148903474,0.8498640290317718,0.01941635128362751,0.1278521215356973,5.309942664890508,6.513039076126409,7.023990357381327
