year,vary_cfg,vary_post,vary_rff,vary_seed,V_emissions,V_climate,V_internal,V_brick
2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,0.0030846077537765044,0.0003014392391784243,1.6761886347281045e-07,0.0028452819030711208,0.0,0.0013199921112405759,5.873429240035351e-06,0.0005586395174653962
2022,0.011016646931433866,0.002210843946635433,1.023675019997044e-06,0.013383637425031791,0.0,0.006022215013058428,0.0,0.0018408583987900389
2023,0.02491001579405576,0.00476631593982188,2.8506282919788814e-06,0.022539128960949114,0.0,0.012185965734384293,6.701008177666221e-05,0.0037986384395702283
2024,0.043483914977946216,0.008227893721125847,6.1487408226104085e-06,0.039501731402142144,0.0,0.021109621452023716,0.0,0.006699851266125788
2025,0.06710134746592371,0.012863710517540894,1.1600934470444451e-05,0.06301827026796936,0.0,0.035476586820343235,0.0,0.010700720764185727
2026,0.09549362818540508,0.01932664195064334,2.0098730271647772e-05,0.07567049152944476,0.0,0.050226526320588535,0.0,0.01556685565876975
2027,0.13096299981759196,0.02823110845625785,3.2908959652955135e-05,0.10954113683891183,0.0,0.07074507597583884,0.0,0.02139710763470532
2028,0.17028287202769382,0.0370457897480208,5.11738915430197e-05,0.13331299736882557,0.0,0.09644974921339118,0.0,0.02811618163337457
2029,0.21777585709577238,0.05623517714840547,8.326853000512441e-05,0.15502012875597648,0.0,0.1250129830750974,0.0,0.03636581163679482
2030,0.27418193179568734,0.0910510701980455,0.00014156365800287684,0.16969085185640675,0.0,0.15132287050100868,0.0,0.04575293773595388
2031,0.3323252269014589,0.13788963093849257,0.00023936345946441484,0.196025966724756,0.0,0.1834175180191681,0.0,0.05606307621705443
2032,0.3993483305581925,0.19016793691543057,0.0003866867965873124,0.20001409926186503,0.0,0.22787740475839252,0.0,0.06733956557314508
2033,0.47495811660471754,0.21446611882023028,0.0005873104964690643,0.21464357643338355,0.0,0.27651070439636044,0.0,0.08007431386766628
2034,0.5553865735971533,0.23200809312018317,0.0008489574138213917,0.26352451024692236,0.0,0.3311936573680112,0.0,0.09503327812247009
2035,0.6559320496735027,0.3101771400241356,0.0013412730373004657,0.3120180374250852,0.0,0.39236750743952986,0.0,0.11285563447349409
2036,0.7737541849259092,0.40234278071177476,0.0020645935779789026,0.3584629182515993,0.0,0.4590729265891742,0.0,0.13677351239513638
2037,0.8934228760242557,0.5285568470521225,0.0031529235952765674,0.3987633274403301,0.0,0.5511459536326915,0.0,0.1789921105535931
2038,1.0649393487739585,0.6890517775588043,0.004685605429064417,0.3942752418096811,0.0,0.7656843330775123,0.0,0.28377304177896107
2039,1.314818007545463,0.8160575136471532,0.00678302846126038,0.4499697167966591,0.0,1.2461825925222478,0.0,0.43530975675948147
2040,1.6540073735132228,0.942710417593592,0.009550988374820307,0.6636702403400401,0.0,1.9339445320203215,0.0,0.6684958824016837
2041,2.0694674635065846,1.2160248353066414,0.02084237190493925,1.0115463280927448,0.0,2.9613001301857214,0.0,1.0291665540924166
2042,2.5920994206682018,1.6306069145292872,0.04795674456452898,1.1363880266401793,0.0,4.342788048051023,0.0,1.5280726705537875
2043,3.2180932495286014,2.3128786328691184,0.39818329380084444,1.6690479621471197,0.0,6.0419186277093715,0.0,2.171710334498316
2044,4.017231439101946,2.9958704495381694,0.5192839279463481,2.338304027535352,0.0,8.042857664942662,0.0,2.9507971325997575
2045,5.075351923352385,3.6551544986330478,0.7112375066726362,2.496761486988368,0.0,10.191849452315127,0.0,3.867762795965512
2046,6.3394014561753504,4.178120253612876,0.8093331003152944,3.607138011996085,0.0,12.695175509446749,0.0,4.977991329660591
2047,7.731919596938862,5.146063714460158,1.2015414903828157,5.273861563653608,0.0,15.36051802298464,0.0,6.2933994288924
2048,9.46949636765085,6.494814727724532,1.3153138756995482,6.204259161595969,0.0,17.945595825649335,0.0,7.844428039681915
2049,11.464044624732367,8.405101992352101,1.4702255205333303,7.095884351453182,0.0,20.724788900479666,0.0,9.63215028982189
2050,14.042109098316988,10.755729694119015,1.627634003865405,8.31400244729704,0.0,23.37118635996717,0.0,11.63187375090369
2051,17.17440166328195,13.440604413955255,2.149176018255086,8.077124505250449,0.010433959913121793,26.331089293631816,0.0,13.773924086986893
2052,20.901768054923938,15.962768384156469,3.440840860478889,8.616646253072158,0.19956122258079856,29.00033265158938,0.0,16.02245358460985
2053,25.163158564041044,19.648961546061482,3.8315677374053565,7.722500543761815,0.40536497953381356,32.25924917211347,0.0,18.333551592214015
2054,29.960092877575722,23.983444797259075,4.275210723859085,7.415526623624419,0.6737721561617304,35.53493976581198,0.0,20.79640221158599
2055,35.329286314015285,28.871800104415897,4.783711133599127,7.542609710415462,1.0391987354869179,38.58539949871232,0.0,23.34870536905946
2056,41.19281560903587,34.42395967656072,5.477918948770395,7.627460811424255,1.4886025015672464,41.7707855510328,0.0,25.98518649426177
2057,47.728187280714,40.523079891949784,6.215499772013467,7.637527726308106,2.0123049452638524,44.799404524205286,0.0,28.790611729926663
2058,54.47640141757671,44.660367249510585,8.649168817440502,7.611631017847404,2.5821127131336095,47.47764469508731,0.0,31.508244041230494
2059,61.9712007050428,51.3117525712658,9.674590978654901,7.537504089345143,3.182703003775309,50.22249422992047,0.0,34.01458632729588
2060,70.03071808326519,57.848333883139524,10.600391150411742,7.3585304029269505,3.8534381948086938,52.79033009393049,0.0,36.321700086025565
2061,79.03721574192879,65.86380834339536,12.307940040669047,7.203908218033097,4.571772516827216,55.77137572781764,0.0,38.22180692172685
