year,V_total,V_emissions,V_climate,V_residual,f_emissions,f_climate,f_residual,mean
2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,0.002054355275527816,0.0011971173892347147,0.0,0.0008572378862931014,0.5827216954609493,0.0,0.4172783045390506,0.3392994522190976
2022,0.007556051535660573,0.0047300141972642104,0.0,0.002826037338396362,0.6259901980473587,0.0,0.37400980195264133,0.6533574537580598
2023,0.016943680832317797,0.010969452655327784,0.0,0.005974228176990013,0.6474067095506796,0.0,0.3525932904493205,0.9500933108757794
2024,0.03052627688686519,0.019891320932081548,0.0,0.01063495595478364,0.6516130678432116,0.0,0.3483869321567884,1.2598443057894855
2025,0.049079406646637305,0.031829198632493866,0.0,0.017250208014143443,0.6485245199001333,0.0,0.35147548009986684,1.5776488636338624
2026,0.0730744457457847,0.04697460916346634,0.0,0.026099836582318365,0.6428322334032355,0.0,0.3571677665967646,1.9211804115657056
2027,0.10225522483752934,0.06524223224054523,0.0,0.03701299259698411,0.638033238342656,0.0,0.36196676165734404,2.2568574747732386
2028,0.13724278468370082,0.08694057813650329,0.0,0.050302206547197525,0.633480137676254,0.0,0.3665198623237459,2.5929853358543316
2029,0.17912330969206858,0.1125649457755256,0.0,0.06655836391654298,0.6284215380401151,0.0,0.37157846195988486,2.944841568139738
2030,0.22731324569015643,0.1418622335264051,0.0,0.08545101216375135,0.6240825654294385,0.0,0.37591743457056154,3.3195205566958985
2031,0.28291377363084375,0.17556006745689454,0.0,0.1073537061739492,0.6205426664237697,0.0,0.37945733357623035,3.6918214160204297
2032,0.3493009023318959,0.21516289985540232,0.0,0.1341380024764936,0.6159815174223643,0.0,0.3840184825776357,4.062684631847796
2033,0.4267572556435625,0.2606148553518617,0.0,0.16614240029170077,0.610686407566397,0.0,0.3893135924336029,4.42209423535582
2034,0.5160256541911398,0.312686875025705,0.0,0.20333877916543477,0.605952189558939,0.0,0.3940478104410611,4.826709673194793
2035,0.6190208971384821,0.3731804981868212,0.0,0.24584039895166093,0.6028560585141869,0.0,0.3971439414858132,5.217492798565979
2036,0.7456213223300963,0.44669776898355606,0.0,0.29892355334654025,0.5990946819863034,0.0,0.40090531801369667,5.59328891585245
2037,0.9007979977355733,0.5354394959550653,0.0,0.36535850178050794,0.5944057350272243,0.0,0.4055942649727757,5.994617677115568
2038,1.0821528548671142,0.6388693101445172,0.0,0.44328354472259707,0.590368825689573,0.0,0.409631174310427,6.491068086704831
2039,1.3103667016633094,0.7671288567239024,0.0,0.5432378449394071,0.5854306704757913,0.0,0.4145693295242088,6.920963735264517
2040,1.581141472901661,0.91768302186723,0.0,0.6634584510344311,0.5803927337274425,0.0,0.41960726627255757,7.403112281956042
2041,1.9054076414945185,1.0989408020444265,0.0,0.806466839450092,0.5767483965701247,0.0,0.42325160342987533,7.881603520405556
2042,2.2955364018941533,1.3146186571540501,0.0,0.9809177447401033,0.5726847355020367,0.0,0.42731526449796337,8.340020250665958
2043,2.769669852178504,1.5756437560354581,0.0,1.194026096143046,0.5688922651904248,0.0,0.43110773480957526,8.835310604932836
2044,3.318208516965945,1.8804771911699187,0.0,1.4377313257960262,0.5667145935992479,0.0,0.4332854064007521,9.317314639148018
2045,3.987378503311,2.255815586687135,0.0,1.731562916623865,0.5657390149477841,0.0,0.4342609850522159,9.8313993082789
2046,4.793441974099768,2.7121101830155236,0.0,2.0813317910842444,0.5657959766009,0.0,0.4342040233991002,10.358411711766742
