year,model_p05,model_p50,model_p95,berkeley_earth
1850,-0.7685668036341667,-0.5176384707912802,-0.26729698702692983,-0.8622
1851,-0.7499606627039611,-0.5080226875841618,-0.25566526949405666,-0.7882
1852,-0.7402143836021423,-0.49802749380469324,-0.24321020795032383,-0.7202
1853,-0.7491943938657641,-0.5016036789864302,-0.24768382087349894,-0.8331999999999999
1854,-0.7688860669732094,-0.5177972845733165,-0.26133834160864355,-0.6362
1855,-0.7684153154492378,-0.524533785879612,-0.2636956572532654,-0.7991999999999999
1856,-0.7670187279582024,-0.515203377790749,-0.2633117332588881,-1.0501999999999998
1857,-0.7715197563171386,-0.5239113166928291,-0.2737053409218788,-0.8572
1858,-0.7736608251929283,-0.5304256948642432,-0.28178455457091334,-0.7252
1859,-0.7644167125225068,-0.5164794347016141,-0.2744797579944134,-0.7842
1860,-0.746549691259861,-0.5025170470646116,-0.25778223723173144,-0.9742
1861,-0.7438031904399395,-0.49356983974575996,-0.2500754070468247,-0.9212
1862,-0.7894774798303843,-0.5409556720755062,-0.29403852112591267,-0.8602
1863,-0.8470968499779701,-0.5929691007360816,-0.3442626390606165,-0.8311999999999999
1864,-0.8338548257946968,-0.5830831416533329,-0.3371912192553282,-0.7862
1865,-0.7922818839550019,-0.5510288860648871,-0.30362989045679567,-0.7532
1866,-0.7647210821509361,-0.5231612795032561,-0.27619578652083876,-0.6501999999999999
1867,-0.7506379613652825,-0.5045946687459946,-0.25863010678440335,-0.6641999999999999
1868,-0.7423088751733303,-0.4964013966149651,-0.2540018047206104,-0.6422
1869,-0.7338192380964756,-0.48624206334352493,-0.2465178146958351,-0.7232
1870,-0.7245223321020603,-0.48216427145525814,-0.23585625365376472,-0.7842
1871,-0.7195524767041206,-0.47435313649475574,-0.23086921200156213,-0.7962
1872,-0.7140860319137573,-0.4656753378920257,-0.22423927672207355,-0.7232
1873,-0.7202062256634235,-0.476774102752097,-0.22939802873879672,-0.7622
1874,-0.7347461074590683,-0.48754061264917253,-0.24573530387133358,-0.7922
1875,-0.735097573697567,-0.48655084799975157,-0.2442991264164448,-0.8071999999999999
1876,-0.7283076833933592,-0.48421989534981547,-0.24343366920948029,-0.6941999999999999
1877,-0.7206659618765116,-0.47808901462703945,-0.24193004341796043,-0.28919999999999996
1878,-0.7166188593953848,-0.47212862968444824,-0.22893825694918635,-0.5651999999999999
1879,-0.714685569703579,-0.47031558230519294,-0.23275140828918667,-0.7782
1880,-0.715185298025608,-0.46893683932721614,-0.22321420684456827,-0.6652
1881,-0.7146323949098587,-0.47242887765169145,-0.2295798260718584,-0.6681999999999999
1882,-0.7075780898332595,-0.46595532093197106,-0.2207239679992199,-0.7831999999999999
1883,-0.7320679910480976,-0.49562320206314325,-0.25236970828846095,-0.8592
1884,-0.8970284134149551,-0.6403666738420726,-0.3838458277285099,-0.9922
1885,-1.0085067734122277,-0.7481948767323048,-0.49285516068339347,-0.8981999999999999
1886,-0.9467830583453178,-0.698952703922987,-0.46363810673356054,-0.9762
1887,-0.8759652614593506,-0.6321159550920129,-0.4003575690090656,-0.8832
1888,-0.8248041644692421,-0.5853159902617335,-0.35763558819890023,-0.5831999999999999
1889,-0.7812772311270237,-0.5459490183740854,-0.32240285724401474,-0.8702
1890,-0.7609927475452423,-0.529078808054328,-0.30203665867447854,-0.8892
1891,-0.7699058637022972,-0.5390380807220936,-0.31434020660817624,-0.7991999999999999
1892,-0.7679296284914017,-0.5385842297226191,-0.31028461903333665,-0.9441999999999999
1893,-0.7434558615088462,-0.5125841099768877,-0.27930420245975257,-0.8371999999999999
1894,-0.7203546345233918,-0.4870767278596759,-0.25199044272303583,-0.8171999999999999
1895,-0.7023653671145439,-0.46764083653688426,-0.23401561980135738,-0.7542
1896,-0.6927257485687732,-0.4605155162513256,-0.22445688247680662,-0.6292
1897,-0.6900548834353686,-0.4554048929363489,-0.22153176069259645,-0.7911999999999999
1898,-0.6906598776578903,-0.45316148921847343,-0.21881047971546652,-0.8542
1899,-0.6851391226053238,-0.45288345590233803,-0.2228135369718075,-0.6152
1900,-0.690496582724154,-0.45257792957127096,-0.22317436048761008,-0.6182
1901,-0.6910251818597317,-0.4546297367626494,-0.22247380800545213,-0.7651999999999999
1902,-0.6977119505405426,-0.45962811075150967,-0.23278840796556322,-0.8812
1903,-0.7630936592817307,-0.5230835102498532,-0.2934934288263321,-1.0442
1904,-0.8224726125597954,-0.5837301986292005,-0.3485258489847183,-0.9021999999999999
1905,-0.7962590038776398,-0.5652056924998761,-0.3351351488381624,-0.7402
1906,-0.755686902999878,-0.5221023391932249,-0.3031818583607674,-0.8371999999999999
1907,-0.730341999232769,-0.49753208309412,-0.2774552583694458,-0.8892
1908,-0.7211297888308763,-0.4994318960234523,-0.2786556079983711,-1.0062
1909,-0.7088366587180644,-0.48160693421959877,-0.2643288403749466,-0.9201999999999999
1910,-0.6945675194263459,-0.47380887269973754,-0.25056503936648367,-1.0192
1911,-0.6954969644546509,-0.4677382422611117,-0.24404698275029657,-0.7911999999999999
1912,-0.7238484762609005,-0.49296937268227337,-0.2738327041268349,-0.9812
1913,-0.7681094482541084,-0.5431429591029882,-0.3184311062097549,-0.7392
1914,-0.7841372780501843,-0.556373611278832,-0.3371030233800411,-0.5972
1915,-0.7556747496128082,-0.5261753835249692,-0.31081635765731336,-0.7142
1916,-0.7195395469665528,-0.49126516100950535,-0.27167860940098765,-1.0112
1917,-0.6870691262185573,-0.46737673245370387,-0.24060722349677235,-0.9321999999999999
1918,-0.6755612164735794,-0.45269990414381023,-0.22949133813381195,-0.7091999999999999
1919,-0.6617885742336511,-0.4381295368075371,-0.21967207044363024,-0.7622
1920,-0.6509884178638459,-0.42925114147365095,-0.20599090829491618,-0.7212
1921,-0.6540863431990147,-0.4258940491825342,-0.2091988757252693,-0.6741999999999999
1922,-0.6526338316500186,-0.42746836356818674,-0.206844016071409,-0.7682
1923,-0.6609730742871761,-0.4354208257049322,-0.20686501562595372,-0.6572
1924,-0.6682704299688339,-0.43857547007501124,-0.21076431050896643,-0.7702
1925,-0.6567133575677871,-0.42980600371956823,-0.20575747042894366,-0.5351999999999999
1926,-0.6438528688624501,-0.4187513455748558,-0.19743271954357622,-0.6532
1927,-0.629138508439064,-0.4103871858678758,-0.1832750365138054,-0.6172
1928,-0.6270710173994303,-0.40403355793096124,-0.17536348551511766,-0.7802
1929,-0.636792229861021,-0.41221632063388824,-0.1838778786361217,-0.7202
1930,-0.6428542792797088,-0.41621312499046326,-0.19217014163732526,-0.5661999999999999
1931,-0.6293804943561554,-0.4046867148950696,-0.1835598099976778,-0.5082
1932,-0.6256815418601036,-0.40070459041744466,-0.18035219460725782,-0.6971999999999999
1933,-0.6183221705257893,-0.39857072830200196,-0.17516747266054156,-0.7402
1934,-0.6120523884892464,-0.38568624667823315,-0.16573726087808605,-0.6242
1935,-0.6000659167766571,-0.3812600642442703,-0.1542038179934025,-0.6991999999999999
1936,-0.5944237977266311,-0.3755929387640208,-0.15210272539407016,-0.5212
1937,-0.5855069763958454,-0.36320057548582557,-0.14543614313006403,-0.4352
1938,-0.5796718459576369,-0.3609126043564175,-0.13575190156698225,-0.48219999999999996
1939,-0.5723723754286766,-0.3482950795441866,-0.12685014624148605,-0.41919999999999996
1940,-0.5710861429572105,-0.3492415491491556,-0.11627360600978137,-0.42519999999999997
1941,-0.5668693613260984,-0.35234812181442976,-0.12796263545751574,-0.40119999999999995
1942,-0.5739022370427846,-0.35258985282853245,-0.12261033803224564,-0.45719999999999994
1943,-0.5800694473087787,-0.3573162488639355,-0.13520146980881687,-0.28219999999999995
1944,-0.5754763215780259,-0.3593604907393455,-0.1363245237618685,-0.34919999999999995
1945,-0.576092541217804,-0.3585029684007168,-0.1355784803628921,-0.44619999999999993
1946,-0.5644634127616882,-0.34521285109221933,-0.12272037416696546,-0.5232
1947,-0.552174485847354,-0.33082464821636676,-0.10746991066262124,-0.5122
1948,-0.5433131054043769,-0.3179812699556351,-0.09051631186157466,-0.5942
1949,-0.5330703601241111,-0.3095804713666439,-0.08362143039703368,-0.6092
1950,-0.5248737141489983,-0.30535062253475187,-0.08086673500947655,-0.6162
1951,-0.52923564016819,-0.3101049154996872,-0.08764911964535715,-0.36419999999999997
1952,-0.5374435255303979,-0.31299359388649467,-0.0885489244014025,-0.33619999999999994
1953,-0.5365714602172375,-0.3156376775354147,-0.0895298231393099,-0.45419999999999994
1954,-0.5333053570240736,-0.3151988130062819,-0.09096095897257328,-0.5232
1955,-0.5330565184354782,-0.31510327458381654,-0.09414468854665758,-0.6112
1956,-0.5290308699011803,-0.3126977294683456,-0.09522275421768428,-0.5531999999999999
