year,gmst_C
1750,0.12688268790963206
1751,0.14804717154597366
1752,0.16991197360650132
1753,0.18098418574137823
1754,0.1683883537925176
1755,0.13762529394764292
1756,0.1461656400870835
1757,0.13597950455079208
1758,0.1550994249794127
1759,0.16537488126623112
1760,0.17501857766963136
1761,0.16957661542701807
1762,-0.009733612896755745
1763,-0.02160944399372229
1764,0.0447159463358421
1765,0.10362792984222938
1766,0.13682843439002207
1767,0.08961294223078868
1768,0.09693715057783675
1769,0.12256627218787469
1770,0.1322955576217229
1771,0.14364175125339634
1772,0.1632105281121099
1773,0.17226560761690862
1774,0.17612740224017245
1775,0.186161307973228
1776,0.18894110365505923
1777,0.195529231940209
1778,0.19515623484975567
1779,0.1948655279564561
1780,0.18690918966795741
1781,0.1918659086743668
1782,0.1961875162466801
1783,0.20331447426211618
1784,-0.10824945454824626
1785,-0.40414252926153116
1786,-0.21357910839377764
1787,-0.06992339087836302
1788,0.0044299432095765865
1789,0.04644023962245825
1790,0.08276460520945152
1791,0.07487451057462542
1792,0.09641013927470726
1793,0.11892352578609132
1794,0.1383968686825662
1795,0.15293724913244863
1796,0.10544363726578282
1797,0.10698426163517304
1798,0.12213795985482273
1799,0.14737875294265623
1800,0.15770281203472686
1801,0.1274916367099046
1802,0.1366153924637898
1803,0.1492375561412152
1804,0.1618154684608292
1805,0.16678455724058752
1806,0.16526628174284072
1807,0.17324182806268912
1808,0.17913246893443274
1809,0.18232587421947125
1810,-0.29372693470100847
1811,-0.6394399222902005
1812,-0.5292457387368428
1813,-0.3683348544279683
1814,-0.2875908953577281
1815,-0.26148360007473237
1816,-0.543362498047786
1817,-1.0594543891435724
1818,-1.1517820410518311
1819,-0.9659039067376587
1820,-0.6754448375651511
1821,-0.43263542493076934
1822,-0.29543175050870096
1823,-0.21945244183514123
1824,-0.22613418399387483
1825,-0.17388980850203897
1826,-0.12198919204503804
1827,-0.06985670547279235
1828,-0.03154159121833614
1829,-0.015182453159098231
1830,0.004431950049188378
1831,0.027288042929093023
1832,-0.05106340494755676
1833,-0.3967423761044909
1834,-0.3850637365060014
1835,-0.23206654487835993
1836,-0.3991233381046138
1837,-0.48982531376257915
1838,-0.35430692682282233
1839,-0.28063722090644233
1840,-0.17831572230748127
1841,-0.09750039187278754
1842,-0.04153558004797847
1843,-0.004476154831903137
1844,-0.03221195651545819
1845,-0.01889484167092929
1846,-0.0021370129093439415
1847,-0.054108888848640416
1848,-0.018517700104906724
1849,0.020141887115555226
1850,0.04676024857075497
1851,0.07121154230843123
1852,0.08142411369002717
1853,0.093187259651486
1854,0.06650643514843624
1855,0.014571760852818303
1856,0.03485182091610412
1857,0.053373488738597374
1858,-0.05562525951221792
1859,-0.05931159571622591
1860,0.004673509403197478
1861,0.047964696300643164
1862,0.07039821817843703
1863,-0.09790484707855084
1864,-0.1885780332786664
1865,-0.10052804553582437
1866,-0.024987194999023077
1867,0.0203657453080494
1868,0.03849127465887397
1869,0.05780450736392522
1870,0.04295379687931094
1871,0.0680972895521793
1872,0.08787092647492617
1873,0.011733662987851069
1874,-0.05373359196811213
1875,-0.005308230001995549
1876,0.020638588229909178
1877,0.04382151014701869
1878,0.060308237774706966
1879,0.0719002478592977
1880,0.08583190848509928
1881,0.08385347257330822
1882,0.0712626784852967
1883,0.08216822543382844
1884,0.05917436391330901
1885,-0.22716416382364404
1886,-0.2925720687206655
1887,-0.3105557482254793
1888,-0.23077251973465268
1889,-0.11685366548695314
1890,-0.053058803555554375
1891,-0.038336835926645746
1892,-0.004094975492263994
1893,0.018273096523670623
1894,0.03297250151428994
1895,0.058003197063097804
1896,0.03441700723196012
1897,0.03837559878006433
1898,0.051696701304068934
1899,0.06249069280066342
1900,0.07195725395283646
1901,0.07375737090950302
1902,0.08388071507402088
1903,0.07622714787620974
1904,0.03929834454640731
1905,0.041747980940259756
1906,0.061271717304621186
1907,0.07213758122455624
1908,0.03466869294241849
1909,0.017640417100986336
1910,0.036810665919122645
1911,0.05874133102218449
1912,0.07083932873540541
1913,-0.017362667935781607
1914,-0.0822159655885165
1915,-0.027685138526375948
1916,0.024986861513550486
1917,0.06225799053457348
1918,0.08482261128138446
1919,0.08904968414711253
1920,0.07462735480669014
1921,0.08340774638934367
