year,smb_gt,discharge_gt,mb_gt,smb_err_gt,discharge_err_gt,mb_err_gt
1959,388.08000000000015,,,55.400612296720006,,
1960,498.74999999999994,,,55.400612296720006,,
1961,292.75999999999993,,,55.400612296720006,,
1962,351.42,,,55.400612296720006,,
1963,376.9499999999998,,,55.400612296720006,,
1964,498.12000000000006,,,55.400612296720006,,
1965,505.48999999999984,,,55.400612296720006,,
1966,196.58,,,55.400612296720006,,
1967,361.1000000000002,,,55.400612296720006,,
1968,367.65,,,55.400612296720006,,
1969,303.7200000000002,,,55.400612296720006,,
1970,390.59000000000015,,,55.400612296720006,,
1971,365.30000000000024,,,55.400612296720006,,
1972,501.71000000000015,452.9105911749296,48.79940882507054,55.400612296720006,41.911595342750196,69.46804781355183
1973,596.7699999999996,452.9065943005296,143.86340569947004,55.400612296720006,38.64340182932677,67.54657909764416
1974,474.4299999999999,453.3170955463496,21.112904453650287,55.400612296720006,35.67554105373175,65.89364212371315
1975,410.20999999999975,454.49011073680964,-44.28011073680989,55.400612296720006,33.02066312199588,64.49489930116816
1976,493.7999999999999,456.72784536392965,37.07215463607025,55.400612296720006,30.764262997837694,63.36929635597676
1977,587.32,460.58868070789754,126.73131929210251,55.400612296720006,28.880256082563633,62.47637180763571
1978,485.5599999999997,464.5089447095726,21.051055290427144,55.400612296720006,27.177649444371127,61.707799119500365
1979,488.9499999999997,468.44871957144755,20.50128042855215,55.400612296720006,25.233701700566765,60.8766584526834
1980,432.16,472.3400906422556,-40.18009064225555,55.400612296720006,23.301536046903525,60.10149270190074
1981,286.7,468.83119141983957,-182.13119141983958,55.400612296720006,21.212218340126586,59.32272793593267
1982,299.5600000000003,465.3554765808166,-165.79547658081634,55.400612296720006,19.04172954500755,58.581697712824074
1983,440.18,461.85084340620057,-21.67084340620056,55.400612296720006,17.137746232741353,57.99077675621636
1984,570.9599999999998,458.4549028294656,112.50509717053421,55.400612296720006,16.1089943494374,57.69512580627318
1985,462.1500000000003,457.7231995697617,4.426800430238643,55.400612296720006,14.561455030627378,57.28231677804649
1986,385.8599999999999,451.74096941427763,-65.88096941427773,55.400612296720006,11.787043679045308,56.64064125293079
1987,556.75,460.9493733296166,95.8006266703834,55.400612296720006,11.216092341842382,56.5245837691196
1988,389.41000000000014,460.3922663447296,-70.98226634472945,55.400612296720006,10.63490598686643,56.41213582378327
1989,270.13999999999976,446.5946341222326,-176.45463412223285,55.400612296720006,9.889538224485195,56.27637878493105
1990,340.94000000000017,446.4744191894706,-105.53441918947044,55.400612296720006,9.783104013776892,56.25777250296942
1991,436.18000000000006,443.6800725252666,-7.500072525266546,55.400612296720006,9.821513400640034,56.264464525403916
1992,473.4100000000001,453.56237511925667,19.84762488074341,55.400612296720006,10.311700250173972,56.352098495982574
1993,463.6400000000001,459.9719842164825,3.6680157835176033,55.400612296720006,11.272377785455156,56.535779324154596
1994,405.9,456.14387894286756,-50.24387894286758,55.400612296720006,11.315507508983538,56.5443945324145
1995,245.1000000000001,448.82838074782666,-203.72838074782655,55.400612296720006,10.823543600029613,56.44800208079313
1996,490.95000000000016,449.4806742420626,41.469325757937554,55.400612296720006,10.19515632044774,56.3308889975105
1997,470.51000000000005,460.7722077625305,9.737792237469534,55.400612296720006,10.827193347709947,56.448702010233845
1998,472.30000000000007,455.7281629202927,16.571837079707393,55.400612296720006,10.76085982317908,56.43601639897693
1999,312.34999999999985,445.1858847285885,-132.83588472858867,55.400612296720006,10.977047258614924,56.47763636493076
2000,369.26,456.38990941859265,-87.12990941859266,55.400612296720006,11.454114939403565,56.57229526805989
2001,403.4100000000001,451.3448053428675,-47.934805342867435,55.400612296720006,10.6477169254994,56.41455236529889
2002,297.32000000000005,475.61584071588067,-178.29584071588062,55.400612296720006,10.730358455973228,56.430208536254405
2003,393.36000000000007,487.13380521598947,-93.7738052159894,55.400612296720006,11.925806933405285,56.669680728448974
2004,286.54,507.61394555441257,-221.07394555441255,55.400612296720006,11.598556513535812,56.60171690018924
2005,374.28999999999985,537.9381571542107,-163.64815715421082,55.400612296720006,13.01768392741706,56.909471423354624
2006,280.8999999999999,524.0588245224267,-243.15882452242676,55.400612296720006,13.443712085772074,57.008431284298794
2007,226.91,515.2536159205827,-288.3436159205827,55.400612296720006,13.240888380839369,56.96094247785346
2008,162.27,517.0803377977415,-354.81033779774157,55.400612296720006,13.12324017173619,56.933709482665485
2009,333.04999999999984,515.6986428024607,-182.6486428024608,55.400612296720006,12.645414765240947,56.825472786739375
2010,178.66999999999993,523.9427371802005,-345.2727371802006,55.400612296720006,12.891606063844947,56.88076432113802
2011,158.48999999999998,537.4563329176167,-378.9663329176167,55.400612296720006,13.07006317057494,56.92147568479144
2012,145.54000000000008,543.2599164980726,-397.7199164980725,55.400612296720006,13.494473654702551,57.0204232014192
2013,175.36000000000007,525.7243595704786,-350.3643595704785,55.400612296720006,13.102380252141863,56.92890488252168
2014,367.5400000000001,533.6101481719166,-166.07014817191657,55.400612296720006,12.977661467400365,56.90032987614335
2015,287.4899999999999,538.8868305247605,-251.39683052476062,55.400612296720006,12.884783092081618,56.87921833307377
2016,276.0199999999999,538.2748647534786,-262.25486475347867,55.400612296720006,12.597377003764784,56.814802210572424
2017,227.0999999999999,539.9458893336898,-312.8458893336899,55.400612296720006,12.017024114109205,56.688946995076265
2018,449.0000000000001,555.1155221765855,-106.11552217658539,55.400612296720006,12.405055558274734,56.77246908718491
