# Spliced observed OHC (cumulative since FaIR 1750-zero), units 1e22 J
# Zanna 2019 PNAS (1870-1960, OHC_2000m, anchored to FaIR mean at 1871); Cheng IAPv4.2 (1961-2025, 0-2000m annual mean, constant-offset splice at 1960)
# 1850-1869 filled from FaIR ensemble-mean (LHS-10k baseline cube)
# zanna_shift_1e22J=-3.796537, cheng_offset_1e22J=36.780333
year,ohc_1e22J,source
2015,41.945333,cheng_aligned
2016,41.588667,cheng_aligned
2017,44.202833,cheng_aligned
2018,44.307000,cheng_aligned
2019,46.196167,cheng_aligned
2020,47.055333,cheng_aligned
2021,48.584500,cheng_aligned
2022,50.482000,cheng_aligned
2023,51.998667,cheng_aligned
2024,53.384500,cheng_aligned
2025,55.672833,cheng_aligned
