year,gmst_control_spliced,gmst_pathA_spliced,gmst_pathB_spliced
1750,0.126882687909632,0.126882687909632,0.126882687909632
1751,0.1480471715459736,0.1480471715459736,0.1480471715459736
1752,0.1699119736065013,0.1699119736065013,0.1699119736065013
1753,0.1809841857413782,0.1809841857413782,0.1809841857413782
1754,0.1683883537925176,0.1683883537925176,0.1683883537925176
1755,0.1376252939476429,0.1376252939476429,0.1376252939476429
1756,0.1461656400870835,0.1461656400870835,0.1461656400870835
1757,0.135979504550792,0.135979504550792,0.135979504550792
1758,0.1550994249794127,0.1550994249794127,0.1550994249794127
1759,0.1653748812662311,0.1653748812662311,0.1653748812662311
1760,0.1750185776696313,0.1750185776696313,0.1750185776696313
1761,0.169576615427018,0.169576615427018,0.169576615427018
1762,-0.0097336128967557,-0.0097336128967557,-0.0097336128967557
1763,-0.0216094439937222,-0.0216094439937222,-0.0216094439937222
1764,0.0447159463358421,0.0447159463358421,0.0447159463358421
1765,0.1036279298422293,0.1036279298422293,0.1036279298422293
1766,0.136828434390022,0.136828434390022,0.136828434390022
1767,0.0896129422307886,0.0896129422307886,0.0896129422307886
1768,0.0969371505778367,0.0969371505778367,0.0969371505778367
1769,0.1225662721878746,0.1225662721878746,0.1225662721878746
1770,0.1322955576217229,0.1322955576217229,0.1322955576217229
1771,0.1436417512533963,0.1436417512533963,0.1436417512533963
1772,0.1632105281121099,0.1632105281121099,0.1632105281121099
1773,0.1722656076169086,0.1722656076169086,0.1722656076169086
1774,0.1761274022401724,0.1761274022401724,0.1761274022401724
1775,0.186161307973228,0.186161307973228,0.186161307973228
1776,0.1889411036550592,0.1889411036550592,0.1889411036550592
1777,0.195529231940209,0.195529231940209,0.195529231940209
1778,0.1951562348497556,0.1951562348497556,0.1951562348497556
1779,0.1948655279564561,0.1948655279564561,0.1948655279564561
1780,0.1869091896679574,0.1869091896679574,0.1869091896679574
1781,0.1918659086743668,0.1918659086743668,0.1918659086743668
1782,0.1961875162466801,0.1961875162466801,0.1961875162466801
1783,0.2033144742621161,0.2033144742621161,0.2033144742621161
1784,-0.1082494545482462,-0.1082494545482462,-0.1082494545482462
1785,-0.4041425292615311,-0.4041425292615311,-0.4041425292615311
1786,-0.2135791083937776,-0.2135791083937776,-0.2135791083937776
1787,-0.069923390878363,-0.069923390878363,-0.069923390878363
1788,0.0044299432095765,0.0044299432095765,0.0044299432095765
1789,0.0464402396224582,0.0464402396224582,0.0464402396224582
1790,0.0827646052094515,0.0827646052094515,0.0827646052094515
1791,0.0748745105746254,0.0748745105746254,0.0748745105746254
