year,south,all,central,north
1850,0.358289593435,0.277616659592,0.242044758877,0.170641975134
1851,0.816941990515,0.895527852760,0.934275356315,0.924358845254
1852,0.883240363096,0.870992496373,0.887468420876,0.728234061800
1853,0.089865225352,0.312247123594,0.389452222361,0.578337273000
1854,-0.180279875146,0.054418122158,0.200440904339,0.306711571280
1855,-0.247832543316,-0.282913321135,-0.327987922612,-0.263063986016
1856,1.482906391098,1.045333610035,0.820715406052,0.434677457942
1857,0.125304725040,0.113827448377,0.129868448697,0.104886456970
1858,0.044752084994,0.153153315056,0.214190606639,0.303514161385
1859,-0.589589511382,-0.583458273249,-0.616054810364,-0.422583837859
1860,0.350195387026,0.262418500902,0.199891159452,0.132167566716
1861,-0.639866078264,-0.236825997165,-0.012043141953,0.186360750499
1862,-1.018732662797,-0.681999729497,-0.512800167102,-0.338487981695
1863,-2.345169062426,-1.692155380661,-1.354850877764,-0.832874311004
1864,0.239999720232,0.273756372803,0.321690980305,0.246474413358
1865,-0.593361340739,-0.505900460778,-0.486894021774,-0.502499171566
1866,-1.534306106488,-1.320587045585,-1.260229330229,-0.945941065969
1867,0.267838640877,0.066747177301,-0.047039225081,-0.207905762245
1868,-0.877153716633,-0.597508600356,-0.451527536170,-0.272720786808
1869,-0.504365501493,-0.499388357362,-0.533368472211,-0.293548681044
1870,0.302904278206,0.243002803663,0.209586609367,0.125284124926
1871,0.648498788986,0.408028114445,0.318990624754,0.150647158082
1872,1.303784167549,0.989999023402,0.862570276227,0.500862977744
1873,-0.004895539588,0.156473142015,0.220541638961,0.260699558583
1874,-0.078315768332,0.072990448693,0.093933687622,0.228401451803
1875,0.764717465975,0.497640746905,0.416710976757,0.209741577670
1876,0.533215288243,0.289480060419,0.192543058588,0.091683210278
1877,0.522427242115,0.325746341139,0.251137452568,0.183050681204
1878,1.148536850045,0.852670593427,0.689399799662,0.675224930521
1879,0.738765603527,0.521160765278,0.463231764442,0.284436589103
1880,0.372444161348,0.341279105351,0.369638852653,0.257347551234
1881,0.162944839423,-0.067940697505,-0.182350317584,-0.228434066784
1882,-1.068669648629,-0.921122552605,-0.947876230575,-0.673662692752
1883,-0.145265500559,0.423294286202,0.690409011255,0.762268159814
1884,-1.080586758476,-0.635736992361,-0.408122134486,-0.396785907022
1885,-0.149015438890,-0.250150964089,-0.321087948376,-0.298060937345
1886,-0.681468880974,-0.738733841426,-0.834914653288,-0.687046722947
1887,-0.856348555544,-0.929164983627,-1.020232448052,-0.862005771100
1888,0.482197146851,0.144280633456,-0.000977693270,-0.120778370245
1889,0.170514074278,0.184310367374,0.213704241567,0.133555975254
1890,-0.060575663754,0.087656323697,0.149829151468,0.166205925040
1891,-0.118815774015,-0.185211702638,-0.188216303608,-0.253550408667
1892,0.174841203206,-0.334289289335,-0.611576590891,-0.598803949759
1893,0.517026405602,0.251144210494,0.187034337055,-0.040172003106
1894,-0.693408663061,-0.471642343989,-0.364079368203,-0.329714069499
1895,0.946792870300,0.591355070541,0.458612536516,0.266179075988
1896,-0.405144078139,-0.242989906695,-0.189758803823,-0.133893227110
1897,0.153828687044,0.170401349639,0.181480052886,0.133242756729
1898,-0.535408527067,-0.293949382489,-0.191027984179,-0.158722151434
1899,-0.057135530680,-0.107129708436,-0.144129388450,-0.151842967447
1900,0.862937532028,0.701847465890,0.697753033782,0.467902592109
1901,0.926325268802,0.659453929146,0.656433688768,0.272859448724
1902,0.430684481915,0.322406759187,0.289699651701,0.209127529911
1903,0.149546079432,0.307403381585,0.323046243867,0.447442470310
1904,-0.134679122735,-0.013172227428,0.006475549365,0.073322815831
1905,0.510982560546,0.548771809254,0.558572270100,0.560844626513
1906,-0.294846239177,-0.051075496647,-0.023489060911,0.182895458437
1907,-0.365046116200,-0.093429933471,-0.042469215844,0.145987959603
1908,0.805315681685,0.912664559471,1.070836601376,0.786473062269
1909,0.872978200865,0.652459491874,0.620107649308,0.403989174926
1910,-0.095180287021,-0.123862631096,-0.128754657554,-0.170646183864
1911,0.387779684572,0.475286034206,0.511033413306,0.507110776516
1912,1.100420996153,0.604463148650,0.599143594104,-0.034366080966
1913,0.249104487090,0.147428407594,0.206664604414,-0.106425280673
1914,-0.682620173800,-0.628087425531,-0.655686849951,-0.571642207236
1915,1.173516310783,0.600427914719,0.483626279060,0.040352961606
1916,1.358443085814,0.697449769726,0.591493389019,0.009133408154
1917,0.710423897493,-0.500349076756,-0.836729208738,-1.530576881802
1918,-0.523032233758,-0.617348894348,-0.688763559538,-0.671269648108
1919,0.277573745076,0.038615043245,0.000892504364,-0.235316155132
1920,-0.255285844845,0.043495409632,0.130715181570,0.252628957083
1921,-0.168968065950,0.057966277914,0.146395572918,0.160785400616
1922,0.370292339461,0.576125099636,0.681780736832,0.638284568056
1923,1.158244793220,1.255083295674,1.267772926312,1.309961847850
1924,1.005319205814,1.097153852564,1.061596935517,1.213887256120
1925,0.719099581250,0.834621038158,0.913038087715,0.819255567759
1926,1.713199281946,1.432404804873,1.417171189951,1.080053648360
1927,1.737970022181,1.457541969122,1.466675386066,1.070467565652
1928,2.399364226919,2.297810206927,2.419611093461,1.970467275172
1929,2.424399800637,1.898666739931,1.899988523816,1.228623898767
1930,1.419369564956,1.737358323699,1.875426843244,1.880445280022
1931,1.364450050966,1.613317319124,1.693875866170,1.752520426594
1932,2.296457330495,2.128108474475,2.191840445521,1.797916510714
1933,1.938581356054,2.006761260899,2.190010362311,1.788202631291
1934,1.348511047311,1.553067733540,1.635209127703,1.637685126152
1935,1.653537885403,1.549353332332,1.536528433288,1.402306167004
1936,1.885538806616,1.707730149846,1.712223753032,1.449566696396
1937,1.179001380676,1.591355049503,1.693539097157,1.893376696342
1938,0.508647248510,1.255509393177,1.437332647875,1.840961594227
1939,2.093194150379,2.191477944609,2.352287909614,2.040011909698
1940,1.616046684815,1.830236308617,1.903157304748,1.939188213264
1941,2.654013682803,2.140107102611,2.175984026189,1.440690567423
1942,2.011056029367,1.609184480167,1.522609432330,1.214159529285
1943,0.890432513047,0.815933647782,0.714416868664,0.828756889854
1944,0.943265116835,1.151959789269,1.131511203120,1.385566843633
1945,1.542498510374,1.584303361648,1.667158097133,1.475592718684
1946,2.022423778396,1.839343088911,1.887623005572,1.513446552432
1947,2.286252247388,2.369865244234,2.446294532726,2.319585156568
1948,1.189091592094,0.929952727820,0.929440325332,0.582711785125
1949,0.158225676966,0.528788604066,0.610398856466,0.810323887309
1950,1.436029156749,1.308736783570,1.242377510338,1.209790346785
1951,1.011905199623,0.587914024085,0.376408291070,0.342229915288
1952,1.600835447551,1.573041428820,1.521862754878,1.570350609624
1953,1.194975748692,1.310261060911,1.213680621110,1.540421182574
1954,1.328600303942,1.314351020898,1.254072330609,1.340448248630
1955,1.225364204438,0.987926057936,0.862977873316,0.841113905904
1956,1.052285506803,0.970201668710,0.926843139440,0.892371512383
1957,1.376387907395,1.340228816253,1.340179120489,1.255836186812
1958,1.453009113945,1.235144430016,1.037864396309,1.213061132807
1959,1.079868468421,0.937823028455,0.854362120731,0.845463957384
1960,2.052338850281,1.852844519860,1.870966187686,1.549912583286
1961,1.247828143775,0.695243622483,0.551558456717,0.202337004094
1962,1.641712351665,1.613077941686,1.591605055134,1.567668732950
1963,1.335945138889,1.202314370193,1.251260837031,0.933917231175
1964,1.383601415243,0.861669644077,0.794186491668,0.297951068606
1965,1.592200411319,1.587899572126,1.576079968292,1.557686499927
1966,1.047498457148,0.597551568796,0.454781993232,0.224647186698
1967,0.455365967329,0.779951915193,0.795294142492,1.100236844866
1968,0.891663587130,0.460524453815,0.312721978074,0.116914755266
1969,0.525068151753,0.704411169987,0.654150909335,0.945206992902
1970,0.640307701660,0.648677749914,0.673959352749,0.581325010462
1971,-0.167375927291,-0.097244071060,-0.223262632630,0.120906915490
1972,0.043621723485,0.542241952110,0.807986299138,0.716466206421
1973,0.331263015752,0.243116136922,0.119391983741,0.271004215579
1974,1.100650992732,1.047458855181,1.127129060219,0.830962023918
1975,0.417284408362,0.065856590303,-0.095906731248,-0.163947502459
1976,0.866871446733,1.228620926928,1.428395000871,1.333766192878
1977,1.734130756224,1.202084945430,1.096045734997,0.680571009756
1978,1.040242910605,0.920162748780,0.875449590498,0.799334554881
1979,0.890186242650,0.637989125399,0.617080216350,0.327600642896
1980,1.704107810728,1.675911028771,1.710069380164,1.552878325243
1981,0.590786923753,0.983991873379,0.896926941430,1.529207766674
1982,0.048283164306,0.269355624262,0.412595905816,0.287669326597
1983,-0.930932945190,-0.645043159231,-0.723122086285,-0.239264964150
1984,-0.538214094709,0.225564753258,0.457181762421,0.761066442726
1985,1.854476997623,1.508250643615,1.460763627000,1.124078621343
1986,1.054518652696,0.882037922081,0.899881008707,0.611419625087
1987,1.243526009439,0.881952547417,0.883209135143,0.411178487544
1988,1.016936010659,1.427388673889,1.505834045194,1.760507651829
1989,-0.306786722798,0.075054769813,0.195466726369,0.315416510368
1990,0.249867928401,0.931509763133,1.123317071547,1.425866451352
1991,1.045443697829,1.277281257705,1.386289953533,1.356398531628
1992,-0.162131082183,0.220120468363,0.425093522782,0.342190728240
1993,-0.288839178138,0.234423292926,0.378089448209,0.609240863510
1994,0.431355628308,0.811789657051,0.885634511323,1.115897174805
1995,0.644067038564,1.159097246237,1.337952914306,1.474758810991
1996,1.563770382349,1.726903427191,1.739986539862,1.859570452414
1997,1.152324482045,1.158660865790,1.198891601417,1.067907094198
1998,1.419780753248,1.932796442916,2.009095767890,2.390129923830
1999,1.005697402285,1.166669753311,1.247934508561,1.201014285407
2000,1.635610460940,1.745595161687,1.907940997983,1.605798934944
2001,1.836967910934,1.818514139606,1.873250199745,1.678091061718
2002,1.666656152821,2.147177404578,2.349026456386,2.389762341573
2003,2.884411856116,2.790280412611,2.960275714572,2.398532775710
2004,2.134006467849,1.944272258032,2.082972120125,1.483507670530
2005,2.579332951215,2.897408382742,3.041639265352,3.028960403562
2006,1.933603078242,2.364568339714,2.411045370648,2.766830645494
2007,2.117851922535,2.354482915656,2.392208935514,2.539389594542
2008,1.586523796224,2.073438091504,2.215893263158,2.407003496517
2009,1.839567557110,2.131633181549,2.180309731920,2.366666406665
2010,3.853077363345,3.611537325517,3.464897681442,3.490346129922
2011,1.452455561972,2.208652892802,2.349651455125,2.862479714021
2012,2.318324609120,2.725155573297,2.766174441904,3.106564684552
2013,1.970754511623,2.135721657872,2.258546530336,2.116410799564
2014,2.263557985018,2.691097273989,2.866908056796,2.907646527738
2015,0.673045619406,1.533758077309,1.656963100161,2.336084978109
2016,2.862350220498,3.945529442330,4.284293677460,4.707969973530
2017,1.884371121207,2.399386205284,2.532898537593,2.778719970073
2018,1.532106855260,2.114333535206,2.219651050039,2.612695111639
2019,2.637812372271,3.147770944023,3.205858566142,3.627072275126
