year,R19,SLOWP,FAST
1850,-0.201260000000,-0.200295462857,-0.120812899855
1851,0.028740000000,0.570686717468,0.419647706345
1852,0.020740000000,0.204003379674,0.117112387174
1853,-0.078920000000,0.512631112684,0.046425841232
1854,-0.179510000000,0.412242259176,0.054427579126
1855,0.151320000000,0.020968363652,0.082311329543
1856,-0.035890000000,-0.157270723777,0.205758834347
1857,-0.078260000000,-0.144425306839,-0.068132981141
1858,0.024370000000,0.373152055575,-0.073501520547
1859,0.031070000000,0.330846040523,0.021741366959
1860,0.025510000000,-0.031795803786,-0.112893593726
1861,-0.053200000000,0.236807018838,-0.203671575243
1862,-0.019080000000,-0.407297390300,-0.478579335822
1863,-0.041390000000,0.310999386659,-0.257299369869
1864,0.032450000000,-0.096847176535,-0.027341125065
1865,-0.003570000000,-0.091393066386,-0.069230260837
1866,-0.068520000000,-0.168856764609,-0.074446481181
1867,-0.146070000000,-0.400468073065,-0.022737702580
1868,-0.034470000000,0.078992643520,0.075150445236
1869,-0.119040000000,0.245713149883,0.294187889005
1870,-0.006340000000,-0.001470189707,0.232081823643
1871,0.012000000000,-0.161075590951,-0.071349324534
1872,0.153210000000,-0.028146834798,0.137548892925
1873,-0.006940000000,0.001208724834,-0.033919887326
1874,-0.060480000000,0.117926857628,0.386256360416
1875,0.138680000000,-0.021666747854,0.064381260815
1876,0.049250000000,-0.047668753396,-0.240477503168
1877,0.164850000000,0.289458607389,0.143665093172
1878,0.203490000000,0.801719184051,0.217252783705
1879,0.176290000000,0.229588377095,-0.001358412012
1880,0.196860000000,0.049191200105,-0.007639900677
1881,0.128650000000,-0.270551025764,0.328915962381
1882,0.207140000000,-0.101296877129,-0.038005761433
1883,0.228160000000,0.338768063437,-0.009025895607
1884,0.122670000000,-0.193680678468,-0.189289238942
1885,0.021550000000,-0.495534033601,0.023151418602
1886,-0.077060000000,-0.106147272816,-0.128259888286
1887,-0.134240000000,-0.201869869977,-0.418174296364
1888,-0.141120000000,-0.306407643792,0.177675765380
1889,0.046980000000,0.496723676242,0.334821295260
1890,-0.025490000000,0.032875156094,-0.217608129054
1891,-0.009350000000,-0.201488726100,0.109854730377
1892,-0.073650000000,-0.535519475710,-0.030228388214
1893,-0.007310000000,-0.429591329764,-0.273421813014
1894,-0.170360000000,-0.209196738167,-0.289074665470
1895,-0.074590000000,-0.087837531212,-0.033925324723
1896,0.036060000000,-0.130325809586,-0.104782524369
1897,-0.003400000000,0.482766130267,-0.091823055086
1898,-0.188320000000,-0.287894219079,-0.096639986681
1899,-0.084120000000,-0.594156570329,0.086224683548
1900,-0.078090000000,-0.027092418440,0.225057391635
1901,-0.127170000000,-0.136967140198,0.153083144106
1902,-0.224780000000,-0.405367906893,0.237595536553
1903,-0.257690000000,0.310633063070,-0.222176678208
1904,-0.259900000000,0.096102705436,-0.187464732427
1905,-0.140470000000,0.504340632692,0.115996139999
1906,-0.034140000000,0.230507549693,0.124554431770
1907,-0.230990000000,-0.008473201994,-0.257417191571
1908,-0.190840000000,0.238211328009,-0.024658330408
1909,-0.358260000000,-0.003660396372,-0.143743740955
1910,-0.296840000000,-0.049451267199,-0.162757909006
1911,-0.396470000000,0.367164180556,-0.052287790815
1912,-0.280640000000,-0.321026636551,0.190026789477
1913,-0.292440000000,-0.343555350026,-0.092332041690
1914,-0.019300000000,-0.306689408629,0.182039218520
1915,-0.049780000000,0.193581683945,0.727777721722
1916,-0.080040000000,-0.140615747550,0.045635770119
1917,0.123460000000,-1.352613430375,-0.237601940188
1918,0.032700000000,-0.597643076351,-0.249414586300
1919,0.015320000000,-0.250118439100,0.039887735131
1920,-0.115920000000,0.525376011116,-0.126464627060
1921,-0.077010000000,0.433095747722,0.139064813227
