year,gmst_tant12p0_spliced,gmst_tant12p0_raw,ohc_tant12p0_raw,gmst_tant14p5_spliced,gmst_tant14p5_raw,ohc_tant14p5_raw,gmst_tant17p0_spliced,gmst_tant17p0_raw,ohc_tant17p0_raw,gmst_control_spliced
1750,0.0364782155706208,0.08283717866364278,25.276137360071786,0.0364782155706208,0.08357211489996008,25.520535813406752,0.0364782155706208,0.08595218293399336,42.066717048199074,0.0364782155706208
1751,0.0686304301755447,0.24112981913952414,25.467045141215333,0.0686304301755447,0.022029443375900314,26.218821804563117,0.0686304301755447,0.15601077474287278,42.570473723363556,0.0686304301755447
1752,0.0842846075957095,0.3038255323739584,25.528972023294322,0.0842846075957095,0.1427788580509318,26.769227092360218,0.0842846075957095,0.20547676431993578,43.0137392744337,0.0842846075957095
1753,0.0907278361241409,0.31315762618140724,25.511465805481564,0.0907278361241409,0.06105862515249047,27.340867824932392,0.0907278361241409,0.39058409311236414,43.23122304158556,0.0907278361241409
1754,0.0941398498877737,0.2690088580980266,25.46030332224562,0.0941398498877737,0.13117465997066358,27.77095501335124,0.0941398498877737,0.37092562781056,43.342920873359326,0.0941398498877737
1755,0.0583718652643096,0.11324176466409946,25.11516889756809,0.0583718652643096,0.1755064408319526,27.32309825326095,0.0583718652643096,0.3180730584463795,42.74036594137353,0.0583718652643096
1756,0.038955928229621,0.007452880676652937,24.99362491523877,0.038955928229621,0.12385699566543412,27.11581066920063,0.038955928229621,0.23031950703311005,42.3924778716867,0.038955928229621
1757,0.0424012494814686,0.07149562747918602,25.008772395636115,0.0424012494814686,0.09343281218824222,27.257206989817572,0.0424012494814686,0.36744207086411157,42.20086361731538,0.0424012494814686
1758,0.0494603861171535,0.08212633055193541,25.064014364275902,0.0494603861171535,0.11576597897120867,27.507196488947752,0.0494603861171535,0.25107640708195283,42.15089512137174,0.0494603861171535
1759,0.0641067493322892,0.19841130971597426,25.083807813710905,0.0641067493322892,0.12857690726954002,27.870432501335234,0.0641067493322892,0.2766129182335576,42.2267391400746,0.0641067493322892
1760,0.0739744491833023,0.10984973404489123,25.25587045832053,0.0739744491833023,0.1802257143034952,28.268705597700595,0.0739744491833023,0.444584412361922,42.223424535274845,0.0739744491833023
1761,0.0893176471056989,0.1079435053263821,25.459669642779648,0.0893176471056989,0.218424313316945,28.65373086362334,0.0893176471056989,0.2703768297126086,42.362081818446285,0.0893176471056989
1762,0.0918556924319298,0.14151581723780088,25.614626109754962,0.0918556924319298,0.27427956979628443,28.971776729326788,0.0918556924319298,0.32367390940440416,42.47677254862597,0.0918556924319298
1763,-0.0019163404669566,0.03903945058800534,24.60671516777339,-0.0019163404669566,0.11400591757697436,27.0740420308709,-0.0019163404669566,0.32960869935202425,40.618643303206674,-0.0019163404669566
1764,-0.0310909661072616,0.09540942495182184,23.90485061289448,-0.0310909661072616,0.10393626710273576,25.858848748849173,-0.0310909661072616,0.09524423445103443,39.52591788813284,-0.0310909661072616
1765,-0.0128439690587704,0.13966315228520607,23.675651113956935,-0.0128439690587704,0.05986940901468246,25.683924461737032,-0.0128439690587704,0.05627984395040383,39.38776181000264,-0.0128439690587704
1766,0.0101965424506158,0.11862625564515386,23.597513319543218,0.0101965424506158,0.13413579683391835,25.73632574798978,0.0101965424506158,0.20603835745201382,39.28627689263239,0.0101965424506158
1767,0.0215824653672407,0.1393037034890665,23.54694881504117,0.0215824653672407,0.10577539828843255,25.93034272030716,0.0215824653672407,0.2299589032638023,39.28846960459789,0.0215824653672407
