year,r01,r02,r03,r04,r05,r06,r07,r08,r09,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19
1850,-0.43100,0.06240,-0.09929,0.34878,0.29820,0.19368,-0.18877,-0.34710,-0.49744,-0.47390,-0.38186,-0.33790,0.01387,-0.09174,-0.05579,0.04264,-0.14277,-0.10346,-0.20126
1851,0.54993,0.38745,0.40144,0.63909,0.83625,0.36693,0.84310,0.49782,0.77663,-0.16508,-0.30760,0.57885,0.16095,0.26864,0.61669,0.09596,0.36841,0.03192,0.02874
1852,-0.17765,-0.21931,0.39362,0.88191,0.74513,0.32299,0.26283,-0.09164,-0.24637,-0.27049,0.28803,-0.09226,0.20913,0.10577,0.47508,0.17771,-0.15420,0.02981,0.02074
1853,-0.49156,0.38731,0.30650,0.09862,0.28222,-0.10279,0.97542,0.42749,0.75430,-0.33809,-0.26344,0.43931,0.37518,0.39562,0.93543,0.15496,0.03681,0.00625,-0.07892
1854,-0.13801,0.36618,0.25838,-0.00109,0.08534,0.10437,0.58210,0.53651,0.67752,0.52106,-0.19358,-0.51774,0.46704,0.00878,0.06574,0.03875,-0.12768,-0.00676,-0.17951
1855,0.05179,0.66589,0.24472,-0.00397,-0.21852,-0.14424,-0.22209,-0.61795,-0.23681,0.41684,-0.40517,0.30466,0.03512,0.00495,0.06110,-0.01212,0.25608,0.22137,0.15132
1856,0.16558,0.30363,0.16655,1.14178,0.90872,0.16193,-0.47870,-1.02332,-0.66957,0.19485,-0.02083,-0.08282,-0.15999,-0.01702,0.03454,0.07364,0.12027,-0.33423,-0.03589
1857,0.09791,0.66659,-0.23142,-0.01043,0.14788,0.50913,0.05640,0.30947,-0.24076,-0.22451,0.06344,-0.74905,-0.60625,-0.12887,-0.10069,-0.19417,-0.00573,-0.46127,-0.07826
1858,-0.26182,0.04662,-0.02357,-0.08010,0.13750,0.21795,0.76778,0.86837,0.94996,0.57455,-0.38128,-0.56479,0.08803,-0.07046,-0.03006,-0.09994,0.05745,-0.31576,0.02437
1859,-0.37102,-0.34236,0.26768,-0.05290,-0.48502,-0.13843,0.09805,0.72207,0.71473,0.59607,0.58416,0.19031,0.60838,0.01140,0.06891,0.07794,0.32248,0.25638,0.03107
1860,0.23180,0.40013,-0.01474,0.39330,0.19416,-0.36135,0.07484,-0.43890,-0.06742,-0.97239,-0.36701,0.11502,-1.35846,-0.06798,-0.02706,0.01216,-0.03127,0.55316,0.02551
1861,0.08234,0.61824,-0.11674,-0.74420,-0.29177,0.06011,0.75170,0.35682,0.65010,-0.30183,0.14860,-0.62120,-0.65432,-0.09664,-0.06172,-0.08519,-0.27582,1.15081,-0.05320
1862,-0.41248,0.15871,-0.42264,-0.87374,-0.74137,-0.44669,-0.14465,-0.94395,-0.54297,-0.57718,0.45420,-0.61786,-1.08416,-0.18262,-0.16566,-0.09669,-0.01646,1.32111,-0.01908
1863,-0.01433,0.69847,0.09812,-1.71573,-1.65484,-0.67888,0.30975,1.23316,0.95589,0.45180,0.80745,-0.17524,0.08532,-0.03626,0.01129,-0.04439,-0.72414,-0.17265,-0.04139
1864,0.32882,0.93960,-0.23276,0.06207,0.17077,0.13081,-0.10790,-0.71785,0.13851,-0.01539,-0.57436,-0.23210,-0.70692,-0.12925,-0.10114,-0.23472,-0.28438,0.02331,0.03245
1865,-0.14842,0.52676,0.12576,-0.28317,-0.56021,-0.23462,-0.51016,-0.31083,-0.22317,0.03733,0.21728,-0.03497,-0.10372,-0.02849,0.02068,0.09720,0.12247,-0.11720,-0.00357
1866,0.03424,0.45459,0.08389,-0.80741,-1.32522,-0.84081,-0.69654,-0.21059,-0.18767,0.42236,0.48232,-0.18887,0.18856,-0.04026,0.00645,0.01890,-0.24084,-0.21809,-0.06852
1867,-0.33592,0.15928,0.04867,0.32996,-0.01616,-0.02159,-1.05473,-1.93708,-0.95831,0.15247,0.22947,-0.02604,0.47804,-0.05015,-0.00551,0.06875,-0.31349,-0.15066,-0.14607
1868,0.76414,0.43546,0.08758,-0.81294,-0.62555,0.05937,-0.01008,0.36927,0.12515,0.06022,0.72257,-0.28116,-0.34891,-0.03922,0.00771,0.05095,-0.13734,-0.32895,-0.03447
1869,1.01462,0.52243,0.19207,0.04435,-0.45972,-0.13709,0.02491,0.34540,0.58379,0.13834,0.23672,0.29199,-0.32791,-0.00985,0.04321,0.05331,-0.10474,-0.04617,-0.11904
1870,0.70770,0.94400,0.14597,0.47377,0.26764,0.17715,-0.01695,-0.40985,-0.32916,-0.49788,-0.31034,0.20020,-0.39302,-0.02281,-0.33885,-0.02663,-0.07397,-0.10564,-0.00634
1871,-0.39378,0.39285,0.04173,0.65947,0.37114,0.18056,-0.38282,-1.11264,-0.49849,-0.49085,-0.57584,0.16606,-0.05285,-0.05211,-0.16072,0.02740,-0.17188,-0.34328,0.01200
1872,0.40150,-0.03886,0.13731,0.95014,0.87057,0.35676,-0.11532,0.73332,-0.38861,-0.46318,0.77367,0.39487,-0.53554,-0.02524,-0.23396,0.00197,-0.25121,0.01242,0.15321
1873,-0.18649,-0.06395,0.10317,0.06667,0.11942,-0.13729,0.08329,0.37520,-0.23148,-0.01496,0.40075,0.43854,0.11083,-0.03484,0.01292,0.06658,-0.06974,0.16338,-0.00694
