year,gmst_control_spliced,gmst_tant12p0_spliced,gmst_tant14p5_spliced
1897,0.0383755987800643,0.038376,0.038376
1898,0.0516967013040689,0.051697,0.051697
1899,0.0624906928006634,0.062491,0.062491
1900,0.0719572539528364,0.071957,0.071957
1901,0.073757370909503,0.073757,0.073757
1902,0.0838807150740208,0.083881,0.083881
1903,0.0762271478762097,0.076227,0.076227
1904,0.0392983445464073,0.039298,0.039298
1905,0.0417479809402597,0.041748,0.041748
1906,0.0612717173046211,0.061272,0.061272
1907,0.0721375812245562,0.072138,0.072138
1908,0.0346686929424184,0.034669,0.034669
1909,0.0176404171009863,0.01764,0.01764
1910,0.0368106659191226,0.036811,0.036811
1911,0.0587413310221844,0.058741,0.058741
1912,0.0708393287354054,0.070839,0.070839
1913,-0.0173626679357816,-0.017363,-0.017363
1914,-0.0822159655885165,-0.082216,-0.082216
1915,-0.0276851385263759,-0.027685,-0.027685
1916,0.0249868615135504,0.024987,0.024987
1917,0.0622579905345734,0.062258,0.062258
1918,0.0848226112813844,0.084823,0.084823
1919,0.0890496841471125,0.08905,0.08905
1920,0.0746273548066901,0.074627,0.074627
1921,0.0834077463893436,0.083408,0.083408
1922,0.1057647509324395,0.105765,0.105765
1923,0.1166523421326226,0.116652,0.116652
1924,0.117175705481379,0.117176,0.117176
1925,0.0980098188187554,0.09801,0.09801
1926,0.1059422065806009,0.105942,0.105942
1927,0.0900146835132151,0.090015,0.090015
1928,0.1002794063518123,0.100279,0.100279
1929,0.1203888290303883,0.120389,0.120389
1930,0.1294757257930011,0.129476,0.129476
1931,0.140904143997096,0.140904,0.140904
1932,0.153208748345497,0.153209,0.153209
1933,0.1588044223045113,0.158804,0.158804
1934,0.1162077724836107,0.116208,0.116208
1935,0.1366595826593888,0.13666,0.13666
1936,0.1513222282817986,0.151322,0.151322
1937,0.1803075090511853,0.180308,0.180308
1938,0.1944942637376658,0.194494,0.194494
1939,0.2048655190301078,0.204866,0.204866
1940,0.2113778888180902,0.211378,0.211378
1941,0.2115299110479305,0.21153,0.21153
1942,0.2107542267392756,0.210754,0.210754
1943,0.2114651687205186,0.211465,0.211465
1944,0.1868529662891444,0.186853,0.186853
1945,0.1840926690962564,0.184093,0.184093
1946,0.2129493143438933,0.212949,0.212949
1947,0.2318243816373721,0.231824,0.231824
1948,0.236241285637666,0.236241,0.236241
1949,0.2448854742496981,0.244885,0.244885
1950,0.2661992881514289,0.266199,0.266199
1951,0.2717334168987384,0.271733,0.271733
1952,0.2606125276711363,0.260613,0.260613
1953,0.2589115387668129,0.258912,0.258912
1954,0.2657756530820209,0.265776,0.265776
1955,0.2593046961235403,0.259305,0.259305
1956,0.2614135124327144,0.261414,0.261414
1957,0.2612292940926767,0.261229,0.261229
1958,0.2628037141953355,0.262804,0.262804
1959,0.2875825964762147,0.287583,0.287583
1960,0.2973872655244933,0.297387,0.297387
1961,0.3005440730467877,0.300544,0.300544
1962,0.2998744682750029,0.299874,0.299874
1963,0.2982685360061133,0.298269,0.298269
1964,0.1836743736378154,0.183674,0.183674
1965,0.1320114625965359,0.132011,0.132011
1966,0.1878209708625026,0.187821,0.187821
1967,0.2351611588859609,0.235161,0.235161
1968,0.2697761539359292,0.269776,0.269776
1969,0.2806516233235056,0.280652,0.280652
1970,0.2777573000255597,0.277757,0.277757
1971,0.2966631675475287,0.296663,0.296663
1972,0.3160345690281703,0.316035,0.316035
1973,0.3324016727490902,0.332402,0.332402
1974,0.3385577774528204,0.338558,0.338558
1975,0.350594830891443,0.350595,0.350595
1976,0.3604275254889543,0.360428,0.360428
1977,0.3724179026534489,0.372418,0.372418
1978,0.3920790075735983,0.392079,0.392079
1979,0.4131967017513757,0.413197,0.413197
1980,0.4333083184824062,0.433308,0.433308
1981,0.448886641226655,0.448887,0.448887
1982,0.4658390528967185,0.465839,0.465839
1983,0.4321910049211875,0.432191,0.432191
1984,0.3547958230833144,0.354796,0.354796
1985,0.3629893400934115,0.362989,0.362989
1986,0.4155544679621156,0.415554,0.415554
1987,0.4483002410890584,0.4483,0.4483
1988,0.4836511540129282,0.483651,0.483651
1989,0.5208722409062235,0.520872,0.520872
1990,0.5557397132233756,0.55574,0.55574
1991,0.5885637306361448,0.588564,0.588564
1992,0.5090689778394178,0.509069,0.509069
1993,0.3084522979487564,0.308452,0.308452
1994,0.332676813580452,0.332677,0.332677
1995,0.4547856293863089,0.454786,0.454786
1996,0.5463394857269461,0.546339,0.546339
1997,0.600043540445978,0.600044,0.600044
1998,0.6466075693928761,0.646608,0.646608
1999,0.686007840655961,0.686008,0.686008
2000,0.7295563669080296,0.729556,0.729556
2001,0.7655239205849365,0.765524,0.765524
2002,0.7999498588212678,0.79995,0.79995
2003,0.8301407393993533,0.830141,0.830141
2004,0.8359312010698448,0.835931,0.835931
2005,0.843916603443868,0.843917,0.843917
2006,0.8516506513236204,0.851651,0.851651
2007,0.8597675192449368,0.859768,0.859768
2008,0.8671015531069908,0.867102,0.867102
2009,0.8915919796329949,0.891592,0.891592
2010,0.91224213325433,0.912242,0.912242
2011,0.9463726707864436,0.946373,0.946373
2012,0.9634454159642772,0.963445,0.963445
2013,1.0010392042679888,1.001039,1.001039
2014,1.034758969518629,1.034759,1.034759
2015,1.0655474016558886,1.259824,1.12382
2016,1.0982433117141364,1.304551,1.143186
2017,1.1215083354395925,1.393477,1.338215
2018,1.151453192788353,1.191592,1.287393
2019,1.172690213058829,1.317207,1.194403
2020,1.183004264307409,1.380326,1.300621
2021,1.2100067371777328,1.436096,1.31764
2022,1.2401553910866456,1.348598,1.314165
2023,1.2795255652495054,1.344246,1.327034
2024,1.3120856196879591,1.528183,1.634871
2025,1.3440833095342744,1.55378,1.770984
2026,1.3737105932007283,1.591748,1.582366
2027,1.397236727952544,1.595668,1.609954
2028,1.414495288828333,1.582265,1.818089
2029,1.431963114692015,1.619635,1.881125
2030,1.4560076990695092,1.663421,1.929473
2031,1.4757149556522156,1.731149,1.757461
2032,1.50669897344732,1.675586,1.951778
2033,1.5287022346898986,1.745519,1.875871
2034,1.5585886384487002,1.771228,1.945936
2035,1.5911059353937131,1.927716,2.037976
2036,1.630594131489448,1.959647,2.15263
2037,1.6632419647309475,1.963156,2.178429
2038,1.690334066834702,1.887347,2.267107
2039,1.7289730967413743,1.925069,2.120948
2040,1.7574188806603228,1.991363,2.261623
2041,1.7754810697663423,2.126934,2.391946
2042,1.8132263000160829,2.056489,2.417195
2043,1.842687274458409,2.18408,2.541664
2044,1.8744435758640965,2.329957,2.582384
2045,1.916105045338041,2.305812,2.616795
2046,1.9558020518450927,2.254459,2.721138
2047,1.999831481153686,2.595044,2.805882
2048,2.036687030330139,2.515702,2.833127
2049,2.082483355924539,2.460077,3.04855
2050,2.122351404993238,2.676636,2.870084
2051,2.155441775586654,2.604752,2.966198
2052,2.192318354959954,2.669424,2.96622
2053,2.2236749909165563,2.538176,3.07509
2054,2.2604930108012273,2.73027,3.329857
2055,2.292541788062364,2.715685,3.217206
2056,2.335864279351812,2.838705,3.324647
2057,2.379963412280688,2.904569,3.470863
2058,2.4263226710090553,2.997695,3.549211
2059,2.4684306913003575,3.102369,3.636954
2060,2.509349831896528,3.197066,3.697389
2061,2.546191246187096,3.243596,3.738894
2062,2.5901533307300575,3.076876,3.70248
2063,2.6231078333459457,3.325761,3.948303
2064,2.6667128482541567,3.383661,3.982938
2065,2.7018268187789163,3.604848,4.018868
2066,2.736966561097795,3.636887,4.140382
2067,2.781365410279771,3.571438,4.306117
2068,2.8203622068807586,3.648387,4.209179
2069,2.861754603125484,3.823482,4.400488
2070,2.913142057073008,3.892066,4.373552
2071,2.9616454919219586,3.931005,4.48987
2072,3.015445536729185,3.906105,4.617767
2073,3.053783248081748,3.974065,4.462984
2074,3.103983019720375,4.194749,4.783755
2075,3.1560586725905786,4.356563,4.923832
2076,3.1936521239750184,4.409461,4.970854
2077,3.2353592105802793,4.485051,5.029802
2078,3.278269887349176,4.569918,5.248319
2079,3.3243722342455455,4.600138,5.20436
2080,3.3694994449712734,4.532213,5.248617
2081,3.426141490541102,4.562767,5.334526
2082,3.479675625555312,4.622102,5.586683
2083,3.5386944945562164,4.781591,5.518735
2084,3.5886776682605155,4.993038,5.616084
2085,3.6302373763283984,4.802831,5.571519
2086,3.674905085412909,4.758957,5.830816
2087,3.7170022137558263,4.853477,5.945297
2088,3.754869685442747,4.836384,6.140348
2089,3.79652052247809,4.946079,6.236958
2090,3.8454533793964463,5.277899,6.36808
2091,3.8883860799380425,5.329441,6.22033
2092,3.945003894303694,5.486292,6.320759
2093,3.9961325111305954,5.441431,6.347729
2094,4.0460750643859775,5.689634,6.618485
2095,4.0967872745192615,5.70883,6.791587
2096,4.150632215871937,5.666228,6.83052
2097,4.190951699094467,5.745604,7.018048
2098,4.226080539807343,5.801983,6.968062
2099,4.270389008766735,5.890912,7.183492
2100,4.31241979908946,6.019583,7.363325
2101,4.3641094798398505,6.196673,7.520944
2102,4.411577993382431,6.309914,7.517378
2103,4.460216901403128,6.314322,7.509481
2104,4.5040071035503635,6.504709,7.814741
2105,4.5511965486747314,6.630312,7.754527
2106,4.589539887956996,6.64111,7.885798
2107,4.629223262256404,6.724186,8.039973
2108,4.671697435928822,6.792489,7.973351
2109,4.707404804930306,6.645194,8.089857
2110,4.7462190056991345,6.721221,8.218617
2111,4.77594588603476,7.01179,8.308234
2112,4.817657062366482,6.973224,8.397311
2113,4.857719962181352,6.981232,8.553978
2114,4.892706282391094,7.114336,8.47117
2115,4.942579535428325,7.257908,8.714013
2116,4.9761215547809785,7.181577,8.814299
2117,5.0234542488204745,7.282292,8.695118
2118,5.053836698041858,7.309274,8.898205
2119,5.081046003855958,7.402415,9.019343
2120,5.111420346616944,7.455191,9.086805
2121,5.145216642157468,7.557167,9.281002
2122,5.177644385229858,7.632534,9.264692
2123,5.210439817903417,7.761318,9.239871
2124,5.252335352694382,7.764133,9.169049
2125,5.294188345098916,7.749674,9.476244
2126,5.333389997955792,7.782205,9.607982
2127,5.361821151916355,7.7132,9.725778
2128,5.39408859580083,7.859278,9.752449
2129,5.424929099786181,7.868884,9.75853
2130,5.4579357640557085,8.03884,9.746407
2131,5.478913510911799,8.238693,9.980019
2132,5.511898779737037,8.112248,10.152734
2133,5.539104523766511,8.116805,10.044942
2134,5.572705473351193,8.201884,10.220171
2135,5.604794034205822,8.24862,10.237249
2136,5.641719505308026,8.334416,10.360148
