year,value,sigma,value_lower,value_upper
2006,-11.06644034665612,4.740648616062414,-18.84850281817613,-3.251768871330789
2007,-16.89562925293171,4.420123388612654,-23.90481853848376,-9.362612589948128
2008,-9.371227001490231,4.550464577709744,-17.19598714918671,-2.224958688521653
2009,-7.324730575127892,4.460524994628711,-14.81401971464663,-0.1388924823181696
2010,-2.866128357793531,5.185880786085906,-11.33282716564123,5.728720620581399
2011,-7.194661294395823,4.356111066616444,-14.19403312595497,0.1375722832131316
2012,12.19746486218349,4.903620684581216,4.00572797634679,20.13864002861899
2013,6.37017388457511,5.209232220777073,-2.19572195364762,14.94265205270895
2014,11.86893582837459,5.092748032936861,3.50292367429023,20.2580647026525
2015,17.86952067324538,5.281303332643281,9.216258557015124,26.59174652141152
2016,23.94186226674605,5.216546659913175,15.51055000475864,32.67298851587299
2017,32.35804784268696,6.188790935838406,22.31229180561046,42.67341398451882
2018,35.63571776183575,6.449908366068011,24.99356310268526,46.21376162704902
