year,gmsl_mm,se_mm_indicative
1900,-108.4860772878081,9.626090143867156
1901,-106.28432069119577,9.577290019294898
1902,-102.18050299844963,9.537969044440823
1903,-102.76736384932835,9.5150796527112
1904,-103.12551470729758,9.265937140013182
1905,-102.21935613065278,8.97423075652524
1906,-104.78128918696014,8.942208491304454
1907,-103.41207737230246,8.888656152963584
1908,-103.88789095332515,8.858027939977314
1909,-100.37891266435496,8.667523420607692
1910,-98.42912646982722,8.582001412881013
1911,-96.96662469473239,8.551540038539471
1912,-94.15562424117914,8.525117979564714
1913,-93.91876819180104,8.447436294056097
1914,-91.26531826912885,8.416519472939337
1915,-87.97884700713611,8.352199558144335
1916,-89.06416074489546,8.328012426246163
1917,-92.02469751052759,8.295371625277747
1918,-86.0117203695572,8.270305764774774
1919,-81.61353832017207,8.250003770888402
1920,-81.35054731465011,8.246130763872053
1921,-82.35899839368717,8.214520478495507
1922,-81.11170483790977,8.19067613705371
1923,-82.63306494272545,8.162801751245285
1924,-79.86165375123888,7.984741507404642
1925,-81.12849382730191,7.967516607136578
1926,-81.44177141596835,7.9419157166660295
1927,-82.11227655325459,7.9230665082942675
1928,-79.0391071386418,7.87462518832722
1929,-73.85100764938967,7.860232188550217
1930,-70.95141447732537,7.833717286898328
1931,-66.68444424592336,7.791239693796257
1932,-64.15293928627075,7.73163710456567
1933,-61.637296913849774,7.703539597814936
1934,-64.11640897002401,7.652389644135902
1935,-56.10373238508078,7.578519316335536
1936,-52.56314515361035,7.564502475834777
1937,-48.64450358525297,7.537230590392729
1938,-48.10373519293727,7.525857966573339
1939,-48.226224231404146,7.495263565070191
1940,-43.95368096057795,7.469993970679956
1941,-43.86460537979671,7.450994774363516
1942,-44.794471544295654,7.441618768469812
1943,-41.05777979194987,7.387802015370418
1944,-38.508095120939004,7.366969860036278
1945,-39.74802863902603,7.356067129964651
1946,-36.37132366815151,7.320782346744715
1947,-36.33943516429201,7.288143155804561
1948,-32.063978176621795,7.256417533976081
1949,-27.05736266722153,7.14815857772412
1950,-28.964947243719656,7.109430665447691
1951,-24.057659169985318,7.081339723752443
1952,-21.35685064263898,7.04761948167949
1953,-22.459302233486405,6.9492056891500695
1954,-20.386305570516768,6.9307700839034165
1955,-23.83121822172659,6.884450156317269
1956,-25.698273028800653,6.859440613555958
1957,-20.18178695263206,6.71619924223628
1958,-20.083569741064196,6.673493629070016
1959,-18.834718131216835,6.595646591191787
1960,-18.505171578574117,6.5467438066703725
1961,-17.439215053108644,6.488887754931946
1962,-15.94613317311409,6.260637576569273
1963,-17.037299663844774,6.127894982423184
1964,-13.845999747054682,6.036108694600677
1965,-11.561733376704943,5.878371572305146
1966,-11.957531175744023,5.790001095934872
1967,-14.805878926663981,5.7141641166416015
1968,-14.511118045953124,5.599026772181581
1969,-9.66971436104901,5.5720405466838905
1970,-11.239880214578822,5.4391877003633535
1971,-10.845915814692557,5.323089165154031
1972,-8.220295171116494,5.241609782475695
1973,-10.735128809441628,5.126263217842764
1974,-12.722327871839793,5.0535931959045
1975,-12.122081398652215,4.998936476385864
1976,-8.743228671208485,4.922715823280917
1977,-6.74873816578067,4.861271082768929
1978,-10.628300175544627,4.7600712891413135
1979,-7.313226325059611,4.592483489843678
1980,-2.824783463854956,4.540287963029259
1981,-5.037750896038276,4.514555987485128
1982,-1.7632982885701982,4.463018825775779
1983,0.5731240907783165,4.361296419382373
1984,2.204681056093869,4.293780119196538
1985,1.9030165044381966,4.203445623745411
1986,2.1600472734293,4.119013401950059
1987,8.251900619768689,4.0762031767818225
1988,7.234167438969283,3.9845617269439026
1989,5.605490585823309,3.857025452662957
1990,9.095957277131827,3.7964107188322824
1991,13.328579407528988,3.7102861119057104
1992,17.266878889646716,3.5825896666624226
1993,17.458324798953523,3.387898879210719
1994,19.136258872973556,3.2348199099888344
1995,20.321794512063118,3.1811066033592637
1996,21.01777693480768,2.947295917077019
1997,22.74438921352268,2.268138761165076
1998,23.18387720965813,2.2021155944178226
1999,24.186078869305046,2.1564408322090722
2000,27.999480643441913,2.013155167175977
2001,33.40425256604786,1.771502401828086
2002,37.79186463937282,1.664995391360282
2003,40.44233004933878,1.3162324591214267
2004,43.02853006454982,1.2732986426901567
2005,45.70384856029079,1.246802497500778
2006,47.57573028882678,1.1939009801126066
2007,48.59787737024393,1.170839356091294
2008,50.01025079324989,1.1261133735857822
2009,55.044621787365294,1.0912688304111013
2010,55.94695440689452,1.0484510900674058
2011,57.321800520086164,0.9924171363935876
2012,67.0581808624885,0.9635398347842556
2013,70.44932185822286,0.9100188458527217
2014,73.75351734806895,0.8534052149832638
2015,82.53837279318465,0.808202466628456
2016,87.79721564512084,0.7484152694764806
2017,88.25127144378949,0.6675114996427544
2018,90.54311165474176,0.61008345459044
2019,98.35729329814598,0.49810507953664246
2020,99.9285714305553,0.419094094659024
2021,100.54450870278814,0.2963442762886327
