column,config,selector
gmst_tant12p0_spliced,cfg_254606,MEDIAN integral within +-1.25 degC of the endpoint target
gmst_tant14p5_spliced,cfg_1542812,MEDIAN integral within +-1.25 degC of the endpoint target
