year,gmst_control_spliced,gmst_pathA_spliced,gmst_pathB_spliced
1750,0.0364782155706208,0.0364782155706208,0.0364782155706208
1751,0.0686304301755447,0.0686304301755447,0.0686304301755447
1752,0.0842846075957095,0.0842846075957095,0.0842846075957095
1753,0.0907278361241409,0.0907278361241409,0.0907278361241409
1754,0.0941398498877737,0.0941398498877737,0.0941398498877737
1755,0.0583718652643096,0.0583718652643096,0.0583718652643096
1756,0.038955928229621,0.038955928229621,0.038955928229621
1757,0.0424012494814686,0.0424012494814686,0.0424012494814686
1758,0.0494603861171535,0.0494603861171535,0.0494603861171535
1759,0.0641067493322892,0.0641067493322892,0.0641067493322892
1760,0.0739744491833023,0.0739744491833023,0.0739744491833023
1761,0.0893176471056989,0.0893176471056989,0.0893176471056989
1762,0.0918556924319298,0.0918556924319298,0.0918556924319298
1763,-0.0019163404669566,-0.0019163404669566,-0.0019163404669566
1764,-0.0310909661072616,-0.0310909661072616,-0.0310909661072616
1765,-0.0128439690587704,-0.0128439690587704,-0.0128439690587704
1766,0.0101965424506158,0.0101965424506158,0.0101965424506158
1767,0.0215824653672407,0.0215824653672407,0.0215824653672407
1768,-0.0114848383985995,-0.0114848383985995,-0.0114848383985995
1769,-0.015521897863556,-0.015521897863556,-0.015521897863556
1770,0.0090385449931195,0.0090385449931195,0.0090385449931195
1771,0.0372338241333157,0.0372338241333157,0.0372338241333157
1772,0.0594945819268857,0.0594945819268857,0.0594945819268857
1773,0.0695628746160654,0.0695628746160654,0.0695628746160654
1774,0.0708262656344257,0.0708262656344257,0.0708262656344257
1775,0.0631062465531136,0.0631062465531136,0.0631062465531136
1776,0.0556253835605417,0.0556253835605417,0.0556253835605417
1777,0.0510990362793478,0.0510990362793478,0.0510990362793478
1778,0.0472644137640098,0.0472644137640098,0.0472644137640098
1779,0.0492738252769918,0.0492738252769918,0.0492738252769918
1780,0.0616553419954563,0.0616553419954563,0.0616553419954563
1781,0.0709235558694582,0.0709235558694582,0.0709235558694582
1782,0.0761708294559615,0.0761708294559615,0.0761708294559615
1783,0.087554174628604,0.087554174628604,0.087554174628604
1784,-0.1010837998606442,-0.1010837998606442,-0.1010837998606442
1785,-0.1708421509388358,-0.1708421509388358,-0.1708421509388358
1786,-0.123064312067418,-0.123064312067418,-0.123064312067418
1787,-0.0740666067252192,-0.0740666067252192,-0.0740666067252192
1788,-0.0416814838015145,-0.0416814838015145,-0.0416814838015145
1789,-0.0148628726448937,-0.0148628726448937,-0.0148628726448937
1790,0.0205512923104893,0.0205512923104893,0.0205512923104893
1791,0.038161827931711,0.038161827931711,0.038161827931711
1792,0.052639986575123,0.052639986575123,0.052639986575123
1793,0.0597512683335144,0.0597512683335144,0.0597512683335144
1794,0.0647297377366639,0.0647297377366639,0.0647297377366639
1795,0.0572498713967105,0.0572498713967105,0.0572498713967105
1796,0.0342128393291728,0.0342128393291728,0.0342128393291728
1797,0.0293200603194174,0.0293200603194174,0.0293200603194174
1798,0.0249024044788069,0.0249024044788069,0.0249024044788069
1799,0.0228532766032495,0.0228532766032495,0.0228532766032495
1800,0.0223816391071625,0.0223816391071625,0.0223816391071625
1801,0.0252133904074503,0.0252133904074503,0.0252133904074503
1802,0.0379081853811463,0.0379081853811463,0.0379081853811463
