year,value,sigma
1850,-0.43566666666666665,0.17
1851,-0.32075000000000004,0.259
1852,-0.29225,0.249
1853,-0.29450000000000004,0.196
1854,-0.2833333333333333,0.13
1855,-0.27825,0.12
1856,-0.39633333333333337,0.163
1857,-0.5378333333333333,0.167
1858,-0.33416666666666667,0.128
1859,-0.22224999999999998,0.105
1860,-0.3780833333333333,0.131
1861,-0.4555,0.13
1862,-0.5539999999999999,0.143
1863,-0.31275000000000003,0.16
1864,-0.34525,0.15
1865,-0.25133333333333335,0.164
1866,-0.211,0.176
1867,-0.16641666666666668,0.152
1868,-0.21050000000000002,0.139
1869,-0.21775,0.117
1870,-0.28775,0.121
1871,-0.32125,0.118
1872,-0.28475,0.1
1873,-0.2539166666666667,0.099
1874,-0.3015833333333333,0.096
1875,-0.34625,0.096
1876,-0.3495,0.092
1877,0.028083333333333335,0.093
1878,0.11908333333333332,0.096
1879,-0.23316666666666666,0.086
1880,-0.29916666666666664,0.1
1881,-0.18316666666666667,0.087
1882,-0.2508333333333333,0.088
1883,-0.3045,0.082
1884,-0.47150000000000003,0.078
1885,-0.43975000000000003,0.088
1886,-0.4644166666666667,0.083
1887,-0.5007499999999999,0.077
1888,-0.29433333333333334,0.077
1889,-0.1725833333333333,0.079
1890,-0.4615,0.078
1891,-0.345,0.083
1892,-0.40599999999999997,0.082
1893,-0.38083333333333336,0.078
1894,-0.37483333333333335,0.082
1895,-0.31433333333333335,0.089
1896,-0.22524999999999998,0.087
1897,-0.20950000000000002,0.089
1898,-0.41183333333333333,0.092
1899,-0.24183333333333334,0.09
1900,-0.13458333333333333,0.093
1901,-0.21150000000000002,0.084
1902,-0.3719166666666667,0.086
1903,-0.47141666666666665,0.092
1904,-0.5265833333333333,0.09
1905,-0.34391666666666665,0.089
1906,-0.2614166666666667,0.09
1907,-0.43166666666666664,0.087
1908,-0.45125,0.08
1909,-0.5135,0.078
1910,-0.4730833333333333,0.073
1911,-0.48333333333333334,0.07
1912,-0.4078333333333333,0.072
1913,-0.3801666666666667,0.069
1914,-0.19516666666666668,0.071
1915,-0.14116666666666666,0.078
1916,-0.37675,0.081
1917,-0.5245833333333333,0.091
1918,-0.3595833333333333,0.086
1919,-0.29491666666666666,0.087
1920,-0.24050000000000002,0.085
1921,-0.18508333333333335,0.085
1922,-0.27116666666666667,0.08
1923,-0.23641666666666664,0.08
1924,-0.24725,0.082
1925,-0.2021666666666667,0.081
1926,-0.06758333333333334,0.079
1927,-0.18383333333333332,0.079
1928,-0.17508333333333334,0.08
1929,-0.35908333333333337,0.079
1930,-0.12916666666666668,0.084
1931,-0.06799999999999999,0.083
1932,-0.10841666666666666,0.08
1933,-0.30316666666666664,0.078
1934,-0.15425,0.079
1935,-0.21533333333333335,0.078
1936,-0.147,0.074
1937,0.010083333333333331,0.081
1938,0.017,0.076
1939,-0.0036666666666666653,0.081
1940,0.0775,0.092
1941,0.03375,0.189
1942,0.04408333333333333,0.191
1943,0.09866666666666668,0.19
1944,0.20199999999999999,0.191
1945,0.07358333333333333,0.189
1946,-0.072,0.128
1947,-0.0032500000000000016,0.123
1948,-0.09683333333333333,0.118
1949,-0.10616666666666667,0.097
1950,-0.17033333333333334,0.082
1951,0.009333333333333332,0.071
1952,0.08166666666666667,0.075
1953,0.15558333333333332,0.079
1954,-0.04083333333333333,0.074
1955,-0.09325,0.071
1956,-0.17866666666666667,0.066
1957,0.050749999999999997,0.064
1958,0.05525,0.062
1959,0.03891666666666666,0.061
1960,-0.01891666666666667,0.055
1961,0.0545,0.047
1962,-0.001333333333333333,0.045
1963,0.042583333333333334,0.051
1964,-0.22024999999999997,0.044
1965,-0.10175000000000001,0.044
1966,-0.03916666666666666,0.045
1967,-0.009250000000000003,0.039
1968,-0.08516666666666667,0.037
1969,0.06183333333333333,0.034
1970,0.01525,0.029
1971,-0.10208333333333335,0.028
1972,0.00708333333333333,0.029
1973,0.142,0.03
1974,-0.06308333333333334,0.035
1975,0.003666666666666663,0.033
1976,-0.09216666666666666,0.037
1977,0.2384166666666667,0.032
1978,0.11258333333333333,0.031
1979,0.18699999999999997,0.031
1980,0.3085833333333333,0.026
1981,0.35933333333333334,0.027
1982,0.14291666666666666,0.033
1983,0.3229166666666667,0.035
1984,0.15708333333333332,0.031
1985,0.15316666666666667,0.029
1986,0.20941666666666667,0.029
1987,0.34874999999999995,0.03
1988,0.39116666666666666,0.029
1989,0.27666666666666667,0.031
1990,0.46458333333333335,0.03
1991,0.45341666666666663,0.029
1992,0.24508333333333332,0.031
1993,0.3016666666666667,0.031
1994,0.3505833333333333,0.03
1995,0.5085000000000001,0.03
1996,0.39666666666666667,0.028
1997,0.5374166666666667,0.03
1998,0.6865833333333334,0.03
1999,0.44508333333333333,0.03
2000,0.44508333333333333,0.029
2001,0.5794166666666667,0.029
2002,0.6725,0.029
2003,0.65475,0.027
2004,0.56775,0.027
2005,0.7324166666666666,0.027
2006,0.6823333333333333,0.026
2007,0.6971666666666666,0.027
2008,0.5693333333333334,0.032
2009,0.7061666666666667,0.035
2010,0.7766666666666667,0.031
2011,0.6680833333333333,0.03
2012,0.6876666666666668,0.03
2013,0.7053333333333334,0.028
2014,0.7785833333333333,0.03
2015,0.923,0.027
2016,1.0585,0.027
2017,0.9618333333333333,0.026
2018,0.8878333333333334,0.028
2019,1.024,0.031
2020,1.0490833333333334,0.032
2021,0.89475,0.03
2022,0.9362499999999999,0.031
2023,1.22875,0.031
2024,1.3105833333333334,0.032
