model,dT_summer_K,gmt_K,loss_m_sle,loss_frac_of_volume,drift_over_window_m
Yelmo-REMBO,0.0,0.5,0.09032754,0.012173522,0.0
Yelmo-REMBO,0.5,0.9201680672268908,0.15860091,0.021374786,0.0
Yelmo-REMBO,1.0,1.3403361344537816,0.34386522,0.04634302,0.0
Yelmo-REMBO,1.1,1.42436974789916,0.37813175,0.05096115,0.0
Yelmo-REMBO,1.2,1.5084033613445378,0.41321746,0.055689685,0.0
Yelmo-REMBO,1.3,1.592436974789916,0.5325943,0.07177821,0.0
Yelmo-REMBO,1.4,1.6764705882352942,0.76267755,0.10278673,0.0
Yelmo-REMBO,1.5,1.7605042016806722,4.9032636,0.6608172,0.0
Yelmo-REMBO,2.0,2.1806722689075633,6.052798,0.81574094,0.0
Yelmo-REMBO,2.5,2.600840336134454,6.4137626,0.86438847,0.0
Yelmo-REMBO,3.0,3.0210084033613445,6.5967393,0.8890484,0.0
Yelmo-REMBO,4.0,3.861344537815126,7.0499797,0.950132,0.0
Yelmo-REMBO,5.0,4.701680672268908,7.304161,0.9843883,0.0
Yelmo-REMBO,7.0,6.382352941176471,7.4157577,0.9994283,0.0
Yelmo-REMBO,7.5,6.802521008403362,7.42,1.0,0.0
