column,config,vintage,integral_degC_century,T_ant_2100,T_ant_2150,T_ant_2300
gmst_pathA_spliced,cfg_369757,v145,22.4105,5.0716,8.3446,13.5902
gmst_pathB_spliced,cfg_576378,v145,24.9581,6.272,9.7526,13.749
