year,gmst_p05,gmst_p25,gmst_p50,gmst_p75,gmst_p95,gmst_11yr_p05,gmst_11yr_p25,gmst_11yr_p50,gmst_11yr_p75,gmst_11yr_p95,gmst_mean,gmst_max,gmst_11yr_max
1850,-0.118854,-0.018971,0.043529,0.112282,0.226461,,,,,,0.04676024970273481,0.372319,
1851,-0.101387,0.004986,0.069615,0.137576,0.245935,,,,,,0.07121154577883466,0.533182,
1852,-0.097183,0.013894,0.083726,0.146353,0.258368,,,,,,0.0814241177170036,0.420439,
1853,-0.07963,0.028347,0.093235,0.160943,0.270288,,,,,,0.09318726991676571,0.457128,
1854,-0.111066,-0.001735,0.064857,0.132054,0.229432,,,,,,0.0665064304399524,0.43974,
1855,-0.164393,-0.050773,0.01499,0.081137,0.181492,-0.04732445454545454,-0.0010301818181818177,0.028725636363636366,0.06513354545454544,0.11929227272727272,0.014571756242568366,0.402444,0.23671327272727272
1856,-0.134109,-0.034736,0.031048,0.104343,0.210779,-0.049270454545454534,-0.0005376363636363638,0.030465454545454542,0.06395681818181818,0.11672236363636362,0.034851831153388774,0.380574,0.2349300909090909
1857,-0.111521,-0.015719,0.050379,0.118649,0.237002,-0.04704218181818182,-0.000711454545454548,0.030449,0.06415445454545454,0.11778636363636362,0.053373489892984474,0.390871,0.22297427272727272
1858,-0.21626,-0.118033,-0.055559,0.00934,0.09695,-0.06066027272727272,-0.016906454545454547,0.012647818181818177,0.04628145454545454,0.09987027272727272,-0.05562525683709866,0.420741,0.20149490909090909
1859,-0.223214,-0.127113,-0.057756,0.007405,0.110948,-0.08887009090909091,-0.04075881818181818,-0.013975909090909094,0.020207454545454542,0.07483845454545454,-0.05931158145065399,0.317624,0.18461454545454548
1860,-0.162702,-0.054934,0.004655,0.068312,0.172565,-0.104297,-0.05631045454545454,-0.02765418181818182,0.006650818181818185,0.05693445454545454,0.004673491082045182,0.331573,0.15515745454545454
1861,-0.124058,-0.016041,0.044899,0.112798,0.213696,-0.105842,-0.06004190909090909,-0.02951509090909091,0.00471209090909091,0.05302909090909091,0.04796469084423306,0.416403,0.13766054545454545
1862,-0.111434,0.007118,0.069545,0.131913,0.249901,-0.107958,-0.06070681818181818,-0.029716636363636365,0.0018834545454545467,0.05059263636363636,0.07039821878715814,0.435042,0.1288190909090909
1863,-0.278532,-0.168347,-0.099793,-0.026073,0.08137,-0.10709318181818182,-0.060547272727272734,-0.032210545454545464,0.001458363636363636,0.04511472727272728,-0.09790483590963148,0.314911,0.11066809090909091
1864,-0.380142,-0.25895,-0.184547,-0.114219,-0.009025,-0.09711045454545454,-0.052333818181818176,-0.01984454545454546,0.009688636363636366,0.05455454545454545,-0.18857804280618307,0.202444,0.1234117272727273
1865,-0.273801,-0.168336,-0.09916,-0.034719,0.084063,-0.09066581818181818,-0.040733000000000005,-0.009278090909090911,0.017821454545454543,0.06383390909090908,-0.10052802972651612,0.243429,0.14466281818181817
1866,-0.199976,-0.09194,-0.023004,0.044807,0.142537,-0.08656881818181818,-0.03564627272727273,-0.005136090909090909,0.025092545454545447,0.06842245454545455,-0.024987198573127256,0.316658,0.14370072727272729
1867,-0.138539,-0.041998,0.021072,0.087159,0.179341,-0.08021127272727271,-0.03094718181818182,-0.0020058181818181863,0.027715454545454547,0.07234872727272727,0.020365734839476828,0.353535,0.16320472727272728
1868,-0.126037,-0.025901,0.036875,0.101848,0.205657,-0.08549263636363637,-0.036232909090909086,-0.008191,0.021826545454545456,0.0660189090909091,0.03849128537455408,0.411113,0.1501590909090909
1869,-0.109921,-0.011213,0.057979,0.124975,0.232739,-0.07806136363636364,-0.03355009090909091,-0.0019582727272727304,0.025947636363636364,0.068387,0.05780449702734838,0.412855,0.144979
1870,-0.122015,-0.023921,0.042753,0.107984,0.204617,-0.05975327272727272,-0.016576181818181816,0.013770545454545457,0.04301854545454545,0.08285918181818182,0.0429538156956005,0.445508,0.1501929090909091
1871,-0.106992,0.007876,0.068469,0.128194,0.232171,-0.05207899999999999,-0.005310454545454546,0.023587545454545458,0.05380390909090909,0.09903290909090909,0.06809728180737219,0.520141,0.16931363636363633
1872,-0.07732,0.024192,0.088008,0.152115,0.256665,-0.043838909090909074,0.0006848181818181816,0.030538818181818184,0.05771863636363637,0.1066029090909091,0.0878709060642094,0.50283,0.19414527272727272
1873,-0.157296,-0.049374,0.012612,0.073428,0.16637,-0.041912,0.004955909090909092,0.033285,0.06269627272727273,0.11145436363636364,0.011733677764566007,0.369031,0.20401863636363637
