column,config,vintage,integral_degC_century,T_ant_2100,T_ant_2150,T_ant_2300
gmst_pathA_spliced,cfg_224438,v160,25.7183,6.8311,10.1582,13.4008
gmst_pathB_spliced,cfg_1051619,v160,22.42,5.0874,8.3558,13.2511
