year,ais,ais_lo,ais_hi,gsic,gsic_lo,gsic_hi,gis,gis_lo,gis_hi,steric,steric_lo,steric_hi,lws,lws_lo,lws_hi,dang,dang_sig,dang_lo,dang_hi,dang_closure_sig
1917,-0.5418106946078214,-1.0688670094239732,-0.014754379791669603,-5.776659354296598,-7.1080138333551295,-4.445304875238066,-3.4816617792302904,-3.9848222302573726,-2.9785013282032082,-4.251692819595336,-5.178764650139198,-3.324620989051474,1.5978003539822314,0.7209273162636524,2.4746733917008106,-12.29178087162002,2.2208111545573908,-15.945015220866928,-8.638546522373112,1.9982054716210005
1918,-0.5363208684054288,-1.056731747207647,-0.015909989603210772,-5.671779212084684,-6.98323857596114,-4.360319848208228,-3.470746785944159,-3.966124228378812,-2.9753693435095063,-4.2542582035064695,-5.201653479063797,-3.306862927949142,1.8240431823513723,0.9472602771761643,2.7008260875265804,-11.69048315752298,2.208656870550042,-15.323723709577799,-8.057242605468161,1.9833794928249235
1919,-0.5308707150545988,-1.0445761718686573,-0.017165258240540493,-5.585030707446012,-6.8827384760682255,-4.287322938823798,-3.454160482233221,-3.9438240869906878,-2.964496877475754,-4.2755896091461185,-5.208213943498248,-3.342965274793989,2.0032219924710013,1.12768513973239,2.878758845209613,-11.250664952584467,2.196724271158615,-14.864276378640389,-7.637053526528545,1.9903496784801602
1920,-0.5255169781771574,-1.0324553639525378,-0.01857859240177695,-5.532799491015348,-6.822618153031211,-4.242980828999485,-3.4362096613103685,-3.921707368736638,-2.950711953884099,-4.26266884803772,-5.1673461724015635,-3.357991523673876,1.9461527862332084,1.0646305223788621,2.8276750500875547,-11.224365852032271,2.1858703420860675,-14.820122564763853,-7.62860913930069,1.94498451142004
1921,-0.5200888547030362,-1.0202881358299227,-0.019889573576149733,-5.471430548754606,-6.752803476552055,-4.190057620957157,-3.420304281061346,-3.902991764066438,-2.9376167980562538,-4.285170221328736,-5.0614305892557265,-3.5089098534017453,1.9045910873196343,1.0312002494321502,2.7779819252071185,-11.325210959935976,2.173210513841959,-14.900142255206,-7.750279664665953,1.9275533906900453
1922,-0.5146193417635831,-1.0080265097475478,-0.02121217377961848,-5.397064169970426,-6.667739853580722,-4.1263884863601294,-3.4399301355535346,-3.917309004949895,-2.962551266157174,-4.291196298599244,-5.051935594404342,-3.5304570027941464,1.8647858657620173,0.9929746810345058,2.7365970504895287,-11.200481604358236,2.161515884138626,-14.756175233766276,-7.644787974950196,1.901996664373749
1923,-0.5092426213351164,-0.9959356236999034,-0.022549618970329477,-5.277970084277067,-6.530828861636752,-4.025111306917382,-3.4075719659978687,-3.8802150279490975,-2.93492890404664,-4.334321069717407,-5.067510897455238,-3.601131241979576,1.6636911430142145,0.797125754890687,2.530256531137742,-11.352617614839804,2.1492466469374962,-14.888128349051986,-7.817106880627623,1.977238645819931
1924,-0.5037558468905363,-0.9836119836903021,-0.023899710090770465,-5.183896597948942,-6.422246704314883,-3.9455464915830007,-3.348880941217596,-3.8165993279941786,-2.8811625544410138,-4.327344751358032,-5.14289134128583,-3.5117981614302334,1.7641135253689504,0.8934276625608247,2.634799388177076,-11.075476495691147,2.1304540934636096,-14.580073479438784,-7.5708795119435095,1.853685665561876
1925,-0.4983725461092862,-0.9716260837398334,-0.02511900847873899,-5.090534934130583,-6.314901991408796,-3.8661678768523693,-3.3296964471990402,-3.79177892334851,-2.8676139710495705,-4.261248254776,-5.077203481672556,-3.445293027879445,1.7734913863918995,0.9072853630434516,2.6396974097403474,-11.202160503297451,2.1181607375383407,-14.686534916548021,-7.71778609004688,1.8635433527064553
1926,-0.49286192980679605,-0.9594450007143798,-0.026278858899212332,-4.98425517949191,-6.1912324945755515,-3.7772778644082696,-3.227677327936346,-3.682316857241586,-2.773037798631106,-4.176789331436157,-4.9644865284598705,-3.3890921344124436,1.6941058196804744,0.8255518982377378,2.562659741123211,-11.233488262164094,2.1055222214627127,-14.697072316470257,-7.769904207857932,1.8263404232155265
1927,-0.4874995144930753,-0.9473731621327217,-0.027625866853428993,-4.8710231390866365,-6.059862877282734,-3.682183400890539,-3.1523057764226743,-3.5985072710609205,-2.706104281784428,-4.124979639053345,-4.9075485990052465,-3.3424106791014436,1.5948192634365774,0.7276349841077019,2.462003542765453,-11.300538775892718,2.093760362964563,-14.744774572969424,-7.856302978816013,1.7827029569721649
1928,-0.48211411562832923,-0.9352883851570222,-0.028939846099636346,-4.768762549487027,-5.938209029005732,-3.5993160699683227,-3.0399404352361508,-3.4781699622402478,-2.6017109082320538,-4.053016519546508,-4.843694385542423,-3.262338653550594,1.7573971786282283,0.895528702511573,2.6192656547448836,-10.99322183443144,2.082029855507013,-14.418160946740477,-7.568282722122403,1.8078290568309883
1929,-0.47669376459988694,-0.9232556876001066,-0.030131841599667364,-4.671262320605192,-5.820815387190524,-3.52170925401986,-2.9371179407293146,-3.3692632804219746,-2.5049726010366546,-4.0196997165679935,-4.778449479188467,-3.2609499539475197,1.8360560455105523,0.9783051176941857,2.693806973326919,-10.474411885506226,2.070354402692162,-13.880144877934832,-7.06867889307762,1.767439454899978
1930,-0.4712276372042569,-0.9109451724944508,-0.031510101914063005,-4.575126990404996,-5.712143086859996,-3.438110893949997,-2.8757768457586117,-3.3025826511375853,-2.448971040379638,-3.9823153018951416,-4.728357612410759,-3.2362729913795234,1.9517560043118214,1.0955148445011513,2.8079971641224915,-10.184452568299797,2.0585366854199445,-13.570745415815605,-6.798159720783988,1.7373959777720687
1931,-0.4658552559939298,-0.8989674908231022,-0.0327430211647573,-4.443500861254606,-5.565220007790218,-3.321781714718993,-2.6913759058172047,-3.1121236238223435,-2.2706281878120658,-3.9497736454010006,-4.705022949933667,-3.194524340868334,1.9495387115261775,1.089883096632538,2.809194326419817,-9.757755545159595,2.0445899665278535,-13.121106040097914,-6.394405050221276,1.7048656177987331
1932,-0.4603271397677335,-0.8868201408054139,-0.033834138730052976,-4.350369605151089,-5.456662374203685,-3.2440768360984933,-2.5936906641179864,-3.009800280944099,-2.177581047291874,-3.9116777896881105,-4.671496149969845,-3.151859429406376,1.9339200057766655,1.0781782671406606,2.7896617444126703,-9.504605049194335,2.0317992428899876,-12.846914803748366,-6.162295294640305,1.709775478677091
