year,tas_global,tas_R19,tas_SLOWP,tas_FAST,tas_AGG,member,scenario
1850,287.15585206304854,267.7996256790209,257.9879101015714,276.4887194696102,268.60313228235873,r1i1p1f1,historical
1851,287.1752061280845,267.98174062456127,258.6839590325832,276.50351295109033,268.8765977756077,r1i1p1f1,historical
1852,287.0700395580131,268.0525953658201,257.6409542007158,276.16392115923793,268.39103935386373,r1i1p1f1,historical
1853,287.04103409614123,267.94019560014084,258.12246995706226,276.0972146658195,268.4950398898371,r1i1p1f1,historical
1854,287.30495895722385,267.91167378096065,258.4841719777957,276.88353532193565,268.97256864960684,r1i1p1f1,historical
1855,287.3011538387319,267.94221884284855,258.00027389119015,276.28375380343556,268.54178067365984,r1i1p1f1,historical
1856,286.9500321886686,267.63658818412756,257.0959517495736,276.31354810346704,268.1948784871508,r1i1p1f1,historical
1857,286.9227410181994,267.71432493323965,257.0837953552648,276.0797409889668,268.09862636064145,r1i1p1f1,historical
1858,286.9179732101632,267.46154743932453,257.25646245362833,276.1049576572628,268.11457619503557,r1i1p1f1,historical
1859,286.94503589250695,267.32054865937465,258.02777300275017,276.20433228969586,268.3848912356812,r1i1p1f1,historical
1860,287.0187257414122,267.69958313799776,258.6055432052551,276.22499034580323,268.66309384426205,r1i1p1f1,historical
1861,286.9129560402088,267.73639497616387,257.1735776091107,275.9627310261341,268.0784709470432,r1i1p1f1,historical
1862,286.93430122566105,267.6632142785531,257.06080007643664,275.5638152235275,267.841253868314,r1i1p1f1,historical
1863,287.02396042579215,267.8346404339428,257.8727229475227,275.6677480363317,268.19191427062015,r1i1p1f1,historical
1864,287.17071337599947,267.77388069991713,258.8633712996995,276.3751473629756,268.83288734165274,r1i1p1f1,historical
1865,287.2295635740172,267.7435786313156,258.77412446165977,276.5747167307664,268.88978632941223,r1i1p1f1,historical
1866,287.40246883314006,267.8438080360797,259.50972825110233,276.85841046932035,269.2839183117369,r1i1p1f1,historical
1867,287.3617761508381,268.07572865329763,258.8158214722206,277.4580842588465,269.38202874916624,r1i1p1f1,historical
1868,287.01078244693446,267.7770043601316,257.70566829186805,276.51202747572444,268.5164700188393,r1i1p1f1,historical
1869,286.98414694600194,268.05020691426165,257.4858022436677,275.67152376228046,268.1112549077962,r1i1p1f1,historical
1870,286.9176788196154,267.7872708628386,257.23521938145853,276.0691873427414,268.15865436117804,r1i1p1f1,historical
1871,287.03600562789893,267.95289673699847,256.81593689913956,275.87057002343914,267.96315059266055,r1i1p1f1,historical
1872,287.0810199178599,267.9605541638305,257.5670782123018,276.59621429694903,268.54806707863844,r1i1p1f1,historical
1873,287.0702934028377,268.1276171324541,258.3520816172307,276.1282794951927,268.6238370251546,r1i1p1f1,historical
1874,287.33445394830557,267.8675317236347,258.1940527136839,276.4627786760512,268.6729652236434,r1i1p1f1,historical
1875,287.22470767472197,268.0935888617297,257.5267132990294,276.53386267438395,268.53351932090226,r1i1p1f1,historical
1876,287.0587082731902,267.98921281554266,258.8903098251107,276.6848627404444,269.0300550382165,r1i1p1f1,historical
1877,287.29474293207664,267.9693970149867,257.29507786569644,276.7439703378698,268.52900353764494,r1i1p1f1,historical
1878,287.1223883499825,268.0279343151254,257.05796016695683,276.7503487964114,268.4661788193072,r1i1p1f1,historical
1879,287.00143526384943,267.768548205058,257.4581157535505,276.1864771803846,268.282409751169,r1i1p1f1,historical
1880,287.0178018109181,267.83281267933376,256.7389793266345,275.5265918008461,267.7534373850283,r1i1p1f1,historical
1881,287.32887572232664,267.9366610357046,258.02385728067065,276.33844919014496,268.57373665933784,r1i1p1f1,historical
1882,287.19987424478086,267.89344355952903,257.61739781947915,276.522208687208,268.5163581319423,r1i1p1f1,historical
1883,286.87617706554846,267.8388380271469,257.2146227067101,275.5018806792691,267.89957213918376,r1i1p1f1,historical
1884,286.5818686548276,267.6805233377166,256.9212538118132,274.9610274788404,267.5195090941773,r1i1p1f1,historical
1885,286.5495467788292,267.4389907473546,256.75158790002547,275.3702952301234,267.6033303682015,r1i1p1f1,historical
1886,286.82345803274893,267.7390398647779,257.83544269742436,275.94381633038006,268.2878007056902,r1i1p1f1,historical
1887,286.91094427773817,267.75191886236945,255.77349927340677,276.3516395057328,267.8018103619925,r1i1p1f1,historical
1888,287.0406633908634,267.71765276036206,257.756169262674,276.4607201568811,268.4969556954304,r1i1p1f1,historical
1889,287.0548832552116,267.93726706781786,256.8253422753417,276.5558578942241,268.2807175273987,r1i1p1f1,historical
1890,286.8712817000847,267.94892812742887,257.084596990962,276.0992595090288,268.1566606596746,r1i1p1f1,historical
1891,286.8438847771566,267.78986781076327,256.8841170200862,275.90042028853725,267.96554325148315,r1i1p1f1,historical
1892,286.9737993979933,267.9318881432997,257.32717928779124,276.07078297463875,268.2196541615988,r1i1p1f1,historical
1893,286.8544895693097,268.04076889687485,257.46201682082705,275.57604036652856,268.0572076211097,r1i1p1f1,historical
1894,286.9829728338017,267.6588494237386,258.04171297383243,276.3706515236115,268.53684097992465,r1i1p1f1,historical
1895,286.9206990056954,267.8917962800923,256.67281778119025,275.5676071416631,267.7629560841438,r1i1p1f1,historical
1896,287.00090169265235,267.871486552225,256.79318132637934,276.4716234535285,268.2174316738082,r1i1p1f1,historical
