year,tas_global,tas_R19,tas_SLOWP,tas_FAST,tas_AGG,member,scenario
1850,286.6197069412744,265.66212836971147,257.91327491882845,274.50209037250943,267.21362913005316,r1i1p2f1,historical
1851,286.547605331634,265.5278665008165,257.29818770788245,274.22175633588,266.85359996245154,r1i1p2f1,historical
1852,286.59101485907814,265.43046192923197,257.28874185387986,274.1857873196911,266.8135902286587,r1i1p2f1,historical
1853,286.55535954054164,265.5627454805655,256.6879163240315,274.28234981388476,266.68834506940607,r1i1p2f1,historical
1854,286.5338070994328,265.14765334858146,257.69672784743074,274.1455476808209,266.8703031990439,r1i1p2f1,historical
1855,286.6809613883902,265.3570467084868,257.36896901037613,274.03314871310397,266.7539455751044,r1i1p2f1,historical
1856,286.7233151049098,265.69104971305484,258.73787703790805,274.4268602090608,267.45579662417106,r1i1p2f1,historical
1857,286.57910760412494,265.63917435102417,258.04405943785304,273.9680552905002,267.0042542610928,r1i1p2f1,historical
1858,286.4946201904891,265.3986235035831,257.9152380159708,273.79363653858786,266.83108896550226,r1i1p2f1,historical
1859,286.6656600569084,265.5049893371025,258.4204016481645,274.3004417431207,267.25419304536763,r1i1p2f1,historical
1860,286.55634926202447,264.9698908840728,259.4822850453345,274.3576896234456,267.5186408745785,r1i1p2f1,historical
1861,286.4420519811558,265.4682319837236,257.82986206593097,273.8334811165749,266.8359557652679,r1i1p2f1,historical
1862,286.4396028697495,265.1013383196804,258.6055829987784,273.910304751617,267.05035220889204,r1i1p2f1,historical
1863,286.59324247719445,265.1463041805973,257.2595097562936,273.98042841548124,266.6497582337119,r1i1p2f1,historical
1864,286.5474843818861,265.40539954496734,257.8090684276134,274.0637433866902,266.92282923169415,r1i1p2f1,historical
1865,286.48980031587996,265.23762872468217,258.1650758176034,273.77002480754055,266.86882685203557,r1i1p2f1,historical
1866,286.49635444433363,265.3533094073246,258.22550430351083,273.72646463948,266.89251741591175,r1i1p2f1,historical
1867,286.5019154022631,264.82458818412925,256.81817466596897,274.0095229369112,266.45137133660205,r1i1p2f1,historical
1868,286.5759232140785,265.07810236773713,257.8488178186593,274.1163303993516,266.8923038778138,r1i1p2f1,historical
1869,286.56722477166613,264.98069519801334,256.5068527928178,273.76836219727835,266.2696520593114,r1i1p2f1,historical
1870,286.5356897343275,265.4350774936323,255.45539071215444,273.6141754919631,265.9469229084043,r1i1p2f1,historical
1871,286.5533806559053,265.2362143761744,255.58992328724102,274.03628788953546,266.14554847704017,r1i1p2f1,historical
1872,286.48252905299,264.992225694672,255.4484392239032,273.8188772663878,265.9475747084489,r1i1p2f1,historical
1873,286.3723186516385,265.42692812956,257.48577100184133,273.6827918541412,266.6444135243059,r1i1p2f1,historical
1874,286.4410997186759,265.21145598604784,255.47211051872696,273.4627289686776,265.8357623624352,r1i1p2f1,historical
