year,member,tas_global,tas_gis_south,tas_gis_all,scenario
1850,r1i1p1f3,286.72671525740986,256.64740468257565,252.07233195946176,historical
1851,r1i1p1f3,286.7697228057268,255.75534065940369,250.89660325702522,historical
1852,r1i1p1f3,286.8498341784507,255.59635655212736,250.736804020824,historical
1853,r1i1p1f3,286.7312152368765,255.62512758796245,250.7377504342693,historical
1854,r1i1p1f3,286.57119521862023,256.24682833006545,251.58125622668302,historical
1855,r1i1p1f3,286.8073982808907,257.3701888864819,251.89863243951703,historical
1856,r1i1p1f3,286.91131597051015,256.45521852688256,251.66935075338722,historical
1857,r1i1p1f3,286.88791801707185,255.83057439187357,250.9938247233582,historical
1858,r1i1p1f3,286.80716426522855,257.34197196306275,251.9985350040388,historical
1859,r1i1p1f3,286.828359533117,256.88538298638326,251.71013623624125,historical
1860,r1i1p1f3,286.84588310181584,257.04327555645796,251.81499830780385,historical
1861,r1i1p1f3,286.7705595153759,257.1200464179935,251.7487244375643,historical
1862,r1i1p1f3,286.7017563464538,257.2890669507053,252.50751345779915,historical
1863,r1i1p1f3,286.7600056543076,257.21365830975225,252.2155337245113,historical
1864,r1i1p1f3,286.8884349092368,257.4607641094173,252.08438625489023,historical
1865,r1i1p1f3,286.9723689178241,256.47528834794235,251.6468006308459,historical
1866,r1i1p1f3,286.9609713067179,255.6876736429914,250.4262063703723,historical
1867,r1i1p1f3,286.8615405871828,257.6805323326016,252.195290129817,historical
1868,r1i1p1f3,286.7121198212788,256.5835366597324,251.33197659227164,historical
1869,r1i1p1f3,286.7446256710067,255.85968127796093,250.0033295196837,historical
1870,r1i1p1f3,286.84838332536236,257.9671731977154,252.37300422687778,historical
1871,r1i1p1f3,286.8629736820883,255.9389119354679,250.5373589572409,historical
1872,r1i1p1f3,286.7764919996967,256.30773898646777,251.56360594976198,historical
1873,r1i1p1f3,286.62792633850927,257.1628822704994,251.934376464689,historical
1874,r1i1p1f3,286.59426972130035,256.91877322518474,251.20770395739675,historical
1875,r1i1p1f3,286.72834862736244,257.70974416308724,252.63758663959027,historical
1876,r1i1p1f3,286.7923909635298,257.1994342478091,252.05790547292233,historical
1877,r1i1p1f3,286.7423281010082,256.7299730435973,251.11079273531726,historical
1878,r1i1p1f3,286.73969397875385,257.3234714729627,252.20707743132834,historical
1879,r1i1p1f3,286.74995504428057,256.7286467720368,250.7307201826307,historical
1880,r1i1p1f3,286.8284005974774,258.26415761238206,252.94088219931825,historical
1881,r1i1p1f3,286.7359471323739,256.2534421503918,250.69008883512393,historical
1882,r1i1p1f3,286.6757867511606,256.57110150168796,251.36785392691422,historical
1883,r1i1p1f3,286.7090085129658,257.83032192077525,252.42525189551338,historical
1884,r1i1p1f3,286.4831226852784,257.34346426730724,252.30433799886245,historical
1885,r1i1p1f3,286.49003796039176,256.5893096348499,251.20947301052257,historical
1886,r1i1p1f3,286.59220427802774,257.7432412767961,252.14443463387283,historical
1887,r1i1p1f3,286.6184808969831,257.2205867992565,251.76975508124113,historical
1888,r1i1p1f3,286.6821429963866,257.6083489659649,252.13031010557842,historical
1889,r1i1p1f3,286.6709623839885,257.79746745721945,251.95671587492092,historical
1890,r1i1p1f3,286.7146300566336,257.2463243357661,251.36811134323534,historical
1891,r1i1p1f3,286.7570661562866,257.6776518389561,252.14500417901556,historical
1892,r1i1p1f3,286.60990258761115,254.74971032153604,250.0272959093526,historical
1893,r1i1p1f3,286.67832377689314,257.19348544423866,252.41124337848106,historical
1894,r1i1p1f3,286.7842802786535,256.72108568300564,251.4675680292832,historical
1895,r1i1p1f3,286.65349190447796,257.2762304949894,251.4115494188154,historical
1896,r1i1p1f3,286.7809609470985,255.66811407858737,250.38175047116556,historical
1897,r1i1p1f3,286.8218441952183,257.2665884232663,252.26967138865717,historical
1898,r1i1p1f3,286.7418346512435,256.9088532811817,251.3903316751906,historical
1899,r1i1p1f3,286.7454523567949,256.9386118114613,251.79244567156388,historical
1900,r1i1p1f3,286.72329723712664,257.9880760741778,252.53240596781794,historical
1901,r1i1p1f3,286.75939761259116,257.6288198615109,252.0672851310388,historical
1902,r1i1p1f3,286.621785088043,257.02962646665395,251.41134603565212,historical
1903,r1i1p1f3,286.458914151856,256.5764173285432,251.79506939655946,historical
1904,r1i1p1f3,286.6445814101615,256.5031412631175,251.39695497727584,historical
1905,r1i1p1f3,286.6083043543697,255.08990840875768,249.91366667214825,historical
1906,r1i1p1f3,286.6401951701543,256.7779839118405,251.5658403475923,historical
1907,r1i1p1f3,286.7430144048296,255.77566145310965,251.01999226868486,historical
1908,r1i1p1f3,286.58560994783306,256.041864258988,250.79494819217769,historical
1909,r1i1p1f3,286.41435910822383,256.10166044195483,250.5970710330738,historical
1910,r1i1p1f3,286.43967819284285,258.04102841053077,252.5886759882317,historical
1911,r1i1p1f3,286.58989206696083,256.91678713479246,251.68882228862543,historical
1912,r1i1p1f3,286.528343519212,255.9408623877639,250.20618212800113,historical
1913,r1i1p1f3,286.64492731861316,255.229365498371,249.82909945938368,historical
1914,r1i1p1f3,286.7385212845658,255.96368395873074,251.42680343189576,historical
1915,r1i1p1f3,286.70871324405294,256.6382897790954,251.51968879499125,historical
1916,r1i1p1f3,286.651811853937,257.16593456127765,251.3829852070549,historical
1917,r1i1p1f3,286.6722388836575,255.56393462017667,250.70411915960557,historical
1918,r1i1p1f3,286.76381449040565,257.27681442796336,252.0294261806719,historical
1919,r1i1p1f3,286.8908783187035,255.80429088997002,250.98849527264574,historical
1920,r1i1p1f3,286.8119677963302,258.2326014577441,253.3215528233741,historical
1921,r1i1p1f3,286.78366253285037,256.4376855345632,251.15728227303893,historical
1922,r1i1p1f3,286.76540165009646,258.3489923943758,252.4405035583371,historical
1923,r1i1p1f3,286.8649855026049,257.94627741776355,252.17894641905283,historical
1924,r1i1p1f3,286.891373717212,258.2854509496709,252.6125060000629,historical
1925,r1i1p1f3,286.7910794805685,256.18765566275556,251.16274493811372,historical
1926,r1i1p1f3,286.857971815596,257.20094144042343,251.41058518480003,historical
1927,r1i1p1f3,286.79631935347385,257.0497040361315,251.89481829434266,historical
1928,r1i1p1f3,286.88509469041276,255.59048865846708,250.42106558683352,historical
1929,r1i1p1f3,286.80373661017217,256.29711117944464,250.94277748594283,historical
1930,r1i1p1f3,286.6572618078526,256.0400692146398,251.1419628600775,historical
1931,r1i1p1f3,286.59240399561554,256.74507622203623,251.1861880680199,historical
1932,r1i1p1f3,286.66578823284215,253.6634137125468,249.36347819905896,historical
1933,r1i1p1f3,286.6498831253166,255.98634660759154,250.8964645250223,historical
1934,r1i1p1f3,286.7358645257962,258.7177622606707,253.05309029361962,historical
1935,r1i1p1f3,286.87074743370226,256.19153320451653,251.3401456171727,historical
1936,r1i1p1f3,286.6503950322645,256.4762184886238,251.68167913164697,historical
1937,r1i1p1f3,286.70954209767416,259.3178073345454,253.8883896341267,historical
1938,r1i1p1f3,286.82134228011773,258.2620828031158,252.85856967117252,historical
1939,r1i1p1f3,286.8339129765632,257.65509583291214,252.07976995604687,historical
1940,r1i1p1f3,286.87435358968617,257.85594847792174,252.26894557069318,historical
1941,r1i1p1f3,286.9989373364156,257.24595023450087,252.1673763861255,historical
1942,r1i1p1f3,286.8050208000546,257.98990718580603,252.46594656358835,historical
1943,r1i1p1f3,286.6456355610737,256.3974147028865,251.42087259277395,historical
1944,r1i1p1f3,286.72712204783465,258.3890495917403,252.89662463599186,historical
1945,r1i1p1f3,286.6614653821681,258.17685448550253,252.43000462997466,historical
1946,r1i1p1f3,286.78706029187737,255.88439149109152,250.4827260819673,historical
1947,r1i1p1f3,286.8401475667272,257.6801287040145,251.94336257728295,historical
1948,r1i1p1f3,286.74581395204103,256.827912159817,251.4807133824602,historical
1949,r1i1p1f3,286.8833594938243,257.54995910773954,252.1923767425606,historical
1950,r1i1p1f3,286.69862598239155,256.7066693622803,251.1170870576333,historical
1951,r1i1p1f3,286.71052209650543,255.5651036299411,249.67582294885918,historical
1952,r1i1p1f3,286.8348898751327,257.8665206310303,252.3335105414576,historical
1953,r1i1p1f3,287.0054303290903,256.4134960877507,251.42342671862045,historical
